name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
OperatingCashFlow,"397,300,000","20,500,000","132,200,000","88,900,000","155,700,000","111,800,000","200,900,000","161,400,000","97,200,000","30,800,000","208,800,000","172,400,000","119,600,000","-12,600,000","197,400,000","141,700,000","128,800,000","-10,100,000","177,200,000","106,000,000","104,900,000","-40,900,000","199,100,000","77,200,000","102,000,000","-800,000","131,500,000","92,300,000","28,800,000","4,400,000","83,900,000","108,200,000","64,700,000","-900,000","66,300,000","98,400,000","58,800,000","400,000","71,800,000"
	CashFlowFromContinuingOperatingActivities,"397,300,000","20,500,000","132,200,000","88,900,000","155,700,000","111,800,000","200,900,000","161,400,000","97,200,000","30,800,000","208,800,000","172,400,000","119,600,000","-12,600,000","197,400,000","141,700,000","128,800,000","-10,100,000","177,200,000","106,000,000","104,900,000","-40,900,000","199,100,000","77,200,000","102,000,000","-800,000","131,400,000","92,600,000","28,800,000","4,600,000","84,200,000","109,400,000","66,100,000","-700,000","66,800,000","96,900,000","60,400,000","600,000","74,800,000"
		NetIncomeFromContinuingOperations,"468,200,000","93,100,000","112,700,000","143,600,000","118,800,000","108,200,000","93,400,000","146,900,000","73,700,000","500,000","80,700,000","131,700,000","109,400,000","80,300,000","132,900,000","116,100,000","114,000,000","72,400,000","12,100,000","90,100,000","105,800,000","68,700,000","75,000,000","2,000,000","95,400,000","58,800,000","72,000,000","-26,200,000","65,000,000","43,900,000","22,800,000","67,700,000","55,600,000","37,600,000","8,500,000","-69,200,000","63,800,000","41,200,000","63,700,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,"37,700,000","0","0","-50,000,000","-14,300,000",,,,"-11,500,000",,,,,,,,"-500,000",,,,"0"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"-1,700,000",,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,,"-500,000",,,,"0"
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-50,000,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"82,100,000","20,400,000","21,100,000","20,100,000","20,500,000","21,400,000","20,700,000","20,600,000","19,900,000","19,800,000","20,400,000","21,200,000","20,700,000","20,700,000","20,400,000","20,300,000","23,000,000","22,500,000","17,000,000","17,200,000","16,200,000","16,500,000","16,200,000","17,200,000","17,100,000","16,400,000","15,700,000","12,700,000","12,700,000","12,100,000","12,300,000","12,100,000","12,200,000","12,200,000","11,900,000","11,300,000","11,200,000","11,700,000","11,200,000"
			DepreciationAndAmortization,"82,100,000","20,400,000","21,100,000","20,100,000","20,500,000","21,400,000","20,700,000","20,600,000","19,900,000","19,800,000","20,400,000","21,200,000","20,700,000","20,700,000","20,400,000","20,300,000","23,000,000","22,500,000","17,000,000","17,200,000","16,200,000","16,500,000","16,200,000","17,200,000","17,100,000","16,400,000","15,700,000","12,700,000","12,700,000","12,100,000","12,300,000","12,100,000","12,200,000","12,200,000","11,900,000","11,300,000","11,200,000","11,700,000","11,200,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,100,000",,,,,,,,
