name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
MarketCap,"7,637,049,255","8,172,586,724","9,418,934,140","8,718,929,860","9,375,957,090","9,045,270,378","9,042,508,730","7,168,788,093","6,031,033,761","4,424,151,603","8,931,004,796","8,784,021,455","7,536,456,253","7,424,030,307","6,258,543,733","5,712,387,817","5,426,311,097","4,822,132,081","4,948,008,307","4,725,725,003","4,265,883,648","4,092,509,959","3,852,032,164","4,590,201,639","4,513,351,209","3,645,958,587","3,267,923,348","2,620,902,084","2,549,861,176","2,692,017,460","2,489,743,011"
EnterpriseValue,"12,188,313,255","12,484,475,724","13,457,790,140","12,606,520,860","12,971,775,090","12,640,452,378","12,496,593,730","10,675,609,093","9,610,883,761","7,944,787,603","12,220,619,796","12,151,691,455","10,824,851,253","10,456,831,307","9,189,377,733","8,385,917,817","8,115,820,097","7,376,096,081","7,306,741,307","6,770,430,003","6,690,946,648","6,389,980,959","5,980,168,164","6,592,065,639","6,490,534,209","5,348,790,587","5,066,840,348","4,193,469,084","3,960,757,176","3,839,855,460","3,935,049,011"
PeRatio,"24.745","29.525","36.989","37.244","43.684","39.881","38.614","23.647","18.315","14.613","29.792","37.788","33.19","31.604","33.721","38.396","38.157","36.35","34.692","29.845","27.603","29.122","32.723","39.861","41.598","38.059","41.247","43.914","46.077","39.576","68.494"
ForwardPeRatio,"24.096",,,,,,"41.494","33.445","25.317",,"38.462","38.168",,,,"28.736","31.25","27.701","29.586","28.011","27.548","29.762",,,,,,,,,
PsRatio,"9.01","10.088","12.349","11.702","12.764","12.191","12.036","9.539","8.161","6.268","13.117","13.555","12.303","12.696","10.933","11.056","10.895","9.792","10.175","9.494","8.674","9.462","9.961","12.072","12.284","11.107","11.306","11.084","10.901","9.619","14.213"
PbRatio,"1.444","1.589","1.842","1.704","1.842","1.803","1.842","1.516","1.311","0.986","2.073","2.133","1.916","1.962","1.73","1.706","1.723","1.55","1.631","1.514","1.559","1.648","1.637","1.962","2.206","1.77","1.841","1.468","1.622","1.701","2.392"
EnterprisesValueRevenueRatio,"14.818","56.207","64.32","63.31","67.545","69.354","72.29","60.926","57.112","44.659","70.454","70.718","66.091","66.758","62.639","61.209","61.856","58.614","60.827","61.246","58.586","59.182","58.548","67.961","70.572","62.754","63.644","56.069","57.486","62.478","71.336"
EnterprisesValueEBITDARatio,"16.491","61.895","72.076","68.552","77.784","79.776","79.894","68.491","67.209","49.127","78.502","59.318","67.513","77.603","54.206","68.236","69.633","66.577","70.211","77.601","65.786","70.496","67.834","76.562","80.822","72.845","71.959","64.265","67.049","74.024","72.635"
