name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalAssets,"892,620,000","851,417,000","803,251,000","796,887,000","747,678,000","711,898,000","779,699,000","749,494,000","817,821,000"
	CurrentAssets,"511,692,000","469,192,000","445,914,000","452,527,000","430,564,000","378,530,000","407,222,000","410,323,000","448,221,000"
		CashCashEquivalentsAndShortTermInvestments,"282,383,000","259,208,000","248,579,000","221,934,000","197,214,000","157,653,000","201,998,000","215,576,000","214,491,000"
			CashAndCashEquivalents,"282,383,000","259,208,000","248,579,000","221,934,000","197,214,000","157,653,000","201,998,000","215,576,000","214,491,000"
		Receivables,"120,738,000","107,431,000","99,119,000","103,113,000","94,848,000","88,860,000","77,489,000","74,604,000","92,104,000"
			AccountsReceivable,"114,719,000","104,540,000","97,824,000","101,500,000","93,332,000","87,487,000","74,709,000","72,427,000","90,308,000"
				GrossAccountsReceivable,"156,899,000","148,805,000","139,127,000","138,846,000","132,378,000","123,840,000","110,440,000","116,050,000","138,074,000"
				AllowanceForDoubtfulAccountsReceivable,"-42,180,000","-44,265,000","-41,303,000","-37,346,000","-39,046,000","-36,353,000","-35,731,000","-43,623,000","-47,766,000"
			NotesReceivable,"1,875,000","1,406,000",,,,,,,"0"
			OtherReceivables,"4,144,000","1,485,000","1,295,000","1,613,000","1,516,000","1,373,000","2,780,000","2,177,000","1,796,000"
		Inventory,"86,160,000","78,858,000","78,042,000","82,356,000","87,498,000","94,021,000","104,796,000","108,384,000","127,227,000"
			RawMaterials,"11,941,000","11,751,000","10,265,000","9,295,000","9,629,000","8,689,000","9,415,000","8,254,000","12,411,000"
			WorkInProcess,"55,855,000","45,089,000","43,964,000","44,739,000","50,095,000","57,477,000","61,916,000","65,768,000","87,606,000"
			FinishedGoods,"18,364,000","22,018,000","23,813,000","28,322,000","27,774,000","27,855,000","33,465,000","34,362,000","27,210,000"
		PrepaidAssets,"14,995,000","16,198,000","13,069,000","12,117,000","18,374,000","31,476,000","16,585,000","7,371,000","9,014,000"
		RestrictedCash,"7,416,000","7,497,000","7,105,000","7,698,000","6,661,000","6,520,000","6,354,000","4,388,000","5,385,000"
		AssetsHeldForSaleCurrent,"0","0","0","25,309,000","25,969,000",,,,"0"
	TotalNonCurrentAssets,"380,928,000","382,225,000","357,337,000","344,360,000","317,114,000","333,368,000","372,477,000","339,171,000","369,600,000"
		NetPPE,"226,077,000","223,627,000","215,123,000","214,432,000","192,393,000","214,372,000","217,901,000","219,122,000","332,330,000"
			GrossPPE,"663,060,000","652,470,000","633,621,000","632,875,000","600,020,000","621,759,000","614,384,000","607,208,000","907,951,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"15,775,000","16,257,000","16,227,000","16,573,000","16,602,000","23,829,000","23,419,000","23,212,000","27,898,000"
				BuildingsAndImprovements,"59,816,000","57,282,000","56,992,000","57,953,000","56,911,000","91,535,000","89,433,000","88,547,000","150,402,000"
				MachineryFurnitureEquipment,"548,992,000","535,038,000","526,401,000","521,131,000","497,306,000","495,439,000","483,028,000","480,222,000","701,732,000"
				OtherProperties,"16,049,000","15,922,000","17,054,000","17,439,000",,,,,
				ConstructionInProgress,"22,428,000","27,971,000","16,947,000","19,779,000","29,201,000","10,956,000","18,504,000","15,227,000","27,919,000"
			AccumulatedDepreciation,"-436,983,000","-428,843,000","-418,498,000","-418,443,000","-407,627,000","-407,387,000","-396,483,000","-388,086,000","-575,621,000"
		GoodwillAndOtherIntangibleAssets,"55,979,000","56,028,000","56,224,000","56,419,000","56,472,000","56,669,000","56,531,000","21,415,000","21,243,000"
			Goodwill,"20,009,000","20,043,000","20,093,000","20,118,000","20,106,000","20,249,000","20,257,000","1,339,000","1,285,000"
			OtherIntangibleAssets,"35,970,000","35,985,000","36,131,000","36,301,000","36,366,000","36,420,000","36,274,000","20,076,000","19,958,000"
		InvestmentsAndAdvances,"40,017,000","40,849,000","32,456,000","26,943,000","26,664,000","26,657,000","25,028,000","25,462,000",
			LongTermEquityInvestment,"27,671,000","27,456,000","27,169,000","26,943,000","26,664,000","26,657,000","25,028,000","25,462,000",
			InvestmentinFinancialAssets,"12,346,000","13,393,000","5,287,000",,,,,,
		NonCurrentAccountsReceivable,"22,149,000","22,121,000","20,420,000",,,"6,662,000","4,988,000","2,925,000","3,039,000"
		NonCurrentNoteReceivables,"5,625,000","6,094,000",,,,,"51,377,000","51,377,000",
		NonCurrentDeferredAssets,"18,016,000","21,016,000","20,233,000","20,268,000","26,972,000","23,188,000","8,667,000","12,067,000","7,217,000"
			NonCurrentDeferredTaxesAssets,"17,967,000","20,942,000","20,134,000","20,268,000","26,972,000","23,188,000","6,861,000","12,067,000","7,217,000"
		NonCurrentPrepaidAssets,"11,761,000","11,146,000","10,229,000",,,"3,892,000","5,985,000","4,692,000","3,681,000"
		OtherNonCurrentAssets,"1,304,000","1,344,000","2,652,000","26,298,000","14,613,000","1,928,000","2,000,000","2,111,000","2,090,000"
TotalLiabilitiesNetMinorityInterest,"157,257,000","155,578,000","146,698,000","177,508,000","160,807,000","134,980,000","144,193,000","525,559,000","183,689,000"
	CurrentLiabilities,"104,223,000","100,841,000","88,416,000","119,033,000","116,674,000","89,119,000","122,942,000","512,069,000","150,111,000"
		PayablesAndAccruedExpenses,"92,769,000","91,878,000","79,486,000","110,525,000","112,364,000","64,202,000","63,094,000","468,102,000","70,790,000"
			Payables,"36,889,000","40,336,000","34,331,000","42,510,000","38,256,000","24,143,000","26,337,000","426,933,000","28,664,000"
				AccountsPayable,"29,836,000","34,189,000","29,158,000","34,704,000","35,389,000","20,262,000","23,856,000","21,167,000","20,762,000"
				TotalTaxPayable,"1,831,000","2,096,000","1,487,000","3,711,000","514,000","1,803,000","1,324,000","4,006,000","3,408,000"
					IncomeTaxPayable,"1,831,000","2,096,000","1,487,000","3,711,000","514,000","1,803,000","1,324,000","4,006,000","3,408,000"
				DividendsPayable,,,,,,,,"400,000,000",
				DuetoRelatedPartiesCurrent,"5,222,000","4,051,000","3,686,000","4,095,000","2,353,000","2,078,000","1,157,000","1,760,000","4,494,000"
			CurrentAccruedExpenses,"55,880,000","51,542,000","45,155,000","68,015,000","74,108,000","40,059,000","36,757,000","41,169,000","42,126,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"839,000","709,000","497,000","710,000","572,000","2,643,000","4,417,000","5,455,000","6,065,000"
		CurrentDebtAndCapitalLeaseObligation,"3,706,000","3,339,000","3,523,000","3,463,000",,,"33,000,000","33,000,000","68,000,000"
			CurrentDebt,,,,,,,"33,000,000","33,000,000","68,000,000"
				LineOfCredit,,,,,"0","0","33,000,000","33,000,000","43,000,000"
				OtherCurrentBorrowings,,,,,,,"33,000,000","33,000,000","68,000,000"
			CurrentCapitalLeaseObligation,"3,706,000","3,339,000","3,523,000","3,463,000",,,,,
		OtherCurrentLiabilities,"6,909,000","4,915,000","4,910,000","4,335,000","3,738,000","22,274,000","22,431,000","5,512,000","5,256,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"53,034,000","54,737,000","58,282,000","58,475,000","44,133,000","45,861,000","21,251,000","13,490,000","33,578,000"
		LongTermDebtAndCapitalLeaseObligation,"37,748,000","37,907,000","38,793,000","39,231,000","25,000,000","25,000,000","5,385,000",,"17,700,000"
			LongTermDebt,"25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","25,000,000","5,385,000",,"17,700,000"
			LongTermCapitalLeaseObligation,"12,748,000","12,907,000","13,793,000","14,231,000",,,,,
		NonCurrentDeferredLiabilities,"2,757,000","2,741,000","2,806,000","2,791,000","2,774,000","2,758,000","2,952,000","2,936,000","2,855,000"
			NonCurrentDeferredTaxesLiabilities,"2,757,000","2,741,000","2,806,000","2,791,000","2,774,000","2,758,000","2,952,000","2,936,000","2,855,000"
		NonCurrentAccruedExpenses,"3,626,000","3,434,000","6,014,000","5,643,000","5,428,000","8,312,000","8,812,000","1,490,000","4,743,000"
		EmployeeBenefits,"8,903,000","10,655,000","10,669,000","10,810,000","10,656,000","9,516,000","9,213,000","8,789,000","8,005,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"8,903,000","10,655,000","10,669,000","10,810,000","10,656,000","9,516,000","9,213,000","8,789,000","8,005,000"
		OtherNonCurrentLiabilities,"15,286,000","16,830,000","19,489,000","19,244,000","275,000","275,000","274,000","275,000","275,000"
TotalEquityGrossMinorityInterest,"735,363,000","695,839,000","656,553,000","619,379,000","586,871,000","576,918,000","635,506,000","223,935,000","634,132,000"
	StockholdersEquity,"734,207,000","694,669,000","655,423,000","618,252,000","585,752,000","575,831,000","634,464,000","222,958,000","633,182,000"
		CapitalStock,"1,905,000","1,898,000","1,897,000","1,896,000","1,896,000","1,894,000","106,000","1,665,000","106,000"
			PreferredStock,"0","0","0","0","0",,,,
			CommonStock,"1,905,000","1,898,000","1,897,000","1,896,000","1,896,000","1,894,000","106,000","1,665,000","106,000"
