name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018
TotalAssets,"1,003,251,000","1,018,826,000","990,572,000","977,579,000","954,033,000","929,341,000","1,042,544,000","582,802,000","610,384,000","605,923,000","572,815,000","155,594,000","124,310,000"
	CurrentAssets,"697,335,000","747,591,000","744,104,000","757,174,000","745,716,000","774,366,000","900,451,000","451,584,000","429,732,000","480,840,000","474,144,000","107,226,000","106,236,000"
		CashCashEquivalentsAndShortTermInvestments,"539,323,000","587,447,000","600,440,000","621,958,000","617,195,000","663,603,000","768,773,000","339,840,000","372,428,000","424,166,000","427,436,000","56,034,000","65,080,000"
			CashAndCashEquivalents,"312,487,000","587,447,000","600,440,000","621,958,000","617,195,000","663,603,000","768,773,000","339,840,000","372,428,000","424,166,000","427,436,000","56,034,000","65,080,000"
				CashFinancial,"58,121,000",,,,,,,,,,,,
				CashEquivalents,"254,366,000",,,,,,,,,,,,
			OtherShortTermInvestments,"226,836,000",,,,,,,,,,,,
		Receivables,"76,526,000","85,254,000","78,430,000","59,680,000","57,408,000","51,208,000","36,026,000","22,726,000","30,851,000","33,371,000","26,150,000","34,747,000","29,566,000"
			AccountsReceivable,"76,526,000","85,254,000","78,430,000","59,680,000","57,408,000","51,208,000","36,026,000","22,726,000","30,851,000","33,371,000","26,150,000","26,803,000","28,088,000"
			OtherReceivables,,,,,,,,,,,,"7,944,000","1,478,000"
		Inventory,"63,697,000","59,966,000","51,141,000","44,087,000","38,507,000","29,959,000","25,118,000","21,758,000","19,357,000","15,270,000","13,305,000","12,325,000","8,570,000"
			RawMaterials,"33,905,000","31,954,000","25,995,000","19,375,000","14,749,000","9,930,000","7,733,000","8,175,000","9,124,000","6,436,000","4,365,000","3,807,000","3,052,000"
			WorkInProcess,"15,070,000","14,052,000","12,742,000","12,316,000","11,752,000","9,312,000","8,475,000","6,403,000","4,539,000","3,996,000","4,525,000","3,982,000","2,553,000"
			FinishedGoods,"14,722,000","13,960,000","12,404,000","12,396,000","12,006,000","10,717,000","8,910,000","7,180,000","5,694,000","4,838,000","4,415,000","4,536,000","2,965,000"
