name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
OperatingCashFlow,"95,635,000","4,347,000","31,325,000","26,910,000","33,053,000","21,605,000","23,033,000","28,734,000","22,128,000","14,667,000","20,834,000","21,298,000","19,461,000","10,201,000","17,468,000","15,300,000","12,898,000","9,349,000","9,078,000","4,066,000","7,507,000","10,399,000","8,412,000","1,561,000","1,881,000","6,911,000","7,551,000","4,491,000","-675,000","3,062,000","5,171,000","4,677,000","3,382,000","3,558,000","2,136,000","7,474,000","2,084,000","6,549,000","-1,437,000","3,695,000","2,967,000","1,604,000","939,000","2,420,000","566,000","560,000","847,000","1,370,000","2,448,000","254,000","1,056,000","1,287,000","1,621,000","1,194,000","202,000"
	CashFlowFromContinuingOperatingActivities,"95,635,000","4,347,000","31,325,000","26,910,000","33,053,000","21,605,000","23,033,000","28,734,000","22,128,000","14,667,000","20,834,000","21,298,000","19,461,000","10,201,000","17,468,000","15,300,000","12,898,000","9,349,000","9,078,000","4,066,000","7,507,000","10,399,000","8,412,000","1,561,000","1,881,000","6,911,000","7,551,000","4,491,000","-675,000","3,062,000","5,171,000","4,677,000","3,382,000","3,558,000","2,136,000","7,474,000","2,084,000","6,549,000","-1,437,000","3,695,000","2,967,000","1,604,000","939,000","2,420,000","566,000","560,000","847,000","1,370,000","2,448,000","254,000","1,056,000","1,287,000","1,621,000","1,194,000","202,000"
		NetIncomeFromContinuingOperations,"47,000,000","12,603,000","12,765,000","11,449,000","10,183,000","10,200,000","13,470,000","11,407,000","11,194,000","9,515,000","9,162,000","8,941,000","8,796,000","6,813,000","7,141,000","8,061,000","5,416,000","3,254,000","-9,101,000","1,865,000","1,825,000","2,971,000","1,805,000","2,509,000","352,000","1,044,000","2,132,000","1,270,000","651,000","586,000","854,000","838,000","639,000","373,000","294,000","270,000","288,000","199,000",,,,,,,,"492,000","441,000","886,000","638,000","919,000","213,000","346,000","657,000","-54,000","-286,000"
		DepreciationAmortizationDepletion,"24,819,000","6,334,000","6,191,000","6,094,000","6,200,000","6,429,000","5,206,000","4,531,000","4,454,000","4,474,000","4,398,000","4,146,000","3,953,000","3,941,000","3,292,000","3,060,000","3,126,000","3,208,000","3,061,000","2,958,000","2,857,000","2,906,000","2,900,000","2,818,000","2,831,000","2,787,000","2,372,000","2,413,000","2,401,000","2,386,000","2,273,000","2,075,000","2,201,000","2,021,000","2,024,000","2,240,000","1,899,000","1,888,000","1,751,000","1,403,000","912,000","852,000","828,000","801,000","596,000","422,000","385,000","403,000","405,000","340,000","363,000","322,000","320,000","440,000","500,000"
			DepreciationAndAmortization,"24,819,000","6,334,000","6,191,000","6,094,000","6,200,000","6,429,000","5,206,000","4,531,000","4,454,000","4,474,000","4,398,000","4,146,000","3,953,000","3,941,000","3,292,000","3,060,000","3,126,000","3,208,000","3,061,000","2,958,000","2,857,000","2,906,000","2,900,000","2,818,000","2,831,000","2,787,000","2,372,000","2,413,000","2,401,000","2,386,000","2,273,000","2,075,000","2,201,000","2,021,000","2,024,000","2,240,000","1,899,000","1,888,000","1,751,000","1,403,000","912,000","852,000","828,000","801,000","596,000","422,000","385,000","403,000","405,000","340,000","363,000","322,000","320,000","440,000","500,000"
				Depreciation,"14,887,000","3,864,000","3,799,000","3,695,000","3,529,000","3,765,000","3,653,000","3,198,000","3,138,000","3,138,000","2,980,000","2,819,000","2,687,000","2,637,000","2,285,000","2,132,000","2,093,000","2,083,000","1,947,000","1,830,000","1,740,000","1,691,000","1,715,000","1,624,000","1,633,000","1,626,000","1,572,000","1,584,000","1,568,000","1,541,000","1,461,000","1,430,000","1,519,000","1,304,000","1,307,000","1,233,000","1,182,000","1,171,000","1,034,000","873,000","652,000","592,000","568,000","541,000",,,,,,,,,,,
				AmortizationCashFlow,"9,932,000","2,470,000","2,392,000","2,399,000","2,671,000","2,664,000","1,553,000","1,333,000","1,316,000","1,336,000","1,418,000","1,327,000","1,266,000","1,304,000","1,007,000","928,000","1,033,000","1,125,000","1,114,000","1,128,000","1,117,000","1,215,000","1,185,000","1,194,000","1,198,000","1,161,000","800,000","829,000","833,000","845,000","812,000","645,000","682,000","717,000","717,000","1,007,000","717,000","717,000","717,000","530,000","260,000","260,000","260,000","260,000",,,,,,,,,,,
					AmortizationOfIntangibles,"9,932,000","2,470,000","2,392,000","2,399,000","2,671,000","2,664,000","1,553,000","1,333,000","1,316,000","1,336,000","1,418,000","1,327,000","1,266,000","1,304,000","1,007,000","928,000","1,033,000","1,125,000","1,114,000","1,128,000","1,117,000","1,215,000","1,185,000","1,194,000","1,198,000","1,161,000","800,000","829,000","833,000","845,000","812,000","645,000","682,000","717,000","717,000","1,007,000","717,000","717,000","717,000","530,000","260,000","260,000","260,000","260,000",,,,,,,,,,,
		DeferredTax,"3,449,000","-269,000","2,868,000","662,000","188,000","163,000","-83,000","2,881,000","775,000","668,000","2,221,000","2,726,000","1,796,000","838,000","864,000","436,000","478,000","1,020,000","8,886,000","732,000","926,000","310,000","-880,000","-379,000","-137,000","-302,000","-315,000","122,000","206,000","-51,000","-34,000","489,000","403,000","173,000","288,000","124,000","103,000","-72,000","-235,000","-144,000","222,000","142,000",,,,,,,,,,,,,
			DeferredIncomeTax,"3,449,000","-269,000","2,868,000","662,000","188,000","163,000","-83,000","2,881,000","775,000","668,000","2,221,000","2,726,000","1,796,000","838,000","864,000","436,000","478,000","1,020,000","8,886,000","732,000","926,000","310,000","-880,000","-379,000","-137,000","-302,000","-315,000","122,000","206,000","-51,000","-34,000","489,000","403,000","173,000","288,000","124,000","103,000","-72,000","-235,000","-144,000","222,000","142,000",,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000",,,,"5,000"
		ProvisionandWriteOffofAssets,"4,656,000","1,144,000","680,000","1,206,000","1,626,000","1,205,000","1,462,000","1,178,000","1,735,000","1,285,000","1,070,000","925,000","849,000","655,000","812,000","795,000","575,000","410,000","340,000","492,000","541,000","332,000","398,000","385,000","288,000","304,000","425,000","328,000","380,000","138,000","210,000","184,000","166,000","157,000","164,000","130,000","105,000","80,000","88,000","131,000","82,000","82,000","180,000","125,000",,,,,,,,,,,
		StockBasedCompensation,"29,664,000","9,015,000","6,301,000","6,849,000","7,499,000","6,925,000","4,690,000","4,893,000","5,009,000","4,344,000","3,374,000","3,147,000","2,875,000","5,294,000","2,532,000","3,266,000","3,179,000","3,533,000","5,895,000","2,347,000","2,186,000","2,300,000","2,019,000","2,012,000","2,065,000","1,927,000","1,623,000","1,610,000","1,647,000","1,499,000","1,405,000","1,293,000","1,359,000","1,339,000","1,083,000","1,085,000","1,111,000","924,000","713,000","715,000","715,000","612,000","482,000","487,000","487,000","312,000","292,000","232,000","175,000","51,000","51,000","79,000","50,000","48,000","47,000"
