name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,"0","0","0"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0",,"0","0","0"
OperatingExpense,"170,090,000","42,564,000","43,833,000","49,646,000","34,048,000","38,722,000","59,238,000","27,387,000","23,559,000","24,120,000","19,649,000","19,165,000","18,392,000","18,695,000","26,545,000","15,333,000","14,872,000","14,219,000","4,202,000","6,713,000","5,856,000","9,966,000","12,239,000","10,723,000","8,780,000","10,137,000","8,228,000","5,437,000","3,682,000","3,049,000","1,712,000","2,086,000","2,194,000","1,712,000","1,674,000"
	SellingGeneralAndAdministration,"42,629,000","11,770,000","12,172,000","9,671,000","9,250,000","10,680,000","8,201,000","5,730,000","6,828,000","7,163,000","4,981,000","4,336,000","4,403,000","3,808,000","2,865,000","2,268,000","4,100,000","8,662,000","3,548,000","3,895,000","2,232,000","2,869,000","2,746,000","2,311,000","2,315,000","2,522,000","2,309,000","1,825,000","1,728,000","1,980,000","775,000","843,000","332,000","162,000","82,000"
		GeneralAndAdministrativeExpense,"42,629,000","11,770,000","12,172,000","9,671,000","9,250,000","10,680,000","8,201,000","5,730,000","6,828,000","7,163,000","4,981,000","4,336,000","4,403,000","3,808,000","2,865,000","2,268,000","4,100,000","8,662,000","3,548,000","3,895,000","2,232,000","2,869,000","2,746,000","2,311,000","2,315,000","2,522,000","2,309,000","1,825,000","1,728,000","1,980,000","775,000","843,000","332,000","162,000","82,000"
			OtherGandA,"42,629,000","11,770,000","12,172,000","9,671,000","9,250,000","10,680,000","8,201,000","5,730,000","6,828,000","7,163,000","4,981,000","4,336,000","4,403,000","3,808,000","2,865,000","2,268,000","4,100,000","8,662,000","3,548,000","3,895,000","2,232,000","2,869,000","2,746,000","2,311,000","2,315,000","2,522,000","2,309,000","1,825,000","1,728,000","1,980,000","775,000","843,000","332,000","162,000","82,000"
	ResearchAndDevelopment,"127,961,000","30,794,000","32,161,000","39,975,000","24,798,000","28,542,000","51,037,000","21,657,000","16,731,000","16,957,000","14,668,000","14,829,000","13,989,000","15,137,000","23,680,000","13,065,000","10,772,000","5,743,000","654,000","2,818,000","3,624,000","7,097,000","9,493,000","8,412,000","6,465,000","7,615,000","5,919,000","3,612,000","1,954,000","1,069,000","937,000","1,243,000","1,862,000","1,550,000","1,592,000"
	OtherOperatingExpenses,,,"-500,000",,,"-500,000",,,,,"0",,,"-250,000","0",,,"-186,000",,,,,,,,,,,,,,,,,
OperatingIncome,"-170,090,000","-42,564,000","-43,833,000","-49,646,000","-34,048,000","-38,722,000","-59,238,000","-27,387,000","-23,559,000","-24,120,000","-19,649,000","-19,165,000","-18,392,000","-18,695,000","-26,545,000","-15,333,000","-14,872,000","-14,219,000","-4,202,000","-6,713,000","-5,856,000","-9,966,000","-12,239,000","-10,723,000","-8,780,000","-10,137,000","-8,228,000","-5,437,000","-3,682,000","-3,049,000","-1,712,000","-2,086,000","-2,194,000","-1,712,000","-1,674,000"
NetNonOperatingInterestIncomeExpense,"-1,782,000","-418,000","-414,000","-472,000","-477,000","-1,457,000","-1,678,000","-1,693,000","-1,481,000","-544,000","-206,000","-119,000","-288,000","-756,000","-802,000","-717,000","-890,000","-1,139,000","-668,000","-682,000","-706,000","-704,000","-735,000","-405,000","96,000","69,000","56,000","-159,000","-564,000","-474,000","-245,000","-244,000","-248,000","-243,000","-246,000"
	InterestIncomeNonOperating,"2,780,000","623,000","850,000","806,000","501,000","272,000","237,000","518,000","429,000","967,000","892,000","979,000","1,000,000","601,000","426,000","459,000","473,000","288,000","245,000","219,000","183,000","172,000","158,000","120,000","96,000","69,000","56,000","33,000",,,,"0",,,
	InterestExpenseNonOperating,"4,562,000","1,041,000","1,264,000","1,278,000","978,000","1,729,000","1,915,000","2,211,000","1,910,000","1,511,000","1,098,000","1,098,000","1,288,000","1,357,000","1,228,000","1,176,000","1,363,000","1,427,000","913,000","901,000","889,000","876,000","893,000","525,000","0","0","0","192,000","564,000","474,000","245,000","244,000","248,000","243,000","246,000"
OtherIncomeExpense,,,,,"-727,000","500,000",,,"-124,000","62,000","245,000","368,000","256,000","247,000","829,000","-39,000","-5,000","15,000","0","0","0","0","0","0","0","0","0","-50,365,000","1,859,000","2,061,000","-191,000","-58,000","-405,000","-193,000","-51,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-46,649,000","1,859,000","2,744,000","-191,000","-58,000","-405,000","-193,000","-52,000"
	SecuritiesAmortization,,,,,"727,000",,,,"124,000","-62,000","-245,000","-368,000","-256,000","-247,000",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-3,716,000","0","-683,000","-191,000","0","0","0","-51,000"
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,716,000",,"683,000","191,000",,"405,000","193,000","51,000"
	OtherNonOperatingIncomeExpenses,,,,,,"500,000",,,,,"0",,,"250,000","28,000","-39,000","-5,000","15,000",,,,,,,,,,,,,,,,,"1,000"
PretaxIncome,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
NetIncomeCommonStockholders,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,173,000","-55,961,000","-2,387,000","-1,462,000","-6,413,000","-3,484,000","-2,847,000","-2,148,000","-1,971,000"
	NetIncome,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
		NetIncomeIncludingNoncontrollingInterests,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
			NetIncomeContinuousOperations,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000",,,,,"1,096,000",,,
DilutedNIAvailtoComStockholders,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,173,000","-55,961,000","-2,387,000","-1,462,000","-6,413,000","-3,484,000","-2,847,000","-2,148,000","-1,971,000"
BasicEPS,,"-0.67","-0.69","-0.79","-0.55","-0.65",,"-0.53","-0.45","-0.45",,"-0.38","-0.38","-0.43",,"-0.4","-0.4","-0.42",,"-1.08","-0.96","-1.6",,"-1.64","-1.32","-1.52",,"-9.92","-0.6","-0.84",,"-1.656","-1.353","-1.021",
DilutedEPS,,"-0.67","-0.69","-0.79","-0.55","-0.65",,"-0.53","-0.45","-0.45",,"-0.38","-0.38","-0.43",,"-0.4","-0.4","-0.42",,"-1.08","-0.96","-1.6",,"-1.64","-1.32","-1.52",,"-9.92","-0.6","-0.84",,"-1.656","-1.353","-1.021",
BasicAverageShares,,"64,509,721","64,470,930","63,825,429","63,061,232","61,574,405",,"55,188,956","55,158,459","54,883,120",,"50,364,649","49,267,247","45,122,815",,"39,900,551","39,483,006","36,137,120",,"6,760,331","6,748,613","6,746,579",,"6,732,682","6,655,820","6,605,848",,"5,643,298","4,081,750","1,919,393",,"2,103,459","2,103,459","2,103,459",
DilutedAverageShares,,"64,509,721","64,470,930","63,825,429","63,061,232","61,574,405",,"55,188,956","55,158,459","54,883,120",,"50,364,649","49,267,247","45,122,815",,"39,900,551","39,483,006","36,137,120",,"6,760,331","6,748,613","6,746,579",,"6,732,682","6,655,820","6,605,848",,"5,643,298","4,081,750","1,919,393",,"2,103,459","2,103,459","2,103,459",
TotalOperatingIncomeAsReported,"-170,590,000","-42,564,000","-44,333,000","-49,646,000","-34,048,000","-39,222,000","-59,238,000","-27,387,000","-23,559,000","-24,120,000","-19,649,000","-19,165,000","-18,392,000","-18,945,000","-26,545,000","-15,333,000","-14,872,000","-14,405,000","-4,202,000","-6,713,000","-5,856,000","-9,966,000","-12,239,000","-10,723,000","-8,780,000","-10,137,000","-8,228,000","-5,437,000","-3,682,000","-3,049,000","-1,712,000","-2,086,000","-2,194,000","-1,712,000","-1,674,000"
TotalExpenses,"170,090,000","42,564,000","43,833,000","49,646,000","34,048,000","38,722,000","59,238,000","27,387,000","23,559,000","24,120,000","19,649,000","19,165,000","18,392,000","18,695,000","26,545,000","15,333,000","14,872,000","14,219,000","4,202,000","6,713,000","5,856,000","9,966,000","12,239,000","10,723,000","8,780,000","10,137,000","8,228,000","5,437,000","3,682,000","3,049,000","1,712,000","2,086,000","2,194,000","1,712,000","1,674,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
NormalizedIncome,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-5,596,000","-4,246,000","-3,523,000","-1,957,000","-2,330,000","-2,442,000","-1,955,000","-1,919,000"
InterestIncome,"2,780,000","623,000","850,000","806,000","501,000","272,000","237,000","518,000","429,000","967,000","892,000","979,000","1,000,000","601,000","426,000","459,000","473,000","288,000","245,000","219,000","183,000","172,000","158,000","120,000","96,000","69,000","56,000","33,000",,,,"0",,,
InterestExpense,"4,562,000","1,041,000","1,264,000","1,278,000","978,000","1,729,000","1,915,000","2,211,000","1,910,000","1,511,000","1,098,000","1,098,000","1,288,000","1,357,000","1,228,000","1,176,000","1,363,000","1,427,000","913,000","901,000","889,000","876,000","893,000","525,000","0","0","0","192,000","564,000","474,000","245,000","244,000","248,000","243,000","246,000"
NetInterestIncome,"-1,782,000","-418,000","-414,000","-472,000","-477,000","-1,457,000","-1,678,000","-1,693,000","-1,481,000","-544,000","-206,000","-119,000","-288,000","-756,000","-802,000","-717,000","-890,000","-1,139,000","-668,000","-682,000","-706,000","-704,000","-735,000","-405,000","96,000","69,000","56,000","-159,000","-564,000","-474,000","-245,000","-244,000","-248,000","-243,000","-246,000"
