name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,04/30/2013
TotalRevenue,"910,323,000","238,432,000","233,361,000","224,044,000","214,486,000","202,441,000","198,913,000","196,003,000","192,293,000","183,561,000","183,585,000","177,156,000","172,549,000","162,974,000","163,713,000","155,944,000","148,222,000","140,507,000","136,675,000","129,304,000","122,941,000","117,222,000","109,926,000","102,811,000","95,713,000","90,155,000","84,982,000","78,651,000","73,450,000","65,621,000","62,639,000","57,048,000","51,423,000","45,330,000",
	OperatingRevenue,"910,323,000","238,432,000","233,361,000","224,044,000","214,486,000","202,441,000","198,913,000","196,003,000","192,293,000","183,561,000","183,585,000","177,156,000","172,549,000","162,974,000","163,713,000","155,944,000","148,222,000","140,507,000","136,675,000","129,304,000","122,941,000","117,222,000","109,926,000","102,811,000","95,713,000","90,155,000","84,982,000","78,651,000","73,450,000","65,621,000","62,639,000","57,048,000","51,423,000","45,330,000",
CostOfRevenue,"250,746,000","62,209,000","64,680,000","63,069,000","60,788,000","60,947,000","58,597,000","56,812,000","55,334,000","53,995,000","56,719,000","56,302,000","53,872,000","48,684,000","47,197,000","44,724,000","42,605,000","39,068,000","35,276,000","34,471,000","32,778,000","32,723,000","29,554,000","27,115,000","27,602,000","27,859,000","25,681,000","23,630,000","20,636,000","17,153,000","14,694,000","12,518,000","10,833,000","9,228,000",
GrossProfit,"659,577,000","176,223,000","168,681,000","160,975,000","153,698,000","141,494,000","140,316,000","139,191,000","136,959,000","129,566,000","126,866,000","120,854,000","118,677,000","114,290,000","116,516,000","111,220,000","105,617,000","101,439,000","101,399,000","94,833,000","90,163,000","84,499,000","80,372,000","75,696,000","68,111,000","62,296,000","59,301,000","55,021,000","52,814,000","48,468,000","47,945,000","44,530,000","40,590,000","36,102,000",
OperatingExpense,"676,316,000","175,599,000","168,847,000","172,062,000","159,808,000","151,757,000","143,594,000","141,805,000","144,469,000","153,806,000","155,447,000","160,087,000","154,954,000","149,671,000","138,210,000","150,684,000","142,836,000","137,299,000","133,886,000","137,392,000","129,159,000","124,478,000","116,765,000","113,447,000","106,030,000","100,888,000","108,865,000","110,053,000","102,588,000","95,101,000","93,778,000","89,284,000","78,877,000","73,884,000",
	SellingGeneralAndAdministration,"446,919,000","113,866,000","109,742,000","116,225,000","107,086,000","100,898,000","95,015,000","92,351,000","94,354,000","100,692,000","102,286,000","109,435,000","105,261,000","103,427,000","96,848,000","108,374,000","101,006,000","99,051,000","99,483,000","102,580,000","95,117,000","90,944,000","85,661,000","83,795,000","77,765,000","73,981,000","82,276,000","83,729,000","76,135,000","71,967,000","75,791,000","72,112,000","62,532,000","58,986,000",
		GeneralAndAdministrativeExpense,"135,028,000","30,799,000","30,074,000","39,857,000","34,298,000","31,087,000","26,892,000","25,239,000","26,597,000","27,942,000","26,835,000","26,496,000","24,856,000","24,607,000","23,110,000","23,884,000","24,022,000","22,053,000","21,768,000","20,910,000","21,846,000","20,281,000","19,095,000","16,999,000","17,579,000","14,509,000","19,019,000","19,757,000","17,675,000","15,472,000","20,396,000","16,855,000","12,875,000","11,546,000",
			SalariesAndWages,,,,,,,,,,"8,136,000","7,620,000","7,427,000","7,201,000","6,376,000",,,,,"4,978,000","4,796,000","3,916,000",,,,,,,,,,,,,,
			OtherGandA,"135,028,000","30,799,000","30,074,000","39,857,000","34,298,000","31,087,000","26,892,000","25,239,000","26,597,000","27,942,000","26,835,000","26,496,000","24,856,000","24,607,000","23,110,000","23,884,000","24,022,000","22,053,000","21,768,000","20,910,000","21,846,000","20,281,000","19,095,000","16,999,000","17,579,000","14,509,000","19,019,000","19,757,000","17,675,000","15,472,000","20,396,000","16,855,000","12,875,000","11,546,000",
		SellingAndMarketingExpense,"311,891,000","83,067,000","79,668,000","76,368,000","72,788,000","69,811,000","68,123,000","67,112,000","67,757,000","72,750,000","75,451,000","82,939,000","80,405,000","78,820,000","73,738,000","84,490,000","76,984,000","76,998,000","77,715,000","81,670,000","73,271,000","70,663,000","66,566,000","66,796,000","60,186,000","59,472,000","63,257,000","63,972,000","58,460,000","56,495,000","55,395,000","55,257,000","49,657,000","47,440,000",
