name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalAssets,"1,243,400,000","1,255,400,000","1,207,700,000","1,194,400,000","1,226,900,000","1,219,900,000","1,191,400,000","1,194,300,000","1,295,200,000","1,262,400,000","1,335,900,000","1,428,500,000","1,438,800,000","1,308,800,000","1,364,600,000","1,338,100,000","1,444,800,000","1,388,000,000","1,708,500,000","1,660,700,000","1,677,600,000","1,587,800,000","1,655,200,000","1,630,800,000","1,657,300,000","1,598,200,000","1,663,300,000","1,694,200,000","1,733,200,000","1,783,100,000","1,869,800,000","1,897,300,000","1,884,200,000","1,843,900,000","1,880,200,000","1,820,300,000","1,918,900,000","1,821,800,000","1,823,200,000","1,756,000,000","1,901,200,000","1,844,200,000","1,921,900,000","2,002,800,000","2,008,500,000","2,015,800,000","1,867,500,000","1,811,000,000","1,802,900,000","1,795,300,000","1,862,000,000","1,817,000,000","1,729,500,000","1,815,600,000","1,982,200,000","1,973,400,000","1,977,900,000","1,868,700,000","1,800,500,000","1,755,500,000","1,712,600,000","1,712,100,000","1,631,400,000","1,598,000,000","1,656,500,000","1,740,200,000","959,400,000","984,200,000","969,100,000","983,200,000","890,700,000","879,100,000","896,400,000","889,900,000","857,600,000","853,400,000","826,700,000","830,600,000","851,200,000","851,600,000","857,200,000","845,700,000","858,300,000","866,200,000","831,600,000","849,400,000","783,900,000","778,000,000","777,300,000","796,100,000","818,300,000","813,600,000","804,700,000","823,400,000","824,800,000","817,500,000","832,300,000","847,200,000","908,800,000","949,700,000","945,400,000","978,500,000","986,400,000","987,300,000","948,600,000"
	CurrentAssets,"639,800,000","648,200,000","559,300,000","570,600,000","592,400,000","546,100,000","551,600,000","513,600,000","637,600,000","538,500,000","587,200,000","659,000,000","655,600,000","620,600,000","629,100,000","631,100,000","701,700,000","630,500,000","623,600,000","609,500,000","602,700,000","545,300,000","606,200,000","585,400,000","622,900,000","550,500,000","728,300,000","725,300,000","753,800,000","753,600,000","799,700,000","799,200,000","808,200,000","779,000,000","855,600,000","823,000,000","869,700,000","766,500,000","809,700,000","780,500,000","810,100,000","769,400,000","803,700,000","791,700,000","824,400,000","849,200,000","751,500,000","715,400,000","699,000,000","696,800,000","723,800,000","713,600,000","655,200,000","703,800,000","807,800,000","755,100,000","754,300,000","699,500,000","641,500,000","617,000,000","590,700,000","586,600,000","582,500,000","561,400,000","603,300,000","672,700,000","461,000,000","481,800,000","461,100,000","466,000,000","414,300,000","401,500,000","414,700,000","411,400,000","383,400,000","378,600,000","356,400,000","360,100,000","374,300,000","384,700,000","379,600,000","366,100,000","386,500,000","384,200,000","361,800,000","372,400,000","385,900,000","371,700,000","356,600,000","370,500,000","391,500,000","394,500,000","388,700,000","385,600,000","390,800,000","390,000,000","397,300,000","403,100,000","459,700,000","495,200,000","507,400,000","523,200,000","569,300,000","578,200,000","539,200,000"
		CashCashEquivalentsAndShortTermInvestments,"245,600,000","267,200,000","123,800,000","107,300,000","154,800,000","139,100,000","148,800,000","120,000,000","174,500,000","123,200,000","122,100,000","163,000,000","146,800,000","149,000,000","117,600,000","98,000,000","157,800,000","144,100,000","118,900,000","85,000,000","98,400,000","93,200,000","98,500,000","79,000,000","98,600,000","79,800,000","93,100,000","74,100,000","83,900,000","77,000,000","89,400,000","82,700,000","99,600,000","127,300,000","126,000,000","112,400,000","147,400,000","119,800,000","113,800,000","98,000,000","105,700,000","138,200,000","110,200,000","116,100,000","175,800,000","248,700,000","122,800,000","121,300,000","95,100,000","112,400,000","119,600,000","157,900,000","91,400,000","124,800,000","146,400,000","89,800,000","86,500,000","102,700,000","65,000,000","85,800,000","74,600,000","102,200,000","55,400,000","51,100,000","74,200,000","181,500,000","73,200,000","113,700,000","94,700,000","90,900,000","23,900,000","23,500,000","39,500,000","45,000,000","15,000,000","21,900,000","19,900,000","32,600,000","17,500,000","25,600,000","23,300,000","18,400,000","23,000,000","36,500,000","26,900,000","32,600,000","25,200,000","25,400,000","28,300,000","24,400,000","29,800,000","21,900,000","24,400,000","23,000,000","18,400,000","16,900,000","14,000,000","22,100,000","38,700,000","56,500,000","43,500,000","53,000,000","60,500,000","94,200,000","87,400,000"
			CashAndCashEquivalents,"245,600,000","267,200,000","123,800,000","107,300,000","154,800,000","139,100,000","148,800,000","120,000,000","174,500,000","123,200,000","122,100,000","163,000,000","146,800,000","149,000,000","117,600,000","98,000,000","157,800,000","144,100,000","118,900,000","85,000,000","98,400,000","93,200,000","98,500,000","79,000,000","98,600,000","79,800,000","93,100,000","74,100,000","83,900,000","77,000,000","89,400,000","82,700,000","99,600,000","127,300,000","126,000,000","112,400,000","147,400,000","119,800,000","113,800,000","98,000,000","105,700,000","138,200,000","110,200,000","116,100,000","175,800,000","248,700,000","122,800,000","121,300,000","95,100,000","112,400,000","119,600,000","157,900,000","91,400,000","124,800,000","146,400,000","89,800,000","86,500,000","102,700,000","65,000,000","85,800,000","74,600,000","102,200,000","55,400,000","51,100,000","74,200,000","181,500,000","73,200,000","113,700,000","94,700,000","90,900,000","23,900,000","23,500,000","39,500,000","45,000,000","15,000,000","21,900,000","19,900,000","32,600,000","17,500,000","25,600,000","23,300,000","18,400,000","23,000,000","36,500,000","26,900,000","32,600,000","25,200,000","25,400,000","28,300,000","24,400,000","29,800,000","21,900,000","24,400,000","23,000,000","18,400,000","16,900,000","14,000,000","22,100,000","38,700,000","56,500,000","43,500,000","53,000,000","60,500,000","94,200,000","87,400,000"
		Receivables,"117,700,000","118,100,000","130,800,000","155,000,000","147,100,000","140,600,000","156,900,000","156,200,000","216,400,000","149,800,000","177,300,000","207,600,000","218,800,000","194,600,000","203,900,000","226,700,000","230,200,000","203,000,000","182,900,000","207,800,000","207,900,000","190,200,000","203,800,000","204,300,000","216,100,000","188,200,000","217,800,000","217,300,000","226,400,000","229,900,000","238,400,000","247,500,000","254,400,000","218,900,000","234,500,000","242,300,000","245,800,000","212,400,000","227,000,000","230,500,000","231,600,000","211,200,000","259,400,000","241,600,000","229,700,000","221,300,000","216,900,000","211,500,000","227,800,000","222,000,000","226,100,000","210,200,000","208,000,000","215,800,000","226,200,000","225,800,000","230,700,000","196,600,000","199,700,000","183,500,000","179,900,000","167,800,000","189,900,000","178,100,000","192,700,000","164,800,000","136,300,000","123,000,000","125,800,000","139,800,000","97,000,000","130,200,000","127,600,000","102,100,000","103,600,000","107,000,000","103,500,000","103,200,000","128,100,000","126,300,000","121,000,000","133,300,000","126,700,000","116,200,000","106,800,000","112,500,000","115,600,000","112,600,000","99,300,000","114,400,000","101,000,000","101,900,000","94,700,000","92,300,000","96,700,000","98,100,000","94,200,000","97,000,000","119,700,000","127,400,000","122,000,000","154,800,000","170,300,000","180,700,000","170,800,000"
			AccountsReceivable,"86,500,000","86,200,000","93,000,000","108,000,000","110,100,000","114,700,000","129,000,000","117,200,000","97,500,000","110,700,000","136,800,000","163,200,000","167,000,000","144,700,000","157,900,000","163,300,000","166,900,000","144,400,000","154,100,000","156,400,000","156,900,000","125,300,000","142,400,000","159,800,000","164,500,000","142,700,000","158,600,000","173,600,000","167,000,000","168,100,000","180,200,000","191,100,000","199,500,000","168,800,000","187,100,000","192,000,000","194,400,000","173,400,000","188,100,000","176,700,000","191,000,000","163,700,000","187,200,000","203,100,000","229,700,000","181,900,000","176,500,000","174,900,000","190,200,000","181,000,000","182,400,000","170,100,000","161,000,000","163,600,000","177,800,000","182,800,000","185,400,000","161,000,000","169,600,000","156,100,000","151,000,000","144,800,000","150,700,000","142,100,000","146,900,000","131,900,000","107,700,000","94,000,000","97,000,000","104,000,000","97,000,000","92,700,000","93,100,000","102,100,000","103,600,000","107,000,000","103,500,000","103,200,000","128,100,000","126,300,000","121,000,000","133,300,000","126,700,000","116,200,000","106,800,000","112,500,000","115,600,000","112,600,000","99,300,000","114,400,000","101,000,000","101,900,000","94,700,000","92,300,000","96,700,000","98,100,000","94,200,000","97,000,000","119,700,000","127,400,000","122,000,000",,,,
				GrossAccountsReceivable,"118,200,000","117,300,000","122,000,000","142,300,000","143,800,000","151,900,000","169,900,000","183,000,000","158,800,000","174,300,000","198,100,000","216,000,000","216,500,000","190,000,000","202,600,000","206,100,000","209,500,000","182,600,000","192,200,000","191,600,000","190,200,000","157,900,000","179,300,000","194,000,000","198,800,000","175,400,000","190,400,000","208,900,000","201,600,000","202,600,000","215,900,000","225,700,000","231,700,000","201,700,000","220,300,000","222,800,000","225,800,000","203,800,000","219,100,000","205,300,000","221,800,000","190,500,000","215,200,000","234,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-31,700,000","-31,100,000","-29,000,000","-34,300,000","-33,700,000","-37,200,000","-40,900,000","-65,800,000","-61,300,000","-63,600,000","-61,300,000","-52,800,000","-49,500,000","-45,300,000","-44,700,000","-42,800,000","-42,600,000","-38,200,000","-38,100,000","-35,200,000","-33,300,000","-32,600,000","-36,900,000","-34,200,000","-34,300,000","-32,700,000","-31,800,000","-35,300,000","-34,600,000","-34,500,000","-35,700,000","-34,600,000","-32,200,000","-32,900,000","-33,200,000","-30,800,000","-31,400,000","-30,400,000","-31,000,000","-28,600,000","-30,800,000","-26,800,000","-28,000,000","-31,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"31,200,000","31,900,000","37,800,000","47,000,000","37,000,000","25,900,000","27,900,000","39,000,000","118,900,000","39,100,000","40,500,000","44,400,000","51,800,000","49,900,000","46,000,000","63,400,000","63,300,000","58,600,000","28,800,000","51,400,000","51,000,000","64,900,000","61,400,000","44,500,000","51,600,000","45,500,000","59,200,000","43,700,000","59,400,000","61,800,000","58,200,000","56,400,000","54,900,000","50,100,000","47,400,000","50,300,000","51,400,000","39,000,000","38,900,000","53,800,000","40,600,000","47,500,000","72,200,000","38,500,000",,"39,400,000","40,400,000","36,600,000","37,600,000","41,000,000","43,700,000","40,100,000","47,000,000","52,200,000","48,400,000","43,000,000","45,300,000","35,600,000","30,100,000","27,400,000","28,900,000","23,000,000","39,200,000","36,000,000","45,800,000","32,900,000","28,600,000","29,000,000","28,800,000","35,800,000",,"37,500,000","34,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"246,200,000","232,200,000","265,300,000","282,800,000","262,100,000","236,300,000","217,200,000","216,100,000","226,000,000","245,200,000","260,700,000","265,100,000","269,000,000","257,700,000","279,600,000","281,600,000","286,700,000","262,200,000","291,100,000","288,100,000","268,100,000","240,400,000","275,000,000","270,000,000","274,400,000","254,600,000","285,700,000","299,100,000","300,700,000","306,000,000","348,100,000","351,800,000","326,000,000","313,400,000","353,100,000","333,000,000","330,200,000","313,900,000","340,500,000","321,100,000","331,000,000","302,500,000","329,200,000","325,900,000","305,500,000","279,100,000","313,700,000","286,300,000","275,700,000","265,500,000","282,500,000","264,400,000","266,800,000","277,300,000","318,000,000","310,100,000","291,800,000","269,900,000","289,100,000","265,100,000","251,600,000","232,700,000","248,300,000","240,400,000","244,500,000","235,100,000","176,700,000","167,400,000","166,400,000","163,000,000","184,900,000","169,600,000","168,100,000","160,500,000","170,000,000","159,400,000","154,900,000","148,200,000","151,500,000","153,200,000","146,100,000","132,200,000","147,000,000","138,800,000","140,700,000","144,100,000","147,700,000","143,400,000","140,800,000","136,700,000","153,400,000","155,300,000","155,100,000","157,100,000","170,100,000","173,000,000","182,600,000","184,200,000","215,100,000","224,200,000","245,300,000","252,800,000","254,200,000","218,500,000","210,000,000"
