name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"616,874,000","626,295,000","451,095,000","443,556,000","443,018,000","310,844,000","311,451,000","318,145,000","205,131,000","209,023,000","214,232,000","205,156,000","115,704,000","116,116,000","54,453,000","46,030,000","47,851,000","50,114,000","52,673,000","3,977,000","2,182,000"
	CurrentAssets,"437,998,000","442,267,000","345,812,000","369,927,000","405,826,000","275,058,000","287,652,000","298,539,000","188,329,000","195,880,000","204,435,000","196,203,000","107,894,000","112,650,000","52,821,000","45,710,000","47,669,000","49,914,000","52,618,000","3,929,000","2,169,000"
		CashCashEquivalentsAndShortTermInvestments,"434,632,000","438,096,000","343,093,000","367,730,000","403,420,000","271,262,000","286,365,000","297,174,000","186,704,000","193,685,000","203,208,000","195,466,000","106,630,000","111,761,000","52,294,000","45,450,000","47,228,000","49,591,000","52,570,000","3,518,000","1,923,000"
			CashAndCashEquivalents,"269,303,000","341,246,000","286,614,000","329,527,000","402,172,000","268,269,000","282,369,000","291,678,000","180,225,000","187,514,000","194,806,000","186,587,000","98,013,000","103,670,000","46,667,000","41,813,000","47,228,000","49,591,000","52,570,000","3,518,000","1,923,000"
				CashFinancial,,,,,"2,752,000","9,463,000","3,000","3,000",,,,,,,,,"47,228,000","49,591,000","52,570,000","3,518,000","1,923,000"
				CashEquivalents,,,,,"399,420,000","258,806,000","282,366,000","291,675,000",,,,,,,,"41,813,000","47,228,000",,,,
			OtherShortTermInvestments,"165,329,000","96,850,000","56,479,000","38,203,000","1,248,000","2,993,000","3,996,000","5,496,000","6,479,000","6,171,000","8,402,000","8,879,000","8,617,000","8,091,000","5,627,000","3,637,000",,,,,
		PrepaidAssets,"3,366,000","4,171,000","2,719,000","2,197,000","2,406,000","3,796,000","1,287,000","1,365,000","1,625,000","2,195,000","1,227,000","737,000","1,264,000","889,000","527,000","260,000","441,000","304,000","48,000","121,000","246,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,"287,000","0"
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"19,000","0","3,000","0"
	TotalNonCurrentAssets,"178,876,000","184,028,000","105,283,000","73,629,000","37,192,000","35,786,000","23,799,000","19,606,000","16,802,000","13,143,000","9,797,000","8,953,000","7,810,000","3,466,000","1,632,000","320,000","182,000","200,000","55,000","48,000","13,000"
		NetPPE,"145,380,000","119,583,000","85,984,000","52,108,000","37,083,000","34,174,000","19,988,000","15,770,000","12,897,000","11,184,000","9,659,000","8,867,000","7,355,000","3,014,000","1,632,000","256,000","182,000","200,000","55,000","48,000","13,000"
			GrossPPE,"150,056,000","123,797,000","89,737,000","55,390,000","39,889,000","36,542,000","21,955,000","17,340,000","14,078,000","12,034,000","10,262,000","9,280,000","7,653,000","3,180,000","1,737,000","323,000","225,000","225,000","66,000","54,000","15,000"
