name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,751,000","5,723,000","5,629,000","5,036,000","1,278,000","309,000","284,000","657,000","300,000","198,000","202,000","985,000",,,"1,477,000","1,399,000","1,231,000","1,411,000","2,172,000","2,102,000",,,"1,476,000",,,,,,,,,,,,,,,,
		Inventory,"21,235,000","17,735,000","20,328,000","19,530,000","19,373,000","21,074,000","22,449,000","25,314,000","21,506,000","19,574,000","22,072,000","25,463,000","23,351,000","24,205,000","26,601,000","29,303,000","34,774,000","36,592,000","36,956,000","41,013,000","40,002,000","54,151,000","52,860,000","58,842,000","58,029,000","63,427,000","71,066,000","12,710,000","12,130,000","10,274,000","14,505,000","11,026,000","12,580,000","11,128,000","10,728,000","10,940,000","7,563,000","7,427,000","8,343,000","7,494,000","8,021,000","9,414,000","8,963,000","9,591,000","8,925,000","8,948,000","11,412,000","9,964,000","9,181,000","8,728,000","7,414,000","7,260,000","6,850,000","7,955,000","7,285,000","12,590,000","12,083,000","10,197,000","4,846,000","4,932,000","4,562,000","4,426,000","4,323,000","4,386,000","2,816,000","4,121,000","4,514,000","3,123,000","3,114,000","3,113,000","2,949,000","2,985,000","3,366,000","2,973,000","2,231,000","2,388,000","2,982,000","3,140,000","3,098,000","3,612,000","3,698,000","5,747,000","6,497,000","8,288,000","8,653,000","4,824,000","3,634,000","4,362,000","3,131,000","4,500,000","2,800,000","2,600,000"
			RawMaterials,"14,779,000","13,221,000","13,426,000","15,363,000","13,189,000","15,428,000","16,267,000","18,475,000","15,311,000","14,980,000","16,848,000","18,825,000","14,432,000","16,462,000","18,457,000","21,094,000","20,860,000","23,039,000","20,126,000","21,947,000","22,305,000","24,629,000","19,468,000","20,497,000","18,617,000","16,636,000","18,868,000","7,241,000","6,134,000","3,257,000","8,312,000","6,346,000","6,025,000","6,959,000","6,665,000","6,034,000","3,986,000","1,486,000","3,920,000","3,218,000","4,083,000","4,964,000","4,995,000","5,091,000","4,548,000","5,333,000","7,139,000","5,751,000","5,184,000","5,464,000","4,513,000","4,020,000","4,138,000","4,456,000","5,016,000","5,446,000","4,068,000","5,391,000","3,989,000","3,566,000","3,270,000","2,993,000","3,047,000","2,703,000","2,213,000","3,291,000","3,458,000","2,535,000","2,635,000","2,012,000","1,998,000","2,073,000","2,545,000","1,978,000","1,659,000","1,245,000","1,721,000","2,100,000","1,840,000","2,538,000","3,108,000","3,785,000","4,298,000","6,091,000","5,608,000",,,,,,,
			WorkInProcess,"695,000","152,000","763,000","148,000","16,000","46,000","125,000","222,000","819,000","121,000","274,000","410,000","1,181,000","989,000","717,000","182,000","2,589,000","484,000","425,000","294,000","998,000","1,628,000","1,489,000","1,315,000","651,000","661,000","1,551,000","266,000","17,000","127,000","125,000","367,000","161,000","246,000","251,000","222,000","272,000","1,983,000","99,000","311,000","363,000","473,000","480,000","77,000","27,000","301,000","268,000","449,000","269,000","328,000","424,000","291,000","249,000","237,000","207,000","468,000","216,000","230,000","80,000","359,000","143,000","47,000","17,000","223,000","102,000","177,000","394,000","125,000","33,000","218,000","62,000","51,000","70,000","98,000",,,,"311,000","217,000",,,,,,"10,000",,,,,,,
			FinishedGoods,"5,761,000","4,362,000","6,139,000","4,019,000","6,168,000","5,600,000","6,057,000","6,617,000","5,376,000","4,473,000","4,950,000","6,228,000","7,738,000","6,754,000","7,427,000","8,027,000","11,325,000","13,069,000","16,405,000","18,772,000","16,699,000","27,894,000","31,903,000","37,030,000","38,761,000","46,130,000","50,647,000","5,203,000","5,979,000","6,890,000","6,068,000","4,313,000","6,394,000","3,923,000","3,812,000","4,684,000","3,305,000","3,958,000","4,324,000","3,965,000","3,575,000","3,977,000","3,488,000","4,423,000","4,350,000","3,314,000","4,005,000","3,764,000","3,728,000","2,936,000","2,477,000","2,949,000","2,463,000","3,262,000","2,062,000","6,676,000","7,799,000","4,576,000","777,000","1,007,000","1,149,000","1,386,000","1,259,000","1,460,000","501,000","653,000","662,000","463,000","446,000","883,000","889,000","861,000","751,000","897,000","572,000","1,143,000","1,261,000","729,000","1,041,000","1,074,000","590,000","1,962,000","2,199,000","2,197,000","3,035,000",,,,,,,
		PrepaidAssets,"42,276,000","30,780,000","37,155,000","35,311,000","25,489,000","38,114,000","45,652,000","38,174,000","37,544,000","40,261,000","44,318,000","51,257,000","53,658,000","50,827,000","52,572,000","60,951,000","56,434,000","47,169,000","77,606,000","77,549,000","77,318,000","47,721,000","76,879,000","94,257,000","96,536,000","87,216,000","112,912,000","8,425,000","14,888,000","12,710,000","15,794,000","10,535,000","12,508,000","8,800,000","10,212,000","8,738,000","9,043,000","18,382,000","14,927,000","10,527,000","10,762,000","10,105,000","8,105,000","10,141,000","8,019,000","4,800,000","7,070,000","4,860,000","8,152,000","11,455,000","11,439,000","5,108,000","4,939,000","5,673,000","5,132,000","6,804,000","13,546,000","12,008,000","2,845,000","3,401,000","3,380,000","3,285,000","2,198,000","2,953,000","3,119,000","2,225,000","2,098,000","2,954,000","3,003,000","2,486,000","2,706,000","2,283,000","2,175,000","2,037,000","1,064,000","1,794,000","2,088,000","1,964,000","1,152,000","1,710,000","2,876,000","3,830,000","3,764,000","3,058,000","3,126,000",,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,342,000","1,339,000","1,337,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,"6,985,000","3,765,000","5,400,000","1,311,000","3,440,000","4,966,000","3,774,000","1,986,000","721,000","5,403,000","4,123,000","1,016,000","2,919,000","4,704,000","4,384,000","3,436,000",,,,,,,,,"0","0","29,796,000","21,053,000","21,755,000","14,174,000","14,372,000","14,414,000","15,846,000","9,419,000","9,434,000","9,581,000","9,538,000","5,664,000","4,128,000","4,336,000","4,237,000","3,624,000","3,585,000","3,379,000","3,383,000","2,614,000","2,583,000","2,813,000","2,698,000","2,897,000","2,796,000","2,796,000","2,796,000","4,257,000","5,191,000","5,985,000","6,052,000","3,620,000","2,747,000","2,679,000","2,535,000","2,909,000","2,827,000","2,837,000","2,896,000","2,406,000","2,318,000","2,361,000","2,356,000","2,082,000","1,750,000","1,687,000","1,667,000","1,667,000","1,792,000","1,793,000","1,782,000","1,974,000","1,418,000","1,380,000","1,293,000","1,069,000","1,269,000","1,342,000","1,374,000",,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","29,796,000","21,053,000","21,755,000","14,174,000","14,372,000","14,414,000","15,846,000","9,419,000","9,434,000","9,581,000","9,538,000","5,664,000","4,128,000","4,336,000","4,237,000","3,624,000","3,585,000","3,379,000","3,383,000","2,614,000","2,583,000","2,813,000","2,698,000","2,897,000","2,796,000","2,796,000","2,796,000","4,257,000","5,191,000","5,985,000","6,052,000","3,620,000","2,747,000","2,679,000","2,535,000","2,909,000","2,827,000","2,837,000","2,896,000","2,406,000","2,318,000","2,361,000","2,356,000","2,082,000","1,750,000","1,687,000","1,667,000","1,667,000","1,792,000","1,793,000","1,782,000","1,974,000","1,418,000","1,380,000","1,293,000","1,069,000","1,269,000","1,342,000","1,374,000",,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,319,000","1,419,000",,,,,,,"1,935,000","1,567,000",,"1,226,000",,,,,"2,753,000","2,503,000","2,966,000","2,412,000","4,071,000","5,316,000","5,328,000","6,649,000","4,800,000","18,500,000","2,000,000"
