name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
MarketCap,"1,607,546,884","2,320,984,158","2,137,712,531","1,562,571,545","1,382,742,986","1,158,109,928","1,058,467,450","1,088,423,641","858,957,312","626,540,802","1,136,058,300","1,159,643,557","978,831,667","903,897,168","823,662,206","688,812,584","590,596,053","519,917,047","588,395,975","499,366,265","523,776,921","508,415,043","470,491,100","417,039,932","387,456,615","278,736,169","278,736,169","284,485,502","285,976,069","299,887,468"
EnterpriseValue,"3,117,227,884","3,826,034,158","3,622,610,531","2,973,523,545","2,705,536,986","2,478,830,928","2,319,298,450","2,405,093,641","2,158,775,312","1,962,741,802","2,249,666,300","1,964,260,557","1,913,348,667","1,708,735,168","1,707,534,206","1,435,392,584","1,330,206,053","1,266,357,047","1,275,002,975","1,280,240,265","1,217,698,921","1,193,529,043","1,037,800,100","975,088,932","988,679,615","973,852,169","956,602,346","883,849,860","865,169,797","299,887,468"
PeRatio,"63.827","101.472",,"104.881","140.974","26.489","32.298","8.8","6.67","6.256","10.227",,,,,"12.296","9.089","9.976","10.31","44.774","28.918","23.456","24.283","37.094",,,,,,
ForwardPeRatio,"20.408","22.124",,,,,,,,,"67.114",,,,,,"188.679",,,,,"75.758",,"131.579",,,,,,
PegRatio,,,,,,,,,,,,,,,,,"37.933",,,,,"15.1",,,,,,,,
PsRatio,"7.098","10.611","9.992","7.55","6.748","5.679","5.245","5.592","4.607","3.424","6.293","6.719","6.038","5.667","5.263","4.975","4.285","3.685","4.209","3.675","3.891","3.876","3.584","3.207","3.085","2.369","2.643","3.284","4.442",
PbRatio,"3.136","4.94","5.273","3.837","3.265","2.839","2.708","3.071","2.19","1.47","2.706","4.274","3.529","3.062","3.558","2.878","2.383","2.171","2.409","2.564","2.33","2.196","2.064","1.835","1.785","1.258","1.223","1.218","1.189",
EnterprisesValueRevenueRatio,"13.658","62.943","61.928","52.737","51.472","47.858","45.883","47.168","42.595","37.327","45.287","41.942","44.428","41.183","43.349","39.331","37.308","36.123","36.519","34.511","34.56","32.265","31.833","29.478","29.375","29.061","29.342","28.724","30.096","11.743"
EnterprisesValueEBITDARatio,"19.364","126.263","41.181","126.949","117.858","122.339","103.753","44.514","109.178","31.177","105.981","13.324","90.77","83.211","95.542","103.295","79.486","44.87","84.353","17.646","42.886","77.922","73.188","44.29","32.817","65.823","72.008","70.247","73.695","32.23"
