name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
OperatingCashFlow,"185,850,000","114,173,000","35,257,000","22,535,000","13,885,000","24,763,000","24,493,000","18,818,000","19,159,000","-7,096,000","23,778,000","8,809,000","17,169,000","-1,595,000","-1,073,000","17,664,000","35,859,000","41,550,000","41,389,000","19,717,000","6,284,000","17,618,000","32,973,000","16,890,000","9,083,000","-11,900,000","28,323,000","-7,942,000","12,749,000","-2,425,000","3,270,495","8,748,203","-461,891","89,193","2,575,182","-292,436","8,744,405","-928,678","195,672","490,825","630,246","562,342","396,773","-405,270","-176,237","77,310"
	CashFlowFromContinuingOperatingActivities,"185,850,000","114,173,000","35,257,000","22,535,000","13,885,000","24,763,000","24,493,000","18,818,000","19,159,000","-7,096,000","23,778,000","8,809,000","17,169,000","-1,595,000","-1,073,000","17,664,000","35,859,000","41,550,000","41,389,000","19,717,000","6,284,000","17,618,000","32,973,000","16,890,000","9,083,000","-11,900,000","28,323,000","-7,942,000","12,749,000","-2,425,000","3,270,495","8,748,203","-461,891","89,193","2,575,182","-292,436","8,744,405","-928,678","195,672","490,825","630,246","562,342","396,773","-405,270","-176,237","77,310"
		NetIncomeFromContinuingOperations,"-184,118,000","-148,727,000","-44,564,000","26,038,000","-16,865,000","-29,369,000","16,479,000","28,076,000","48,772,000","-91,199,000","18,612,000","-8,477,000","3,533,000","10,597,000","-26,399,000","-2,958,000","1,347,000","-16,377,000","-5,982,000","15,182,000","-9,642,000","2,449,000","-20,418,000","20,525,000","6,463,000","-4,591,000","7,809,000","-9,415,000","-2,832,000","5,509,000","3,520,309","6,768,487","10,634,940","3,595,264","1,444,895","-997,107","-1,546,152","400,358","-267,213","545,407","-361,095","617,244","-84,282","-1,635,676","513,672","16,072"
		OperatingGainsLosses,"376,461,000","258,429,000","80,138,000","-466,000","38,360,000","50,349,000","4,290,000","-8,744,000","-27,391,000","89,961,000","4,195,000","15,489,000","9,098,000","-10,743,000","23,901,000","27,572,000","27,082,000","58,350,000","39,978,000","1,125,000","20,762,000","14,774,000","52,638,000","-3,711,000","2,053,000","-6,919,000","19,652,000","1,186,000","15,363,000","-5,254,000","-188,064","3,198,169","-10,435,278","-2,294,827","1,367,426","581,112","10,053,077","-70,765","471,193","-155,678","897,538","-99,326","433,319","947,239","-414,747","168,532"
			GainLossOnInvestmentSecurities,"467,818,000","360,350,000","93,308,000","2,842,000","11,892,000","95,689,000","8,099,000","-5,133,000","-39,315,000","32,438,000","7,463,000","8,303,000","-24,934,000","-13,643,000","4,208,000","29,551,000","31,028,000","71,643,000","45,617,000","4,243,000","15,539,000","16,308,000","61,345,000","2,642,000","-3,487,000","-6,904,000","19,221,000","1,121,000","15,302,000","-6,345,000","-3,507,539","3,363,944","-11,564,099","-2,451,306","1,367,426","581,112","10,053,077","-70,765","471,193","-155,678","897,538","-99,326","433,319","947,239","-414,747","168,532"
		UnrealizedGainLossOnInvestmentSecurities,,"698,000","234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"675,000","162,000","160,000","183,000","170,000","259,000","77,000","53,000","55,000","59,000","65,000","71,000","75,000","83,000","83,000","86,000","243,000","80,000","82,000","94,000","116,000","243,000","113,000","106,000","118,000","268,000","67,000","66,000","75,000","223,000","24,301","63,170",,,,,,,,,,,,,,
		ChangeInWorkingCapital,"-8,131,000","3,611,000","-711,000","-3,251,000","-7,780,000","3,524,000","3,647,000","-567,000","-2,277,000","-5,917,000","906,000","1,726,000","4,463,000","-1,532,000","1,342,000","-7,036,000","7,187,000","-503,000","7,311,000","3,316,000","-4,952,000","152,000","640,000","-30,000","449,000","-658,000","795,000","221,000","143,000","-2,903,000","-86,051","-1,281,623","-716,082","-1,211,244","-237,139","123,559","237,480","-1,258,271","-8,308","101,096","93,803","44,424","47,736","283,167","-275,162","-107,294"
			ChangeInReceivables,"-4,082,000","4,006,000","-3,689,000","-2,785,000","-1,694,000","-970,000","578,000","-5,000","-138,000","2,248,000","3,008,000","-1,479,000","-1,307,000","583,000","844,000","686,000","778,000","-1,105,000","966,000","-1,407,000","-815,000","-1,676,000","-2,055,000","-764,000","-387,000","184,000","-306,000","441,000","-1,849,000","-565,000","-646,258","-1,766,724","-923,035","-1,315,983","-210,676","35,938","55,708","-999,530","-103,025","59,445","16,285","-39,022","-23,087","-165,805","-13,418","-78,924"
				ChangesInAccountReceivables,"-4,082,000","4,006,000","-3,689,000","-2,623,000","-1,776,000","-1,050,000","546,000","-26,000","-187,000","2,350,000","2,983,000","-1,522,000","-1,320,000","696,000","844,000","686,000","778,000","-1,105,000","966,000","-1,407,000","-815,000","-1,676,000","-2,055,000","-764,000","-387,000","184,000","-306,000","441,000","-1,849,000","-565,000","-646,258","-1,766,724","-923,035","-1,315,983","-210,676","35,938","55,708","-999,530","-103,025","59,445","16,285","-39,022","-23,087","-165,805",,
