name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996
TotalRevenue,"49,831,000","14,796,000","12,417,000","9,841,000","12,777,000","13,147,000","10,701,000","9,540,081","12,298,036","10,349,863","9,401,103","8,025,895","9,936,921","8,471,720","7,535,903","6,687,959","8,553,068","7,356,715","7,068,782","6,265,869","6,748,518","5,705,590","5,417,934","3,957,540","6,012,193","5,163,726","4,838,620","3,711,784","5,942,082","4,574,191","4,086,192","1,997,821","3,740,567","3,081,492","2,641,000","1,567,776","3,094,779","3,118,121","2,290,094","1,639,926","2,771,500","2,789,226","2,247,956","2,120,183","3,438,902","3,349,387","2,811,286","2,206,122","3,118,936","2,949,719","2,437,052","1,839,735","2,713,524","2,456,762","2,133,250","1,836,133","2,968,353","2,179,675","1,983,809","2,236,298","2,631,225","2,533,836","1,456,451","1,766,314","1,788,284","1,481,791","818,815","1,229,953","1,424,438","1,031,776","1,066,474","1,465,971","1,233,220","1,368,750","1,138,733","2,026,583","1,260,592","1,120,029","1,077,515","1,209,965","1,119,967","1,106,622","1,007,288","819,668","974,166","1,062,426","1,058,323","981,166","742,520","1,091,949","813,916","966,805","900,000","800,000","900,000","845,159","700,000","500,000","500,000","693,101","600,000","600,000","600,000"
	OperatingRevenue,"49,831,000","14,796,000","12,417,000","9,841,000","12,777,000","13,147,000","10,701,000","9,540,081","12,298,036","10,349,863","9,401,103","8,025,895","9,936,921","8,471,720","7,535,903","6,687,959","8,553,068","7,356,715","7,068,782","6,265,869","6,748,518","5,705,590","5,417,934","3,957,540","6,012,193","5,163,726","4,838,620","3,711,784","5,942,082","4,574,191","4,086,192","1,997,821","3,740,567","3,081,492","2,641,000","1,567,776","3,094,779","3,118,121","2,290,094","1,639,926","2,771,500","2,789,226","2,247,956","2,120,183","3,438,902","3,349,387","2,811,286","2,206,122","3,118,936","2,949,719","2,437,052","1,839,735","2,713,524","2,456,762","2,133,250","1,836,133","2,968,353","2,179,675","1,983,809","2,236,298","2,631,225","2,533,836","1,456,451","1,766,314","1,788,284","1,481,791","818,815","1,229,953","1,424,438","1,031,776","1,066,474","1,465,971","1,233,220","1,368,750","1,138,733","2,026,583","1,260,592","1,120,029","1,077,515","1,209,965","1,119,967","1,106,622","1,007,288","819,668","974,166","1,062,426","1,058,323","981,166","742,520","1,091,949","813,916","966,805","900,000","800,000","900,000","845,159","700,000","500,000","500,000","693,101","600,000","600,000","600,000"
CostOfRevenue,"10,842,000","2,830,000","2,756,000","2,785,000","2,471,000","2,911,000","2,433,000","2,674,528","2,665,405","2,666,388","2,642,908","2,290,814","2,324,188","2,207,831","2,200,371","2,120,166","2,022,972","2,115,482","1,735,608","1,973,101","1,444,764","1,553,952","1,335,983","1,059,610","1,194,815","1,263,741","1,083,347","1,077,074","1,115,402","1,125,660","997,734","460,850","227,600","492,199","448,420","308,947","451,935","498,778","386,870","323,478","437,734","396,566","352,370","572,689","816,398","748,821","740,983","538,943","699,402","700,475","606,889","699,136","543,087","552,956","526,413","534,846","623,756","455,513","485,940","532,963","550,786","557,102","441,440","452,359","433,496","387,067","331,597","386,995","428,266","370,796","322,128","362,855","382,731","459,790","351,746","418,952","414,299","371,795","332,798","377,626","373,064","333,098","372,545","302,955","384,515","464,864","410,496","391,015","260,423","320,833","189,968","648,510","300,000","400,000","300,000","955,905","400,000","200,000","200,000","552,343","300,000","300,000",
GrossProfit,"38,989,000","11,966,000","9,661,000","7,056,000","10,306,000","10,236,000","8,268,000","6,865,553","9,632,630","7,683,475","6,758,195","5,735,081","7,612,733","6,263,889","5,335,532","4,567,793","6,530,096","5,241,233","5,333,174","4,292,768","5,303,754","4,151,638","4,081,951","2,897,930","4,817,378","3,899,985","3,755,273","2,634,710","4,826,680","3,448,531","3,088,458","1,536,971","3,512,967","2,589,293","2,192,580","1,258,829","2,642,844","2,619,343","1,903,224","1,316,448","2,333,766","2,392,660","1,895,586","1,547,494","2,622,504","2,600,566","2,070,303","1,667,179","2,419,534","2,249,244","1,830,163","1,140,599","2,170,437","1,903,806","1,606,837","1,301,287","2,344,597","1,724,162","1,497,869","1,703,335","2,080,439","1,976,734","1,015,011","1,313,955","1,354,788","1,094,724","487,218","842,958","996,172","660,980","744,346","1,103,116","850,489","908,960","786,987","1,607,631","846,293","748,234","744,717","832,339","746,903","773,524","634,743","516,713","589,651","597,562","647,827","590,151","482,097","771,116","623,948","318,295","600,000","400,000","600,000","-110,746","300,000","300,000","300,000","140,758","300,000","300,000",
OperatingExpense,"25,002,000","6,486,000","5,870,000","6,882,000","5,764,000","6,750,000","5,217,000","4,661,480","5,775,851","4,857,630","4,039,713","3,785,293","3,730,700","3,533,725","3,248,787","2,668,601","3,112,524","2,824,051","2,769,331","2,846,631","2,208,670","2,356,672","2,153,855","1,897,651","2,029,134","2,184,233","2,027,740","1,856,425","1,972,895","1,973,450","2,339,081","1,262,681","1,438,997","1,457,554","1,233,207","1,027,956","1,110,013","1,102,505","1,111,395","1,034,325","1,119,294","1,220,906","952,048","1,433,372","1,301,597","1,234,969","1,270,414","1,337,102","1,351,875","1,340,917","1,265,598","1,084,440","1,323,316","1,397,007","1,205,088","1,284,913","1,164,223","1,084,387","341,627","1,067,661","1,112,101","1,152,546","940,404","969,868","914,254","807,450","725,978","757,213","778,509","666,669","745,637","646,345","739,977","887,736","749,216","777,338","613,984","680,531","612,479","682,151","635,266","550,782","619,196","701,469","636,767","625,735","657,484","673,309","649,318","718,624","662,725","527,342","800,000","600,000","700,000","573,728","700,000","900,000","800,000","710,045","600,000","400,000",
	SellingGeneralAndAdministration,"21,272,000","5,584,000","4,988,000","5,606,000","5,094,000","5,458,000","4,408,000","3,713,541","5,023,132","4,110,018","3,513,361","3,182,239","3,087,445","2,809,691","2,719,151","2,231,448","2,604,168","2,339,721","2,408,514","2,431,621","1,954,871","1,948,136","1,863,555","1,613,706","1,680,707","1,722,844","1,676,433","1,509,582","1,624,610","1,612,742","2,079,169","1,060,715","1,204,312","1,103,547","1,071,091","859,863","903,589","854,983","931,060","831,448","891,131","956,325","700,113","1,199,040","1,063,414","980,327","1,062,375","1,114,972","1,117,557","1,088,819","1,004,273","966,417","989,165","1,036,724","903,690","994,508","941,982","832,493","930,291","879,523","885,352","936,114","756,777","860,258","795,547","687,737","628,756","611,578","644,502","535,442","631,945","546,683","622,005","733,747","605,823","662,690","540,183","598,946","502,881","570,460","540,337","469,248","525,207","617,141","549,606","532,288","500,576","530,440","490,809","596,408","525,292","608,828","600,000","600,000","600,000","683,282","700,000","700,000","600,000","877,022","500,000","400,000",
	ResearchAndDevelopment,"3,730,000","902,000","882,000","1,276,000","670,000","1,292,000","809,000","947,939","752,719","747,612","526,352","603,054","643,255","724,034","529,636","437,153","508,356","484,330","360,817","415,010","253,799","408,536","290,300","283,945","348,427","461,389","351,307","346,843","348,285","360,708","259,912","201,966","234,685","354,007","162,116","168,093","206,424","247,522","180,335","202,877","228,163","264,581","251,935","234,332","238,183","254,642","208,039","222,130","234,318","252,098","261,325","118,023","334,151","360,283","301,398","290,405","222,241","251,894","225,951","188,138","226,749","216,432","183,627","109,610","118,707","119,713","97,222","145,635","134,007","131,227","113,692","99,662","117,972","153,989","143,393","114,648","73,801","81,585","109,598","111,691","94,929","81,534","93,989","84,328","87,161","93,447","89,154","65,671","69,706","74,686","89,812","118,514","100,000",,,"90,446",,"100,000","100,000","33,023",,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,302","-36,782","67,754","77,198","88,803","47,530","47,621",,"100,000",,"100,000",,,"100,000","100,000",,"100,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,302","-36,782","67,754","77,198","88,803","47,530","47,621",,"100,000",,"100,000",,,"100,000","100,000",,"100,000",,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,"100,000",,,"100,000","100,000",,"100,000",,
