name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"6,834,636,000","6,696,172,000","6,704,451,000","6,540,602,000","6,750,125,000","6,390,652,000","6,496,513,000","6,393,518,000","5,734,754,000","5,521,809,000","5,438,278,000","5,391,236,000","5,009,925,000","4,942,574,000","4,917,409,000","4,805,280,000","3,462,372,000","3,366,130,000","3,305,442,000","3,360,122,000","3,284,713,000","3,295,830,000"
TotalLiabilitiesNetMinorityInterest,"6,045,965,000","5,859,790,000","5,880,033,000","5,723,529,000","5,956,330,000","5,585,188,000","5,701,817,000","5,612,583,000","4,972,087,000","4,771,694,000","4,702,412,000","4,673,561,000","4,341,176,000","4,291,902,000","4,287,548,000","4,188,874,000","2,999,436,000","2,907,552,000","2,845,909,000","2,912,391,000","2,895,030,000","2,913,172,000"
TotalEquityGrossMinorityInterest,"788,671,000","836,382,000","824,418,000","817,073,000","793,795,000","805,464,000","794,696,000","780,935,000","762,667,000","750,115,000","735,866,000","717,675,000","668,749,000","650,672,000","629,861,000","616,406,000","462,936,000","458,578,000","459,533,000","447,731,000","389,683,000","382,658,000"
	StockholdersEquity,"788,671,000","836,382,000","824,418,000","817,073,000","793,795,000","805,464,000","794,696,000","780,935,000","762,667,000","750,115,000","735,866,000","717,675,000","668,749,000","650,672,000","629,861,000","616,406,000","462,936,000","458,578,000","459,533,000","447,731,000","389,683,000","382,658,000"
		CapitalStock,"388,000","10,825,000","10,824,000","10,823,000","10,823,000","10,822,000","10,821,000","10,819,000","10,818,000","10,817,000","10,816,000","10,816,000","10,800,000","10,799,000","10,799,000","10,798,000","10,731,000","10,730,000","10,730,000","10,730,000","337,435,000","337,435,000"
			PreferredStock,"0","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","10,438,000","25,441,000","25,441,000"
			CommonStock,"388,000","387,000","386,000","385,000","385,000","384,000","383,000","381,000","380,000","379,000","378,000","378,000","362,000","361,000","361,000","360,000","293,000","292,000","292,000","292,000","311,994,000","311,994,000"
		AdditionalPaidInCapital,"595,006,000","593,753,000","592,192,000","590,422,000","589,209,000","587,165,000","586,057,000","583,307,000","582,517,000","580,965,000","579,564,000","578,828,000","548,005,000","546,849,000","545,827,000","544,686,000","392,932,000","391,586,000","391,040,000","390,660,000","1,844,000","1,558,000"
		RetainedEarnings,"290,397,000","271,676,000","258,077,000","236,363,000","210,385,000","191,098,000","180,162,000","168,444,000","160,652,000","159,033,000","144,525,000","129,379,000","116,363,000","102,522,000","85,597,000","71,257,000","68,687,000","61,349,000","62,311,000","52,753,000","57,304,000","50,933,000"
		TreasuryStock,"40,732,000","31,570,000","31,161,000","20,712,000","8,275,000","1,668,000","1,668,000","1,668,000","1,668,000",,,,,,,,,,,,,
