name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
TotalAssets,"28,049,727","27,228,575","16,129,907","17,994,174","10,497,032","7,366,778","6,423,156","6,560,570","6,401,796","6,824,856","6,602,627","6,815,015","6,121,273","5,251,264","5,237,215","5,235,133","5,625,674","5,849,770","4,205,080","3,500,624","3,389,626","3,187,408","3,560,474","3,346,768","4,238,815","5,110,025","3,486,427","4,322,425","3,525,442","4,279,423","5,391,632","4,128,014","2,937,730","3,244,808","3,629,864","4,282,153","4,254,650","3,816,374","3,812,788","4,435,793","3,749,343","921,435","1,140,110","912,559","1,085,885","1,471,633","858,542","565,029","527,230","878,664","861,381","1,072,232","488,435","374,565","444,236","605,068","599,500","871,271","488,796","783,202","932,219","839,746"
	CurrentAssets,"24,551,720","23,664,920","12,541,313","14,346,036","6,747,710","3,873,775","2,827,694","2,778,724","2,409,685","2,608,893","2,436,106","2,583,880","2,581,055","2,512,256","2,520,676","2,396,271","3,377,720","4,067,246","3,091,687","2,374,883","2,318,535","2,093,786","2,469,555","2,308,898","3,142,133","3,995,196","2,357,710","3,187,406","2,453,055","3,294,167","4,385,336","3,228,592","2,042,947","2,402,908","2,766,488","3,425,951","3,394,365","3,026,854","3,036,816","3,746,446","3,198,826","401,580","630,146","433,047","631,728","1,028,056","446,241","172,302","138,670","513,362","524,198","801,293","216,134","100,423","147,508","314,245","281,645","600,384","227,324","518,323","603,877","693,235"
		CashCashEquivalentsAndShortTermInvestments,"24,337,502","23,432,612","12,194,744","13,913,519","6,521,425","3,306,590","2,200,311","2,222,313","2,028,259","2,236,344","2,167,777","2,203,015","2,285,631","2,174,625","2,204,317","2,002,967","2,810,761","3,482,327","2,879,656","2,140,426","2,182,631","1,956,844","2,302,076","2,103,903","3,021,734","3,730,705","2,142,145","2,920,352","2,338,849","3,165,940","4,213,873","3,030,317","1,930,097","2,270,704","2,621,067","3,259,183","3,319,258","2,936,879","2,931,753","3,623,022","2,954,677","359,824","561,929","374,495","548,627","953,867","425,134","166,425","79,466","459,989","451,561","795,962","195,460","88,225","135,339","205,567","175,463","479,451","71,629","436,671","127,972","528"
			CashAndCashEquivalents,"24,337,502","23,432,612","12,194,744","13,913,519","6,521,425","3,306,590","2,200,311","2,222,313","2,028,259","2,236,344","2,167,777","2,203,015","2,285,631","2,174,625","2,204,317","2,002,967","2,810,761","3,482,327","2,879,656","2,140,426","2,182,631","1,956,844","2,302,076","2,103,903","3,021,734","3,730,705","2,142,145","2,920,352","2,338,849","3,165,940","4,213,873","3,030,317","1,930,097","2,270,704","2,621,067","3,259,183","3,319,258","2,936,879","2,931,753","3,623,022","2,954,677","359,824","561,929","374,495","548,627","953,867","425,134","166,425","79,466","459,989","451,561","795,962","195,460","88,225","135,339","205,567","175,463","479,451","71,629","436,671","127,972","528"
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,001",,,,,,,"600",,,,,"10,000","0",,"101,322","101,283","101,244","101,385","100","100","100"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600",,,,,,,,"1,322","1,283","1,244","1,285","100","100","100"
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","100,000","100,000","100,100",,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,"1,322","1,283","1,244","1,285","0",,"0"
