name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011
TotalRevenue,"130,574,332","14,642,768","35,819,664","19,095,359","57,017,675","38,767,068","51,125,905","51,017,360","48,718,434","-66,107,128","2,327,722","20,618,492","-8,558,010","27,370,963","6,332,875","17,695,040","6,324,041","29,099,310","26,881,449","22,028,407","28,654,492","26,183,986","35,148,149","27,662,853","27,780,387","17,716,664","10,948,096","25,162,127","28,585,803","25,668,860","27,762","16,636,495","17,450,739","24,505,593","20,866,282","17,679,190","13,000,560","17,119,987","-1,910,175","11,895,284","11,076,529","5,183,308","10,119,493","10,785,488","17,159,741"
	OperatingRevenue,"130,574,332","14,642,768","35,819,664","19,095,359","57,017,675","38,767,068","51,125,905","51,017,360","48,718,434","-66,107,128","2,327,722","20,618,492","-8,558,010","27,370,963","6,332,875","17,695,040","6,324,041","29,099,310","26,881,449","22,028,407","28,654,492","26,183,986","35,148,149","27,662,853","27,780,387","17,716,664","10,948,096","25,162,127","28,585,803","25,668,860","27,762","16,636,495","17,450,739","24,505,593","20,866,282","17,679,190","13,000,560","17,119,987","-1,910,175","11,895,284","11,076,529","5,183,308","10,119,493","10,785,488","17,159,741"
OperatingExpense,"19,819,420","2,193,808","3,236,942","8,198,680","2,191,124","3,282,246","3,137,572","4,501,061","2,367,167","3,374,283","3,482,920","2,180,441","2,265,872","3,249,143","7,262,096","2,503,664","2,206,397","1,910,525","7,211,956","1,896,910","2,219,695","1,772,058","6,940,835","1,789,040","1,971,302","1,669,538","2,772,832","2,793,361","3,531,460","2,292,824","2,310,925","1,941,483","2,036,469","1,534,921","1,483,454","1,154,164","880,669","768,485",,,,"832,907",,,
	SellingGeneralAndAdministration,"8,339,016","2,193,808","1,961,693","1,992,391","2,191,124","1,981,809","1,967,189","2,064,148","2,367,167","2,125,585","2,149,404","2,180,441","2,265,872","2,144,641","2,406,940","2,503,664","2,206,397","1,910,525","1,990,828","1,896,910","2,219,695","1,772,058","2,853,274","1,789,040","1,971,302","1,669,538","-618,575","2,793,361","3,531,460","2,292,824","2,310,925","1,941,483","2,036,469","1,534,921","1,483,454","1,154,164","880,669","768,485","-2,602,356","1,899,119","1,720,061","832,907","1,847,613","1,832,742","1,829,245"
		GeneralAndAdministrativeExpense,"8,339,016","2,193,808","1,961,693","1,992,391","2,191,124","1,981,809","1,967,189","2,064,148","2,367,167","2,125,585","2,149,404","2,180,441","2,265,872","2,144,641","2,406,940","2,503,664","2,206,397","1,910,525","1,990,828","1,896,910","2,219,695","1,772,058","2,853,274","1,789,040","1,971,302","1,669,538","-618,575","2,793,361","3,531,460","2,292,824","2,310,925","1,941,483","2,036,469","1,534,921","1,483,454","1,154,164","880,669","768,485","-2,602,356","1,899,119","1,720,061","832,907","1,847,613","1,832,742","1,829,245"
			SalariesAndWages,,,,,,,,,,,,,"5,033,322","5,542,214","23,594,724","212,135","176,767","11,254,330",,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,"128,742","127,328","130,157","123,109","108,053","106,865","109,240","111,585","108,180","107,960","101,577","78,794","100,846","100,934","102,043","99,876","89,324","83,477","85,333",,"64,928","53,900","55,323","55,020","42,522","36,273","37,079","37,098","27,072","28,891","29,533","29,532","29,279"
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,862,021","1,692,989",,"1,818,080","1,803,210","1,799,966"
	OtherOperatingExpenses,,,"1,275,249","6,206,289",,"1,300,437","1,170,383","2,436,913",,"1,248,698","1,333,516",,,"1,104,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,"502,978",,,
OperatingIncome,,,,,,,,,,,,,,,,,,,"29,952,062","27,567,731","31,036,316","24,881,888","24,153,676","25,665,057","23,133,724","22,870,379","26,914,736","24,254,967","27,269,335","22,940,482","22,684,317",,"18,426,208","17,790,654","16,262,266","13,587,979","11,461,529","13,996,113","14,740,239","9,421,539","8,921,038","9,238,102",,"8,668,423","15,235,777"
