name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"1,091,569,000","1,073,795,000","1,032,012,000","1,010,598,000","962,582,000","974,325,000","1,031,776,000","1,035,400,000","1,106,914,000","1,013,679,000","890,899,000","877,751,000","847,112,000","732,398,000","715,303,000","708,095,000","681,241,000","687,749,000","654,550,000","637,640,000","629,088,000","633,538,000","632,280,000","635,583,000","570,539,000","586,218,000","580,073,000","588,459,000","370,334,000","376,193,000","358,232,000","354,848,000","350,094,000","354,758,000","331,257,000","275,322,000","223,508,000","210,134,000","204,680,000","143,195,000","103,334,000","107,878,000","96,976,000","95,757,000","81,297,000","82,672,000"
	CurrentAssets,"438,676,000","469,960,000","456,498,000","439,582,000","398,904,000","405,662,000","438,772,000","431,287,000","492,693,000","453,156,000","325,438,000","316,997,000","295,196,000","328,735,000","318,220,000","308,947,000","290,269,000","296,840,000","260,895,000","274,258,000","261,028,000","264,491,000","265,255,000","286,182,000","221,157,000","233,771,000","226,611,000","226,380,000","177,844,000","189,007,000","178,735,000","177,295,000","173,578,000","180,095,000","188,239,000","133,421,000","101,175,000","105,505,000","100,047,000","79,376,000","69,149,000","73,594,000","69,043,000","65,316,000","58,903,000","59,878,000"
		CashCashEquivalentsAndShortTermInvestments,"79,439,000","115,155,000","134,217,000","146,920,000","175,000,000","193,281,000","208,545,000","201,824,000","193,517,000","140,233,000","21,479,000","24,294,000","17,317,000","42,410,000","49,857,000","39,593,000","45,074,000","41,504,000","4,071,000","37,004,000","35,806,000","32,862,000","26,191,000","48,251,000","2,745,000","2,454,000","1,485,000","2,371,000","1,960,000","3,328,000","5,157,000","14,710,000","26,128,000","20,014,000","54,616,000","2,310,000","1,235,000","118,000","2,194,000","2,436,000","2,045,000","2,033,000","1,544,000","1,419,000","856,000","1,978,000"
			CashAndCashEquivalents,"79,439,000","115,155,000","134,217,000","146,920,000","175,000,000","193,281,000","208,545,000","201,824,000","193,517,000","140,233,000","21,479,000","24,294,000","17,317,000","42,410,000","49,857,000","39,593,000","45,074,000","41,504,000","4,071,000","37,004,000","35,806,000","32,862,000","26,191,000","48,251,000","2,745,000","2,454,000","1,485,000","2,371,000","1,960,000","3,328,000","5,157,000","14,710,000","26,128,000","20,014,000","54,616,000","2,310,000","1,235,000","118,000","2,194,000","2,436,000","2,045,000","2,033,000","1,544,000","1,419,000","856,000","1,978,000"
				CashFinancial,,,,,,,,,,"140,233,000",,,,"42,410,000","49,857,000","39,593,000",,"41,504,000",,,,"32,862,000",,"48,251,000",,"2,454,000","1,485,000","2,371,000",,"3,328,000",,,,"20,014,000",,"2,310,000","1,235,000","118,000","2,194,000",,,,,,,
		Receivables,"169,792,000","172,540,000","151,720,000","136,072,000","99,459,000","96,383,000","100,576,000","105,125,000","144,263,000","175,044,000","164,562,000","157,461,000","152,123,000","161,758,000","146,760,000","143,766,000","135,344,000","142,170,000","135,398,000","129,194,000","121,886,000","128,030,000","121,493,000","119,491,000","113,333,000","124,139,000","117,336,000","118,573,000","92,829,000","96,896,000","88,299,000","83,496,000","74,208,000","76,413,000","66,980,000","65,507,000","53,306,000","56,694,000","51,749,000","44,189,000","39,466,000","42,876,000","42,030,000","40,484,000","36,223,000","36,200,000"
			AccountsReceivable,"169,792,000","172,540,000","151,720,000","136,072,000","99,459,000","96,383,000","100,576,000","105,125,000","144,263,000","175,044,000","164,562,000","157,461,000","152,123,000","161,758,000","146,760,000","143,766,000","135,344,000","142,170,000","135,398,000","129,194,000","121,886,000","128,030,000","121,493,000","119,491,000","113,333,000","124,139,000","117,336,000","118,573,000","92,829,000","96,896,000","88,299,000","83,496,000","74,208,000","76,413,000","66,980,000","65,507,000","53,306,000","56,694,000","51,749,000","44,189,000","39,466,000","42,876,000","42,030,000","40,484,000","36,223,000","36,200,000"
				GrossAccountsReceivable,"188,960,000","192,800,000","172,042,000","158,087,000","121,838,000","120,410,000","124,667,000","131,254,000","169,881,000","183,890,000","172,959,000","165,454,000","159,584,000","169,218,000","155,508,000","152,289,000","142,985,000","150,196,000","143,348,000","136,784,000","128,957,000","134,878,000","127,584,000","125,641,000","119,208,000","129,942,000","123,011,000","123,762,000","97,777,000","101,571,000","93,065,000","87,493,000","77,848,000","80,055,000","70,467,000","69,212,000","56,807,000","60,134,000","54,748,000","47,004,000","42,385,000","45,776,000","44,707,000","43,059,000",,
				AllowanceForDoubtfulAccountsReceivable,"-19,168,000","-20,260,000","-20,322,000","-22,015,000","-22,379,000","-24,027,000","-24,091,000","-26,129,000","-25,618,000","-8,846,000","-8,397,000","-7,993,000","-7,461,000","-7,460,000","-8,748,000","-8,523,000","-7,641,000","-8,026,000","-7,950,000","-7,590,000","-7,071,000","-6,848,000","-6,091,000","-6,150,000","-5,875,000","-5,803,000","-5,675,000","-5,189,000","-4,948,000","-4,675,000","-4,766,000","-3,997,000","-3,640,000","-3,642,000","-3,487,000","-3,705,000","-3,501,000","-3,440,000","-2,999,000","-2,815,000","-2,919,000","-2,900,000","-2,677,000","-2,575,000",,
		Inventory,"152,443,000","144,491,000","132,802,000","122,936,000","91,814,000","82,519,000","98,185,000","96,627,000","129,999,000","124,056,000","122,225,000","122,592,000","113,540,000","112,614,000","110,073,000","115,902,000","101,523,000","102,083,000","109,862,000","96,247,000","91,152,000","87,498,000","88,979,000","91,257,000","91,266,000","92,758,000","92,992,000","91,948,000","71,046,000","75,528,000","70,553,000","67,015,000","64,399,000","64,710,000","57,271,000","55,855,000","39,230,000","40,402,000","37,719,000","27,419,000","23,122,000","23,873,000","19,260,000","19,312,000","17,284,000","16,441,000"
			OtherInventories,"161,716,000","152,803,000","140,872,000","131,233,000","100,569,000","91,532,000","106,303,000","104,168,000","135,267,000","125,993,000","124,095,000","124,480,000","115,584,000","114,535,000","111,984,000","117,823,000","103,663,000",,"111,792,000",,"92,863,000","89,620,000","90,962,000","92,989,000","92,887,000","94,714,000","94,471,000","93,104,000","72,214,000","76,658,000","71,607,000","68,010,000","65,209,000","65,393,000","58,588,000","56,825,000","39,851,000",,,,,,,,,
			InventoriesAdjustmentsAllowances,"-9,273,000","-8,312,000","-8,070,000","-8,297,000","-8,755,000","-9,013,000","-8,118,000","-7,541,000","-5,268,000","-1,937,000","-1,870,000","-1,888,000","-2,044,000","-1,921,000","-1,911,000","-1,921,000","-2,140,000",,"-1,930,000",,"-1,711,000","-2,122,000","-1,983,000","-1,732,000","-1,621,000","-1,956,000","-1,479,000","-1,156,000","-1,168,000","-1,130,000","-1,054,000","-995,000","-810,000","-683,000","-1,317,000","-970,000","-621,000",,,,,,,,,
		PrepaidAssets,"37,002,000","37,774,000","37,759,000","33,654,000","32,631,000","33,479,000","31,466,000","27,711,000","24,914,000","13,823,000","17,172,000","12,650,000","12,216,000","11,953,000","11,530,000","9,686,000","8,328,000","11,083,000","11,564,000","11,813,000","12,184,000","16,101,000","23,090,000","21,865,000","8,791,000","9,164,000","10,077,000","8,766,000","7,480,000","9,755,000","11,091,000","8,383,000","5,561,000","16,250,000","7,010,000","6,035,000","5,103,000","5,452,000","6,754,000","3,879,000","3,093,000","3,364,000","4,650,000","2,363,000","2,909,000","3,608,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,"5,502,000","5,318,000","5,022,000","5,256,000","4,721,000","4,722,000","4,529,000","3,500,000","3,635,000","3,691,000","3,282,000","2,708,000","2,362,000","3,714,000","2,301,000","2,839,000","1,631,000","1,453,000","1,423,000","1,448,000","1,559,000","1,738,000","1,631,000","1,651,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,"5,502,000","5,318,000","5,022,000","5,256,000","4,721,000","4,722,000","4,529,000","3,500,000","3,635,000","3,691,000","3,282,000","2,708,000","2,362,000","3,714,000","2,301,000","2,839,000","1,631,000","1,453,000","1,423,000","1,448,000","1,559,000","1,738,000","1,631,000","1,651,000"
