name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
TotalRevenue,"1,195,880,000","320,126,000","315,864,000","286,328,000","273,562,000","234,772,000","220,336,000","200,784,000","184,331,000","166,994,000","158,071,000","130,943,000","129,373,000"
	OperatingRevenue,"1,195,880,000","320,126,000","315,864,000","286,328,000","273,562,000","234,772,000","220,336,000","200,784,000","184,331,000","166,994,000","158,071,000","130,943,000","129,373,000"
CostOfRevenue,"288,729,000","93,833,000","73,654,000","63,517,000","57,725,000","58,734,000","52,507,000","47,540,000","40,432,000","31,868,000","29,995,000","26,451,000","29,049,000"
GrossProfit,"907,151,000","226,293,000","242,210,000","222,811,000","215,837,000","176,038,000","167,829,000","153,244,000","143,899,000","135,126,000","128,076,000","104,492,000","100,324,000"
OperatingExpense,"1,499,075,000","397,454,000","387,039,000","349,561,000","365,021,000","286,940,000","248,676,000","294,927,000","168,744,000","162,563,000","176,656,000","146,224,000","132,997,000"
	SellingGeneralAndAdministration,"736,340,000","176,414,000","177,973,000","171,148,000","210,805,000","132,925,000","128,668,000","178,279,000","83,636,000","80,812,000","103,560,000","82,190,000","68,725,000"
		GeneralAndAdministrativeExpense,"357,255,000","72,475,000","75,140,000","73,723,000","135,917,000","63,132,000","59,991,000","117,515,000","39,920,000","37,553,000","54,747,000","35,631,000","28,078,000"
			OtherGandA,"357,255,000","72,475,000","75,140,000","73,723,000","135,917,000","63,132,000","59,991,000","117,515,000","39,920,000","37,553,000","54,747,000","35,631,000","28,078,000"
		SellingAndMarketingExpense,"379,085,000","103,939,000","102,833,000","97,425,000","74,888,000","69,793,000","68,677,000","60,764,000","43,716,000","43,259,000","48,813,000","46,559,000","40,647,000"
	ResearchAndDevelopment,"762,735,000","221,040,000","209,066,000","178,413,000","154,216,000","154,015,000","120,008,000","116,648,000","85,108,000","81,751,000","73,096,000","64,034,000","64,272,000"
OperatingIncome,"-591,924,000","-171,161,000","-144,829,000","-126,750,000","-149,184,000","-110,902,000","-80,847,000","-141,683,000","-24,845,000","-27,437,000","-48,580,000","-41,732,000","-32,673,000"
NetNonOperatingInterestIncomeExpense,"-1,185,000","-170,000","-536,000","-64,000","-415,000","1,450,000","-3,173,000","-2,638,000","-656,000","1,724,000","-79,000","-1,808,000","512,000"
	InterestIncomeNonOperating,"942,000","941,000","-5,000",,"70,000","1,565,000",,,,"1,856,000",,,"512,000"
	InterestExpenseNonOperating,"2,127,000","1,111,000","531,000","64,000","485,000","115,000","3,173,000","2,638,000","656,000","132,000","79,000","1,808,000","0"
OtherIncomeExpense,,,,,,,,,"-662,000",,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,"-662,000",,,,
