name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
		CurrentDebtAndCapitalLeaseObligation,"267,968,000","297,745,000","113,730,000","105,208,000","122,612,000","100,079,000","479,743,000","469,479,000","452,425,000","457,752,000","125,090,000","157,588,000","162,051,000","58,672,000","63,555,000","65,876,000","46,720,000","49,002,000","54,591,000",,,,,,,,,,,,,,,,,,,,,,,,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,961,000","1,322,000","2,715,000","15,268,000","3,035,583","3,003,624","3,159,162","4,199,460","4,864,429","3,979,214","5,477,868","44,498,744","44,389,675","38,536,248","31,770,658","11,370,696","10,205,124","5,816,649","5,291,981","7,644,844","4,326,719","2,000,000","2,014,171","1,560,625","115,212","186,821","394,191","993,444","12,984,922","6,575,888","3,002,150","2,440,543","1,159,631","1,598,661","1,049,690"
			CurrentDebt,,,,,,,,,,,,,,,,,"441,000","30,000","30,000",,,,,,,,,,,,,,,,,,,,,,,,"50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,961,000","1,322,000","2,715,000","15,268,000","3,035,583","3,003,624","3,159,162","4,199,460","4,864,429","3,979,214","5,477,868","44,498,744","44,389,675","38,536,248","31,770,658","11,370,696","10,205,124","5,816,649","5,291,981","7,644,844","4,326,719","2,000,000","2,014,171","1,560,625","115,212","186,821","394,191","993,444","12,984,922","6,575,888","3,002,150","2,440,543","1,159,631","1,598,661","1,049,690"
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,"441,000","30,000","30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"267,968,000","297,745,000","113,730,000","105,208,000","122,612,000","100,079,000","479,743,000","469,479,000","452,425,000","457,752,000","125,090,000","157,588,000","162,051,000","58,672,000","63,555,000","65,876,000","46,279,000","48,972,000","54,561,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,"198,957,000","213,918,000","201,878,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,581,000","36,654,000","25,586,000","25,663,000","25,371,000","25,926,000","23,214,000","23,049,000","23,508,000","26,366,000","30,170,000","27,091,000","26,408,000","23,904,000","20,329,000","18,065,000","15,708,000","14,805,000","13,541,000","13,286,000","11,626,000","10,419,000","9,593,000","8,722,194","7,709,936","7,509,397","5,533,466","5,212,525","5,753,105","5,554,127","5,598,877","5,504,619","5,288,309","4,639,993","8,595,555","8,963,612","8,427,818","3,724,385","9,329,477","6,434,340","8,263,863","3,463,322","6,477,519","5,507,917","5,873,883","3,040,672","6,060,928","5,845,623","6,132,563","1,773,293","2,529,949","2,452,455","2,228,185","1,801,242"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,948,834,000","3,037,234,000","3,197,001,000","1,878,858,000","1,621,698,000","1,756,254,000","1,357,914,000","1,541,956,000","1,618,718,000","1,620,391,000","2,020,174,000","1,937,977,000","1,774,552,000","1,834,603,000","1,855,523,000","1,716,136,000","1,728,538,000","1,833,522,000","2,049,046,000","199,466,000","196,365,000","211,144,000","243,391,000","251,280,000","294,907,000","299,837,000","278,601,000","250,106,000","249,695,000","310,425,000","177,357,000","160,909,000","158,154,000","191,879,000","203,903,000","179,477,000","199,081,000","237,849,000","198,963,000","204,614,000","209,281,000","210,818,000","192,436,000","134,685,000","131,436,000","129,054,000","118,484,000","115,003,000","116,190,000","120,556,000","120,719,000","121,544,000","129,640,000","127,897,000","119,755,000","115,020,000","95,903,000","93,368,000","87,453,000","86,092,000","84,240,000","82,526,000","79,155,000","78,149,000","78,152,000","76,597,000","74,760,000","73,152,000","72,556,000","72,660,000","64,425,000","55,540,000","55,292,000","55,149,000","62,134,000","47,381,000","58,288,000","56,502,000","40,158,000","50,640,898","51,629,806","52,589,921","64,197,510","69,660,852","70,941,452","80,299,588","45,492,475","45,154,292","35,227,033","33,737,026","27,515,998","26,462,218","26,003,699","24,931,932","16,146,685","14,977,800","13,822,858","12,485,085","11,231,620","10,300,300","9,544,830","8,480,049","9,035,955","7,663,913","7,547,360","10,389,500","9,188,766","9,607,615","8,717,318","8,510,908"
		LongTermDebtAndCapitalLeaseObligation,"1,575,159,000","1,661,332,000","1,815,979,000","580,821,000","603,953,000","717,002,000","324,320,000","359,445,000","439,362,000","432,543,000","825,382,000","830,414,000","644,498,000","630,838,000","673,217,000","577,775,000","540,158,000","616,903,000","620,259,000",,,"18,000,000","52,000,000","60,000,000","106,000,000","112,000,000","120,000,000","85,000,000","78,400,000","134,400,000","37,000,000","15,362,000","12,000,000","38,000,000","52,000,000","26,000,000","43,000,000","80,000,000","45,000,000","50,000,000","55,000,000","55,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,200,000",,"12,200,000","12,200,000","192,000","12,960,944","13,521,932","14,914,526","30,603,829","37,704,809","39,340,878","48,885,268","16,349,555","17,788,913","11,005,597","11,735,651","6,507,070","6,984,473","7,454,899","7,919,647",,,,,,,,"53,491","307,645","523,455","753,760","980,787","1,204,383","2,424,718","1,847,435","2,117,480"
			LongTermDebt,"1,194,159,000","1,297,552,000","1,538,022,000","354,219,000","414,063,000","508,907,000","170,000,000","235,000,000","294,000,000","279,000,000","654,766,000","634,707,000","424,649,000","559,590,000","599,531,000","484,473,000","419,411,000","489,771,000","484,719,000",,,"18,000,000","52,000,000","60,000,000","106,000,000","112,000,000","120,000,000","85,000,000","78,400,000","134,400,000","37,000,000","15,362,000","12,000,000","38,000,000","52,000,000","26,000,000","43,000,000","80,000,000","45,000,000","50,000,000","55,000,000","55,000,000","50,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,200,000",,"12,200,000","12,200,000","192,000","12,960,944","13,521,932","14,914,526","30,603,829","37,704,809","39,340,878","48,885,268","16,349,555","17,788,913","11,005,597","11,735,651","6,507,070","6,984,473","7,454,899","7,919,647",,,,,,,,"53,491","307,645","523,455","753,760","980,787","1,204,383","2,424,718","1,847,435","2,117,480"
			LongTermCapitalLeaseObligation,"381,000,000","363,780,000","277,957,000","226,602,000","189,890,000","208,095,000","154,320,000","124,445,000","145,362,000","153,543,000","170,616,000","195,707,000","219,849,000","71,248,000","73,686,000","93,302,000","120,747,000","127,132,000","135,540,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"881,287,000","874,877,000","856,926,000","806,398,000","797,019,000","815,941,000","802,292,000","792,839,000","785,588,000","771,719,000","774,683,000","749,077,000","730,516,000","739,538,000","726,409,000","684,595,000","671,111,000","679,077,000","909,941,000","183,518,000","180,910,000","178,000,000","177,201,000","177,200,000","175,056,000","174,165,000","144,724,000","150,872,000","157,086,000","162,007,000","127,896,000","133,472,000","134,284,000","142,504,000","140,195,000","141,367,000","143,242,000","144,871,000","142,601,000","143,660,000","143,161,000","145,668,000","130,903,000","123,113,000","122,322,000","118,886,000","106,818,000","103,077,000","104,357,000","108,135,000","107,675,000","106,916,000","114,878,000","112,661,000","105,088,000","101,026,000","95,903,000","93,368,000","87,453,000","86,092,000","84,240,000","82,526,000","79,155,000","78,149,000","78,152,000","76,597,000","74,510,000","73,152,000","72,556,000","72,660,000","64,425,000","55,540,000","55,292,000","55,149,000","49,934,000","47,381,000","46,088,000","44,302,000","39,966,000","37,679,954","38,107,874","37,675,395","33,593,681","31,956,043","31,600,574","31,414,320","29,142,920","27,365,379","24,221,436","22,001,375","21,008,928","19,477,745","18,548,800","17,012,285","16,146,685","14,977,800","13,822,858","12,485,085","11,231,620","10,300,300","9,544,830","8,426,558","8,728,310","7,140,458","6,793,600","6,315,200","5,384,700","5,086,300","4,893,000","4,692,400"
