name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996
TotalRevenue,"1,144,078,000","257,727,000","284,638,000","323,369,000","278,344,000","182,947,000","193,393,000","210,771,000","151,733,000","218,175,000","268,084,000","310,732,000","317,684,000","218,320,000","244,979,000","291,490,000","295,441,000","209,394,000","237,571,000","295,088,000","276,799,000","197,898,000","208,195,000","267,577,000","241,751,000","207,118,000","210,951,000","241,526,000","232,156,000","175,245,000","185,402,000","215,168,000","197,664,000","147,283,000","180,695,000","223,162,000","183,578,000","136,872,000","178,306,000","210,413,000","173,621,000","129,169,000","165,890,000","192,321,000","165,301,000","115,281,000","155,006,000","183,801,000","149,848,000","107,421,000","140,701,000","165,976,000","143,343,000","114,158,000","154,494,000","191,211,000","167,120,000","128,855,000","165,193,000","176,409,000","157,709,000","116,183,000","143,708,000","150,996,000","140,540,000","109,418,000","121,665,000","142,071,000","122,415,000","91,248,000","106,886,000","127,510,000","107,175,000","87,235,000","95,158,000","105,893,000","103,497,000","81,556,000","84,310,000","105,030,000","100,469,000","75,330,000","209,660,000","53,211,000","45,207,000","33,350,000","44,551,000","50,113,000","41,165,000","31,645,000","43,000,000","48,000,000","38,400,000","30,400,000","41,100,000","46,700,000","40,600,000","32,500,000","44,400,000","43,300,000","110,500,000","90,700,000","109,400,000","119,400,000"
	OperatingRevenue,"1,111,587,000","249,498,000","276,722,000","314,724,000","270,643,000","178,540,000","189,461,000","207,194,000","149,310,000","211,227,000","258,233,000","300,977,000","306,396,000","209,171,000","232,524,000","281,258,000","284,880,000","199,851,000","228,271,000","286,521,000","268,570,000","189,946,000","201,216,000","262,031,000","236,023,000","202,172,000","204,811,000","236,833,000","228,710,000","171,668,000","181,077,000","211,538,000","194,178,000","144,211,000","178,206,000","220,071,000","181,320,000","134,859,000","169,101,000","210,413,000","173,621,000","129,169,000","165,890,000","192,321,000","165,301,000","115,281,000","155,006,000","183,801,000","149,848,000","107,421,000","140,701,000","165,976,000","84,421,000","114,158,000","154,494,000","191,211,000","167,120,000","128,855,000","165,193,000","176,409,000","157,709,000","116,183,000","143,708,000","150,996,000","140,540,000","109,418,000","121,665,000","142,071,000","122,415,000","91,248,000","106,886,000","127,510,000","107,175,000","87,235,000","95,158,000","105,893,000","103,497,000","81,556,000","84,310,000","105,030,000","100,469,000","75,330,000","56,588,000","53,211,000","45,207,000","31,994,000","44,551,000","50,113,000","41,165,000","31,645,000","43,000,000","48,000,000","38,400,000","30,400,000","41,100,000","46,700,000","40,600,000","32,500,000","44,400,000","43,300,000","110,500,000","90,700,000","109,400,000","119,400,000"
CostOfRevenue,"489,184,000","121,804,000","125,492,000","123,270,000","118,618,000","102,320,000","116,527,000","117,620,000","92,285,000","136,481,000","149,183,000","164,444,000","160,121,000","119,839,000","140,154,000","138,316,000","136,568,000","119,228,000","131,810,000","167,763,000","158,035,000","109,475,000","113,523,000","152,018,000","133,814,000","126,361,000","122,465,000","134,463,000","133,122,000","98,713,000","103,594,000","115,653,000","103,766,000","84,012,000","101,654,000","127,252,000","100,556,000","77,315,000","101,056,000","119,995,000","95,500,000","71,738,000","91,717,000","105,293,000","91,692,000","63,800,000","87,949,000","103,690,000","81,197,000","59,596,000","78,351,000","91,229,000","76,125,000","62,827,000","82,798,000","101,725,000","86,197,000","69,191,000","87,020,000","87,662,000","82,604,000","62,782,000","75,136,000","73,821,000","73,542,000","58,721,000","59,246,000","73,750,000","63,508,000","49,844,000","52,946,000","66,158,000","55,100,000","50,001,000","46,270,000","49,403,000","54,284,000","48,079,000","42,281,000","51,072,000","55,233,000","44,147,000","168,762,000","728,000","661,000","520,000",,,"-2,430,000","-2,777,000","-4,200,000","-1,100,000","-600,000","200,000","1,200,000","4,500,000","5,800,000","28,200,000","41,100,000","39,600,000","64,400,000","56,900,000","60,100,000",
GrossProfit,"654,894,000","135,923,000","159,146,000","200,099,000","159,726,000","80,627,000","76,866,000","93,151,000","59,448,000","81,694,000","118,901,000","146,288,000","157,563,000","98,481,000","104,825,000","153,174,000","158,873,000","90,166,000","105,761,000","127,325,000","118,764,000","88,423,000","94,672,000","115,559,000","107,937,000","80,757,000","88,486,000","107,063,000","99,034,000","76,532,000","81,808,000","99,515,000","93,898,000","63,271,000","79,041,000","95,910,000","83,022,000","59,557,000","77,250,000","90,418,000","78,121,000","57,431,000","74,173,000","87,028,000","73,609,000","51,481,000","67,057,000","80,111,000","68,651,000","47,825,000","62,350,000","74,747,000","67,218,000","51,331,000","71,696,000","89,486,000","80,923,000","59,664,000","78,173,000","88,747,000","75,105,000","53,401,000","68,572,000","77,175,000","66,998,000","50,697,000","62,419,000","68,321,000","58,907,000","41,404,000","53,940,000","61,352,000","52,075,000","37,234,000","48,888,000","56,490,000","49,213,000","33,477,000","42,029,000","53,958,000","45,236,000","31,183,000","40,898,000","52,483,000","44,546,000","32,830,000",,,"43,595,000","34,422,000","47,200,000","49,100,000","39,000,000","30,200,000","39,900,000","42,200,000","34,800,000","4,300,000","3,300,000","3,700,000","46,100,000","33,800,000","49,300,000",
OperatingExpense,"170,322,000","36,555,000","52,072,000","40,993,000","40,702,000","36,629,000","50,834,000","37,795,000","50,362,000","35,364,000","50,270,000","43,876,000","50,385,000","43,130,000","48,495,000","42,006,000","49,939,000","43,917,000","49,175,000","49,459,000","41,258,000","35,916,000","42,211,000","37,343,000","42,995,000","37,884,000","41,291,000","33,260,000","36,117,000","35,128,000","35,551,000","32,529,000","33,745,000","28,585,000","31,884,000","29,361,000","32,700,000","29,091,000","32,016,000","25,165,000","26,531,000","26,366,000","35,511,000","24,628,000","28,487,000","25,802,000","28,616,000","25,234,000","25,044,000","23,988,000","28,267,000","26,622,000","29,108,000","23,576,000","37,599,000","27,617,000","36,345,000","25,612,000","30,082,000","26,388,000","27,742,000","26,015,000","28,686,000","22,623,000","24,884,000","20,624,000","26,172,000","20,534,000","21,490,000","19,105,000","22,464,000","18,863,000","19,939,000","18,335,000","20,576,000","16,718,000","20,546,000","16,245,000","15,854,000","17,373,000","17,789,000","15,139,000","17,885,000","17,074,000","18,190,000","15,379,000","20,243,000","17,312,000","19,554,000","17,688,000","24,000,000","18,900,000","16,100,000","14,500,000","17,500,000","15,500,000","15,100,000","14,400,000","15,000,000","13,600,000","16,700,000","21,300,000","24,900,000",
	SellingGeneralAndAdministration,"145,680,000","30,324,000","45,776,000","35,110,000","34,470,000","30,267,000","44,312,000","31,413,000","36,115,000","28,835,000","44,031,000","38,308,000","46,980,000","39,514,000","44,702,000","38,191,000","46,270,000","40,864,000","45,959,000","46,364,000","38,208,000","32,846,000","39,213,000","34,357,000","40,039,000","35,119,000","38,542,000","30,152,000","33,122,000","32,438,000","33,089,000","30,236,000","31,413,000","26,463,000","29,489,000","26,982,000","30,180,000","26,916,000","29,779,000","23,170,000","24,554,000","24,349,000","33,463,000","22,555,000","26,539,000","23,847,000","26,744,000","23,156,000","22,824,000","21,816,000","26,183,000","24,517,000","27,076,000","21,461,000","35,580,000","25,579,000","34,275,000","23,555,000","27,855,000","24,230,000","25,605,000","23,900,000","26,316,000","20,279,000","22,242,000","18,275,000","23,890,000","18,346,000","19,234,000","16,780,000","20,042,000","16,374,000","17,437,000","15,801,000","17,823,000","14,135,000","17,416,000","13,486,000","12,820,000","14,681,000","14,991,000","12,412,000","14,385,000","14,014,000","15,188,000","12,489,000","17,005,000","14,482,000","14,071,000","12,228,000","17,100,000","15,200,000","12,600,000","11,000,000","13,900,000","13,200,000","12,400,000","11,400,000","13,000,000","10,500,000","9,000,000","13,700,000","17,400,000",
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,517,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,517,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"24,642,000","6,231,000","6,296,000","5,883,000","6,232,000","6,362,000","6,522,000","6,382,000","6,398,000","6,529,000","6,239,000","5,568,000","3,405,000","3,616,000","3,793,000","3,815,000","3,669,000","3,053,000","3,216,000","3,095,000","3,050,000","3,070,000","2,998,000","2,986,000","2,956,000","2,765,000","2,749,000","3,108,000","2,995,000","2,690,000","2,462,000","2,293,000","2,332,000","2,122,000","2,395,000","2,379,000","2,520,000","2,175,000","2,237,000","1,995,000","1,977,000","2,017,000","2,048,000","2,073,000","1,948,000","1,955,000","1,872,000","2,078,000","2,220,000","2,172,000","2,084,000","2,105,000","2,032,000","2,115,000","2,019,000","2,038,000","2,070,000","2,057,000","2,227,000","2,158,000","2,137,000","2,115,000","2,370,000","2,344,000","2,642,000","2,349,000","2,282,000","2,188,000","2,256,000","2,325,000","2,422,000","2,489,000","2,502,000","2,534,000","2,753,000","2,583,000","3,130,000","2,759,000","3,034,000","2,692,000","2,798,000","2,727,000","3,500,000","3,060,000","3,002,000","2,890,000","3,238,000","2,830,000","5,483,000","5,460,000","6,900,000","3,700,000","3,500,000","3,500,000","3,600,000","2,300,000","2,700,000","3,000,000","2,000,000","3,100,000","7,700,000","7,600,000","7,500,000",
