name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
OperatingCashFlow,"-7,113,000","-20,124,000","3,853,000","4,639,000","4,519,000","-54,650,000","-15,975,000","-40,478,000","-14,842,000","-98,731,000","-60,484,000","-46,756,000","-45,948,000","-83,425,000","-52,812,000","-51,581,000","-47,455,000","-88,866,000","-76,459,000","-56,138,000","-55,305,000","-77,500,000","-89,462,000","-112,102,000","-71,020,000","-69,857,000","-65,686,000","-33,621,000","-34,001,422","-29,593,578","-32,143,217","-23,867,471","-19,409,280","-12,318,376","-10,425,305","-6,437,249","-5,508,182","-5,635,673","-4,292,235","-3,688,954","-3,875,046","-3,893,233","-4,649,620","-2,062,652"
	CashFlowFromContinuingOperatingActivities,"-7,113,000","-20,124,000","3,853,000","4,639,000","4,519,000","-54,650,000","-15,975,000","-40,478,000","-14,842,000","-98,731,000","-60,484,000","-46,756,000","-45,948,000","-83,425,000","-52,812,000","-51,581,000","-47,455,000","-88,866,000","-76,459,000","-56,138,000","-55,305,000","-77,500,000","-89,462,000","-112,102,000","-71,020,000","-69,857,000","-65,688,000","-33,619,000","-34,001,422","-29,593,578","-32,143,217","-23,867,471","-19,409,280","-12,318,376","-10,425,305","-6,437,249","-5,508,182","-5,635,673","-4,292,235","-3,688,954","-3,875,046","-3,893,233","-4,649,620","-2,062,652"
		NetIncomeFromContinuingOperations,"-68,290,000","-17,284,000","-36,280,000","-3,632,000","-11,094,000","-40,420,000","-52,147,000","-66,469,000","-63,281,000","-92,983,000","-98,158,000","-84,833,000","-71,420,000","-90,270,000","-88,005,000","-64,454,000","-75,193,000","-81,590,000","-111,272,000","-72,601,000","-86,564,000","-89,930,000","-120,041,000","-88,816,000","-77,299,000","-126,674,000","-88,254,000","-50,895,000","-47,893,880","-39,386,120","-34,824,077","-35,843,274","45,107,215","-257,665,818","-12,368,272","-31,737,073","-13,476,917","-10,210,148","-30,690,403",,,"-2,679,692",,
		OperatingGainsLosses,,,"0",,,,,,,,"0","0","-1,000","2,683,000","8,000","-249,000","679,000","901,000",,,,,"-4,000",,,,,,,,"0","20,913","-55,794,796","226,626,668","-1,569,606","20,756,086","5,572,081","3,682,505","24,625,598","0","869,640","-677,907","0",
			GainLossOnSaleOfPPE,,,,,,,"0","0","0","0","0","0","-1,000","2,683,000","0","0","430,000","901,000",,,,,,,,,,,,,"0",,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","191,733","0","0","0"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,"-4,000",,,,,,,,"0","0","-55,794,796","226,626,668","-1,569,606","20,756,086","5,572,081","3,682,505",,,,"-677,907",,
		DepreciationAmortizationDepletion,"2,483,000","375,000","421,000","808,000","879,000","870,000","836,000","710,000","808,000","764,000","824,000","-1,771,000","2,210,000","2,400,000","1,031,000","1,123,000","1,138,000","1,290,000","1,345,000","1,382,000","1,072,000","802,000","1,644,000","643,000","860,000","684,000","632,000","413,000","395,641","250,359","232,601","79,783","68,752","61,661","26,313","26,886","29,834","22,650","22,854","24,378","79,738","74,353","90,076","159,414"
			DepreciationAndAmortization,"2,483,000","375,000","421,000","808,000","879,000","870,000","836,000","710,000","808,000","764,000","824,000","-1,771,000","2,210,000","2,400,000","1,031,000","1,123,000","1,138,000","1,290,000","1,345,000","1,382,000","1,072,000","802,000","1,644,000","643,000","860,000","684,000","632,000","413,000","395,641","250,359","232,601","79,783","68,752","61,661","26,313","26,886","29,834","22,650","22,854","24,378","79,738","74,353","90,076","159,414"
				Depreciation,"2,483,000","375,000","421,000","808,000","879,000","870,000","836,000","710,000","808,000","764,000","824,000",,,,"1,031,000","1,123,000","1,138,000","1,290,000","1,345,000","1,382,000","1,072,000","802,000","1,644,000","643,000","860,000","684,000","632,000","413,000","395,641","250,359","232,601","79,783","68,752","61,661",,,"29,834","22,650","22,854","24,378","79,738","74,353","90,076","159,414"
