name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
TotalAssets,"114,423,000,000","109,113,000,000","106,282,000,000","104,331,000,000","103,764,000,000","95,679,000,000","84,698,000,000","83,965,000,000","75,849,000,000","71,676,000,000","67,804,000,000","66,034,000,000","63,526,000,000","60,547,000,000","62,062,000,000","60,303,000,000","59,093,000,000","61,162,000,000","59,843,000,000","57,597,000,000","56,257,000,000","54,673,000,000","55,064,000,000","51,829,000,000","50,186,000,000","48,734,000,000","47,226,000,000","45,159,000,000","43,294,000,000","43,385,026,000","41,608,206,000","40,155,499,000","38,980,376,000","37,870,700,000","36,277,044,000","35,056,554,000","35,144,104,000","33,199,557,000","33,861,696,000","32,383,711,000","32,696,398,000","30,404,365,000","33,151,121,000","30,640,255,000","30,054,599,000","28,498,768,000","29,660,427,000","27,481,678,000","29,362,208,000","26,605,551,000","28,845,475,000","26,443,664,000","25,135,830,000","28,356,635,000","29,351,677,000","29,793,850,000","33,190,623,000","34,542,086,000","36,250,920,000","33,544,823,000","32,248,688,000","32,080,518,000"
	CurrentAssets,"113,009,000,000","107,643,000,000","105,013,000,000","102,862,000,000","102,481,000,000","94,541,000,000","83,827,000,000","82,676,000,000","74,265,000,000","69,441,000,000","65,634,000,000","64,575,000,000","61,854,000,000","58,320,000,000","59,487,000,000","58,143,000,000","56,993,000,000","58,920,000,000","57,586,000,000","55,543,000,000","54,371,000,000","52,121,000,000","52,381,000,000","48,793,000,000","47,649,000,000","46,267,000,000","44,034,000,000","42,365,000,000","40,741,000,000","40,873,952,000","38,883,086,000","37,257,680,000","35,874,772,000","33,987,683,000","32,294,280,000","30,944,566,000","30,749,765,000","29,004,937,000",,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"2,667,000,000","2,395,000,000","2,838,000,000","3,218,000,000","2,627,000,000","4,292,000,000","3,292,000,000","3,115,000,000","3,101,000,000","2,882,000,000","3,035,000,000","3,162,000,000","2,546,000,000","2,597,000,000","3,062,000,000","2,500,000,000","1,901,000,000","1,732,000,000","2,056,000,000","2,115,000,000","1,656,000,000","1,925,000,000","1,550,000,000","1,443,000,000","1,747,000,000","1,601,000,000","1,588,000,000","1,041,000,000","990,000,000","1,269,317,000","1,010,759,000","999,630,000","991,439,000","1,213,241,000","1,548,520,000","1,414,849,000","1,184,868,000","1,614,592,000","1,659,505,000","2,003,505,000","1,551,399,000","1,695,495,000","1,555,735,000","1,422,935,000","1,176,160,000","1,354,219,000","1,291,717,000","1,111,044,000","850,221,000","806,560,000","859,935,000","863,769,000","703,492,000","943,497,000","471,048,000","431,264,000","695,387,000","521,776,000","500,810,000","868,586,000","607,776,000","669,271,000"
			CashAndCashEquivalents,"2,667,000,000","2,395,000,000","2,838,000,000","3,218,000,000","2,627,000,000","4,292,000,000","3,292,000,000","3,115,000,000","3,101,000,000","2,882,000,000","3,035,000,000","3,162,000,000","2,546,000,000","2,597,000,000","3,062,000,000","2,500,000,000","1,901,000,000","1,732,000,000","2,056,000,000","2,115,000,000","1,656,000,000","1,925,000,000","1,550,000,000","1,443,000,000","1,747,000,000","1,601,000,000","1,588,000,000","1,041,000,000","990,000,000","1,269,317,000","1,010,759,000","999,630,000","991,439,000","1,213,241,000","1,548,520,000","1,414,849,000","1,184,868,000","1,614,592,000","1,659,505,000","2,003,505,000","1,551,399,000","1,695,495,000","1,555,735,000","1,422,935,000","1,176,160,000","1,354,219,000","1,291,717,000","1,111,044,000","850,221,000","806,560,000","859,935,000","863,769,000","703,492,000","943,497,000","471,048,000","431,264,000","695,387,000","521,776,000","500,810,000","868,586,000","607,776,000","669,271,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,"4,254,000,000","3,646,000,000","3,420,000,000","3,840,000,000","3,613,000,000","3,473,000,000","3,934,100,000","3,396,200,000","3,238,100,000","3,428,200,000","4,448,800,000","4,425,300,000","4,412,700,000","4,662,300,000","4,518,300,000",,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"56,880,000,000","63,213,000,000","60,762,000,000","58,211,000,000","47,821,000,000","41,483,000,000","34,388,000,000","28,521,000,000","22,650,000,000","35,258,000,000","28,360,000,000","28,072,000,000","28,326,000,000","29,106,000,000","32,207,000,000","30,754,000,000","31,242,000,000","32,795,000,000","27,033,000,000","24,422,000,000","22,499,000,000","20,617,000,000","19,201,000,000","16,659,000,000","16,804,000,000","18,000,000,000","17,018,000,000","20,404,000,000","18,673,000,000","18,605,635,000","18,466,642,000","16,399,281,000","15,634,681,000","14,867,699,000","13,731,072,000","12,873,247,000","12,479,598,000","11,147,955,000","10,287,913,000","9,604,914,000","9,673,533,000","8,443,699,000","8,007,115,000","10,290,748,000","10,046,126,000","7,725,589,000","5,974,607,000","5,067,443,000","5,132,091,000","3,748,568,000","4,955,325,000","4,342,240,000","3,752,503,000","4,174,969,000","4,232,724,000","4,844,438,000","3,666,999,000","4,485,717,000","3,956,527,000","4,843,621,000","2,827,884,000","1,768,177,000"
			AccountsReceivable,"48,306,000,000","54,935,000,000","50,503,000,000","49,954,000,000","42,645,000,000","39,333,000,000","30,343,000,000","25,678,000,000","20,092,000,000","31,304,000,000","25,970,000,000","25,904,000,000","25,868,000,000","27,017,000,000","30,913,000,000","28,970,000,000","29,464,000,000","29,821,000,000","25,333,000,000","22,833,000,000","21,273,000,000","19,409,000,000","18,223,000,000","15,137,000,000","15,222,000,000","17,050,000,000","15,879,000,000","19,002,000,000","17,437,000,000","17,051,452,000","17,261,440,000","15,326,943,000","14,413,560,000","13,596,650,000","12,727,552,000","11,311,806,000","11,184,098,000","9,851,018,000","9,412,441,000","8,524,439,000","8,480,623,000","7,045,332,000","6,837,707,000","9,342,802,000","9,305,870,000","6,991,535,000","5,435,981,000","4,457,397,000","4,445,082,000","3,254,345,000","2,955,536,000","2,236,813,000","1,900,059,000","1,646,347,000","1,973,722,000","2,541,895,000","2,030,971,000","2,001,554,000","1,408,529,000","1,368,693,000","1,145,320,000","911,220,000"
				GrossAccountsReceivable,"48,315,000,000","54,943,000,000","50,512,000,000","49,964,000,000","42,659,000,000","39,350,000,000","30,360,000,000","25,698,000,000","20,185,000,000","31,390,000,000","26,055,000,000","25,993,000,000","25,953,000,000","27,059,000,000","30,954,000,000","29,011,000,000","29,507,000,000","29,861,000,000","25,428,000,000","22,928,000,000","21,371,000,000","19,506,000,000","18,325,000,000","15,236,000,000","15,353,000,000","17,180,000,000","16,011,000,000","19,127,000,000","17,565,000,000","17,058,065,000","17,269,593,000","15,334,534,000","14,481,584,000","13,664,649,000","12,731,092,000","11,314,335,000","11,185,893,000","9,852,434,000","9,416,062,000","8,528,087,000","8,483,884,000","7,048,664,000","6,842,770,000","9,363,548,000","9,324,156,000","7,009,406,000","5,454,193,000","4,475,868,000","4,461,596,000","3,270,982,000","2,972,172,000","2,253,392,000","1,918,213,000","1,663,919,000","1,979,473,000","2,545,509,000","2,034,454,000","2,003,553,000","1,410,557,000","1,369,662,000","1,146,363,000","912,251,000"
				AllowanceForDoubtfulAccountsReceivable,"-9,000,000","-8,000,000","-9,000,000","-10,000,000","-14,000,000","-17,000,000","-17,000,000","-20,000,000","-93,000,000","-86,000,000","-85,000,000","-89,000,000","-85,000,000","-42,000,000","-41,000,000","-41,000,000","-43,000,000","-40,000,000","-95,000,000","-95,000,000","-98,000,000","-97,000,000","-102,000,000","-99,000,000","-131,000,000","-130,000,000","-132,000,000","-125,000,000","-128,000,000","-6,613,000","-8,153,000","-7,591,000","-68,024,000","-67,999,000","-3,540,000","-2,529,000","-1,795,000","-1,416,000","-3,621,000","-3,648,000","-3,261,000","-3,332,000","-5,063,000","-20,746,000","-18,286,000","-17,871,000","-18,212,000","-18,471,000","-16,514,000","-16,637,000","-16,636,000","-16,579,000","-18,154,000","-17,572,000","-5,751,000","-3,614,000","-3,483,000","-1,999,000","-2,028,000","-969,000","-1,043,000","-1,031,000"
			LoansReceivable,"6,268,000,000","4,380,000,000","6,108,000,000","4,166,000,000","1,692,000,000","792,000,000","1,401,000,000","1,367,000,000","910,000,000","3,111,000,000","1,391,000,000","1,302,000,000","1,580,000,000","1,242,000,000","331,000,000","533,000,000","677,000,000","2,035,000,000","589,000,000","366,000,000","112,000,000","111,000,000","148,000,000","113,000,000","805,000,000","195,000,000","215,000,000","148,000,000","167,000,000","386,221,000","273,536,000","274,321,000","282,748,000","386,316,000","487,774,000","587,569,000","461,942,000","428,904,000",,,,,,,,,,,,,,,,,,,,,,,,
