name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988
TotalRevenue,"92,228,000","38,078,000","27,992,000","9,210,000","16,948,000","15,706,000","85,798,000","18,189,000","15,025,000","13,287,000","44,864,000","13,281,000","15,542,000","8,584,000","13,416,000","10,928,000","9,287,000","19,815,000","39,448,000","8,480,000","39,020,000","28,499,000","13,846,000","7,660,000","7,408,000","19,714,000","18,029,000","14,851,000","12,611,000","11,427,000","48,300,000","13,203,000","5,743,000","6,875,000","30,060,000","17,218,000","3,831,000","25,001,000","2,612,000","4,091,000","2,952,000","3,252,000","7,617,000","2,536,000","6,505,000","5,211,000","4,178,000","3,411,000","4,422,000","3,314,000","3,108,000","3,099,000","4,302,000","8,226,000","9,334,000","6,126,000","4,483,000","14,590,000","9,751,000","11,425,000","8,534,000","9,836,000","12,072,000","7,770,000","8,368,000","9,355,000","6,587,000","7,778,000","7,433,763","10,230,493","9,047,000","9,006,526","9,311,730","7,590,000","5,163,720","3,890,183","1,349,276","1,456,000","2,476,159","2,346,310","1,702,255","1,210,334","1,544,413","1,425,901","1,342,103","752,191","626,069","1,759,000","4,675,220","1","2,600,000","4,100,000","2,300,000","1,000,000","200,000","200,000","400,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","200,000","100,000","100,000","200,000","200,000","100,000","200,000","300,000","400,000","300,000","400,000","500,000","500,000","700,000","700,000","700,000","600,000","700,000","200,000","200,000","2,300,000","300,000","300,000","300,000","100,000","200,000","200,000","300,000","100,000"
	OperatingRevenue,"92,228,000","38,078,000","27,992,000","9,210,000","16,948,000","15,706,000","85,798,000","18,189,000","15,025,000","13,287,000","44,864,000","13,281,000","15,542,000","8,584,000","13,416,000","10,928,000","9,287,000","19,815,000","39,448,000","8,480,000","39,020,000","28,499,000","13,846,000","7,660,000","7,408,000","19,714,000","18,029,000","14,851,000","12,611,000","11,427,000","48,300,000","13,203,000","5,743,000","6,875,000","30,060,000","17,218,000","3,831,000","25,001,000","2,612,000","4,091,000","2,952,000","3,252,000","7,617,000","2,536,000","6,505,000","5,211,000","4,178,000","3,411,000","4,422,000","3,314,000","3,108,000","3,099,000","4,302,000","8,226,000","9,334,000","6,126,000","4,483,000","14,590,000","9,751,000","11,425,000","8,534,000","9,836,000","12,072,000","7,770,000","8,368,000","9,355,000","6,587,000","7,778,000","7,433,763","10,230,493","9,047,000","9,006,526","9,311,730","7,590,000","5,163,720","3,890,183","1,349,276","1,456,000","2,476,159","2,346,310","1,702,255","1,210,334","1,544,413","1,425,901","1,342,103","752,191","626,069","1,759,000","4,675,220","1","2,600,000","4,100,000","2,300,000","1,000,000","200,000","200,000","400,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","200,000","100,000","100,000","200,000","200,000","100,000","200,000","300,000","400,000","300,000","400,000","500,000","500,000","700,000","700,000","700,000","600,000","700,000","200,000","200,000","2,300,000","300,000","300,000","300,000","100,000","200,000","200,000","300,000","100,000"
CostOfRevenue,,,,,,"34,413,000","39,578,000","24,685,000","22,921,000","27,408,000","26,055,000","21,015,000","28,559,000","38,893,000","43,681,000","47,243,000","38,701,000","44,831,000","39,843,000","31,689,000","35,319,000","32,888,000","33,657,000","32,909,000","38,652,000","36,094,000","38,199,000","35,132,000","30,437,000","25,666,000","27,647,000","28,018,000","25,787,000","38,280,000","20,862,000","22,029,000","20,399,000","21,318,000","21,656,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"9,015,000","2,426,000","1,729,000","-19,230,000","7,580,000","7,652,000","646,000","890,000","779,000","94,000","904,000","1,413,801","2,285,841","3,042,000","2,493,937","2,943,792","729,000","226,826","1,758,809","799,385","440,000","843,168","752,396","1,008,888","556,677","840,855","934,561","424,641","424,465","-125,615","-126,441","-131,045","-132,402","-100,000","-100,000","-100,000","-100,000","-100,000","-200,000","-200,000","-300,000","-300,000","-300,000","-400,000","-300,000","-400,000","-400,000","-3,900,000","-500,000","-800,000","-800,000","15,900,000","-800,000",,"3,800,000","4,500,000","4,800,000","-500,000","3,900,000","-13,200,000","4,200,000","4,600,000",,,,,"3,600,000","2,800,000","2,500,000","2,400,000","1,800,000","2,100,000","1,800,000",,"1,400,000",,,,
GrossProfit,,,,,,"-18,707,000","46,220,000","-6,496,000","-7,896,000","-14,121,000","18,809,000","-7,734,000","-13,017,000","-30,309,000","-30,265,000","-36,315,000","-29,414,000","-25,016,000","-395,000","-23,209,000","3,701,000","-4,389,000","-19,811,000","-25,249,000","-31,244,000","-16,380,000","-20,170,000","-20,281,000","-17,826,000","-14,239,000","20,653,000","-14,815,000","-20,044,000","-31,405,000","9,198,000","-4,811,000","-16,568,000","3,683,000","-19,044,000","4,091,000","2,952,000","3,252,000","7,617,000","2,536,000","6,505,000","5,211,000","4,178,000","3,411,000","4,422,000","3,314,000","3,108,000","3,099,000","4,302,000","8,226,000",,,,"5,575,000","7,325,000","9,696,000","27,764,000","2,256,000","4,420,000","7,124,000","7,478,000","8,576,000","6,493,000","6,874,000","6,019,962","7,944,652","6,005,000","6,512,589","6,367,938","6,861,000","4,936,894","2,131,374","549,891","1,016,000","1,632,991","1,593,914","693,367","653,657","703,558","491,340","917,462","327,726","751,684","1,885,441","4,806,265","132,403","2,700,000","4,200,000","2,400,000","1,100,000","300,000","400,000","600,000","400,000","400,000","400,000","500,000","400,000","500,000","500,000","4,000,000","600,000","900,000","1,000,000","-15,800,000","900,000",,"-3,600,000","-4,400,000","-4,600,000","800,000","-3,500,000","13,500,000","-3,800,000","-4,100,000",,,,,"-3,000,000","-2,100,000","-2,300,000","-2,200,000","500,000","-1,800,000","-1,500,000",,"-1,300,000",,,,
OperatingExpense,"211,237,000","60,930,000","62,546,000","43,444,000","44,317,000","44,622,000","49,316,000","34,916,000","32,688,000","36,272,000","35,858,000","30,223,000","37,259,000","49,671,000","53,433,000","55,590,000","47,353,000","54,826,000","48,891,000","39,597,000","44,155,000","41,007,000","42,193,000","42,368,000","47,950,000","47,329,000","46,253,000","43,461,000","37,698,000","32,666,000","34,519,000","35,113,000","32,243,000","44,320,000","26,309,000","28,555,000","25,772,000","26,313,000","27,120,000","29,339,000","25,265,000","21,954,000","20,393,000","22,002,000","22,699,000","20,313,000","19,692,000","16,789,000","17,763,000","15,538,000","16,097,000","15,780,000","15,121,000","12,736,000","16,409,000","15,538,000","29,631,000","18,942,000","14,259,000","11,529,000","33,076,000","8,230,000","8,270,000","14,213,000","15,020,000","12,409,000","11,092,000","12,286,000","9,324,477","11,980,707","8,651,000","9,348,098","7,704,164","7,939,000","6,606,976","6,605,590","7,872,323","7,798,000","7,863,722","5,851,725","6,388,273","8,749,520","4,257,474","3,702,131","5,686,590","4,919,093","4,792,051","4,549,283","4,252,879","3,084,082","2,600,000","2,400,000","2,500,000","1,900,000","2,000,000","1,900,000","2,900,000","2,100,000","2,300,000","2,300,000","2,600,000","2,700,000","2,900,000","2,700,000","6,200,000","3,000,000","4,000,000","4,200,000","-12,000,000","5,100,000",,"1,800,000","2,000,000","1,500,000","6,900,000","1,300,000","18,700,000","800,000","900,000","4,300,000","5,400,000","5,200,000",,"700,000","700,000","600,000","600,000","600,000","700,000","500,000",,"400,000",,,,
	SellingGeneralAndAdministration,"50,251,000","16,648,000","13,578,000","10,297,000","9,728,000","10,209,000","9,738,000","10,231,000","9,767,000","8,864,000","9,803,000","9,208,000","8,700,000","10,778,000","9,752,000","8,347,000","8,652,000","9,995,000","9,048,000","7,908,000","8,836,000","8,119,000","8,536,000","9,459,000","9,298,000","11,235,000","8,054,000","8,329,000","7,261,000","7,000,000","6,872,000","7,095,000","6,456,000","6,040,000","5,447,000","6,526,000","5,373,000","4,995,000","5,464,000","5,639,000","5,726,000","5,021,000","4,834,000","4,841,000","4,438,000","4,550,000","3,688,000","3,364,000","3,973,000","3,447,000","3,886,000","3,592,000","3,458,000","3,243,000","3,521,000","3,678,000","3,722,000","4,675,000","3,527,000","2,424,000","2,818,000","2,848,000","6,903,000","2,797,000","2,579,000","2,193,000","2,332,000","2,794,000","3,076,858","2,161,167","2,034,000","1,493,002","1,616,012","1,769,000","1,412,206","1,834,223","1,415,469","1,502,000","1,296,974","1,742,374","1,386,061","1,576,469","1,242,262","1,198,575","1,400,571","1,179,697","1,047,265","853,909","1,227,958","689,167","600,000","500,000","600,000","400,000","500,000","300,000","400,000","400,000","600,000","400,000","600,000","600,000","500,000","400,000","400,000","500,000","500,000","500,000","400,000","700,000",,"1,000,000","1,300,000","1,100,000","6,400,000","1,000,000","17,900,000","800,000","900,000","4,300,000","5,000,000","4,900,000",,"400,000","400,000","300,000","300,000","300,000","400,000","400,000",,"300,000",,,,
		GeneralAndAdministrativeExpense,,,"13,578,000","10,297,000","9,728,000","10,209,000","9,738,000","10,231,000","9,767,000","8,864,000","9,803,000","9,208,000","8,700,000","10,778,000","9,752,000","8,347,000","8,652,000","9,995,000","9,048,000","7,908,000","8,836,000","8,119,000","8,536,000","9,459,000","9,298,000","11,235,000","8,054,000","8,329,000","7,261,000","7,000,000","6,872,000","7,095,000","6,456,000","6,040,000","5,447,000","6,526,000","5,373,000","4,995,000","5,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"13,578,000","10,297,000","9,728,000","10,209,000","9,738,000","10,231,000","9,767,000","8,864,000","9,803,000","9,208,000","8,700,000","10,778,000","9,752,000","8,347,000","8,652,000","9,995,000","9,048,000","7,908,000","8,836,000","8,119,000","8,536,000","9,459,000","9,298,000","11,235,000","8,054,000","8,329,000","7,261,000","7,000,000","6,872,000","7,095,000","6,456,000","6,040,000","5,447,000","6,526,000","5,373,000","4,995,000","5,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"160,986,000","44,282,000","48,968,000","33,147,000","34,589,000","34,413,000","39,578,000","24,685,000","22,921,000","27,408,000","26,055,000","21,015,000","28,559,000","38,893,000","43,681,000","47,243,000","38,701,000","44,831,000","39,843,000","31,689,000","35,319,000","32,888,000","33,657,000","32,909,000","38,652,000","36,094,000","38,199,000","35,132,000","30,437,000","25,666,000","27,647,000","28,018,000","25,787,000","38,280,000","20,862,000","22,029,000","20,399,000","21,318,000","21,656,000","23,700,000","19,539,000","16,933,000","15,559,000","17,161,000","18,261,000","15,763,000","16,004,000","13,425,000","13,790,000","12,091,000","12,211,000","12,188,000","11,663,000","9,493,000","12,888,000","11,860,000","25,909,000","14,267,000","10,732,000","9,105,000","30,258,000","5,382,000","1,367,000","11,416,000","12,441,000","10,216,000","8,760,000","9,492,000","6,247,619","9,819,540","6,617,000","7,855,096","6,088,152","6,170,000","5,194,770","4,771,367","6,456,854","6,296,000","6,566,748","4,109,351","5,002,212","7,173,051","3,015,212","2,503,556","4,286,019","3,739,396","3,619,171","3,568,933","2,893,876","2,262,513","1,900,000","1,800,000","1,800,000","1,400,000","1,400,000","1,400,000","2,300,000","1,400,000","1,400,000","1,600,000","1,600,000","1,800,000","2,000,000","1,900,000","1,900,000","2,000,000","2,700,000","2,900,000",,"3,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,150","125,615","126,441","131,045","132,402","100,000","100,000","100,000","100,000","100,000","200,000","200,000","300,000","300,000","300,000","400,000","300,000","400,000","400,000","3,900,000","500,000","800,000","800,000","900,000","800,000",,"800,000","700,000","400,000","500,000","300,000","800,000",,,,"400,000","300,000",,"300,000","300,000","300,000","300,000","300,000","300,000","100,000",,"100,000",,,,
