name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,03/31/1992,03/31/1990
OperatingCashFlow,"262,553,000","60,525,000","57,878,000","43,592,000","100,558,000","75,752,000","126,155,000","-10,576,000","-16,648,000","103,612,000","77,997,000","69,742,000","29,815,000","88,793,000","108,546,000","41,478,000","30,365,000","80,290,000","6,107,000","32,551,000","34,118,000","41,805,000","14,557,000","22,479,000","59,306,000","-5,208,000","13,238,000","57,325,000","1,122,000","17,013,000","-454,000","11,545,000","-1,350,000","1,879,000","5,536,000","4,279,000","11,829,000","14,445,000","12,100,000","-4,906,000","18,660,000","10,228,000","5,416,000","-5,682,000","5,349,000","24,474,000","20,082,000","3,650,000","3,409,000","11,966,000","1,740,000","13,119,000","7,164,000","7,726,000","2,842,000","12,799,000","3,198,000","16,050,000","8,617,000","7,807,000","13,960,000","5,416,000","9,490,000","16,378,000","2,988,000","12,704,000","9,844,000","32,504,000","-14,688,000","9,343,000","10,446,000","4,500,000","-1,045,000","25,170,000","15,447,000","16,752,000","16,929,000","4,248,000","4,852,000","7,302,000","-3,173,000","23,001,000","3,035,000","8,824,000","957,000","4,465,000","15,235,000","1,247,000","5,669,000","10,900,000","10,600,000","15,100,000","100,000","-1,500,000","21,000,000","-10,300,000","8,900,000","8,900,000","1,000,000","7,800,000","7,900,000","13,700,000","13,000,000","1,000,000","10,100,000","4,100,000","10,400,000","-2,600,000","-8,500,000","900,000","17,000,000","40,900,000","-17,200,000","19,100,000","-9,100,000","600,000","-13,800,000","8,800,000","4,000,000","-3,900,000","8,000,000"
	CashFlowFromContinuingOperatingActivities,"262,553,000","60,525,000","57,878,000","43,592,000","100,558,000","75,752,000","126,155,000","-10,576,000","-16,648,000","103,612,000","77,997,000","69,742,000","29,815,000","88,793,000","108,546,000","41,478,000","30,365,000","80,290,000","6,107,000","32,551,000","34,118,000","41,805,000","14,557,000","22,479,000","59,306,000","-5,208,000","13,238,000","57,325,000","1,122,000","17,013,000","-454,000","11,545,000","-1,350,000","1,879,000","5,536,000","4,279,000","11,829,000","14,445,000","12,100,000","-4,906,000","18,660,000","10,228,000","5,416,000","-5,682,000","5,349,000","24,474,000","20,082,000","3,650,000","3,409,000","11,966,000","1,740,000","13,119,000","7,164,000","7,726,000","2,842,000","12,799,000","3,198,000","16,050,000","8,617,000","7,807,000","13,960,000","5,416,000","9,490,000","16,378,000","2,988,000","12,704,000","9,844,000","32,504,000","-14,688,000","9,343,000","10,446,000","4,500,000","-1,045,000","25,170,000","15,447,000","16,752,000","16,929,000","4,248,000","4,852,000","7,302,000","-3,173,000","23,001,000","3,035,000","8,824,000","957,000","4,465,000","15,235,000","1,247,000","5,669,000","10,900,000","10,600,000","15,100,000","100,000","-1,500,000","21,000,000","-10,300,000","8,900,000","8,900,000","1,000,000","7,800,000","7,900,000","13,700,000","13,000,000","1,000,000","10,100,000","4,100,000","10,400,000","-2,600,000","-8,500,000","900,000","17,000,000","40,900,000","-17,200,000","19,100,000","-9,100,000","600,000","-13,800,000","8,800,000","4,000,000","-3,900,000","8,000,000"
		NetIncomeFromContinuingOperations,"268,831,000","65,095,000","48,238,000","80,574,000","74,924,000","67,420,000","52,968,000","65,898,000","58,802,000","77,236,000","52,722,000","81,826,000","55,924,000","47,695,000","55,646,000","55,193,000","53,562,000","51,312,000","18,903,000","28,852,000","23,065,000","22,120,000","26,971,000","23,429,000","22,909,000","23,505,000","23,859,000","21,675,000","20,095,000","8,735,000","12,639,000","8,788,000","9,909,000","4,352,000","3,786,000","6,932,000","6,576,000","5,937,000","8,033,000","6,760,000","6,536,000","6,355,000","6,305,000","7,257,000","6,746,000","5,066,000","16,560,000","7,620,000","7,981,000","4,956,000","6,805,000","7,660,000","5,509,000","5,236,000","5,626,000","6,474,000","5,994,000","8,816,000","6,192,000","7,500,000","7,031,000","6,637,000","6,750,000","7,447,000","7,296,000","5,988,000","6,825,000","7,334,000","6,943,000","5,860,000","5,840,000","6,907,000","6,288,000","5,411,000","5,318,000","6,611,000","6,529,000","5,332,000","5,663,000","5,769,000","5,705,000","4,941,000","3,951,000","3,536,000","4,487,000","4,554,000","4,967,000","4,965,000","4,609,000","4,328,000","5,100,000","4,700,000","4,100,000","3,300,000","4,300,000","3,700,000","3,500,000","2,800,000","3,200,000","3,400,000","2,800,000","2,600,000","2,800,000","2,600,000","2,700,000","2,200,000","2,700,000","2,700,000","2,300,000","2,300,000","2,300,000","2,600,000","2,400,000","2,600,000","2,400,000","2,500,000","2,400,000","2,100,000","2,400,000","1,500,000","800,000"
		OperatingGainsLosses,"-38,359,000","-2,877,000","-6,864,000","-14,465,000","-14,153,000","-22,357,000","-15,867,000","-36,339,000","-11,745,000","-44,128,000","-6,245,000","-51,722,000","-7,738,000","-6,082,000","-3,177,000","-3,907,000","-3,215,000","-2,616,000","-5,842,000","-3,380,000","-5,966,000","-2,380,000","-16,194,000","-474,000","-759,000","-329,000","76,000","-2,150,000","2,034,000","-38,000","-1,462,000","-842,000",,,"-42,000","0",,,"1,118,000",,,,,,,"-706,000","-18,814,000","0",,,"0","0",,,,,,,,,,,,"-382,000",,,"0","141,000",,,,,,,"-7,000",,,,,,,,,,,,,,,,,,"0","-200,000",,,,,,,,,"0","0","-500,000","200,000",,,,,,"-100,000",,,"-23,400,000",,,,"0","-100,000",
			GainLossOnSaleOfBusiness,"-16,000","0","0","-16,000","0","-5,300,000","0","0","-2,205,000","-5,889,000",,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-414,000","0","0","15,000","-429,000","-177,000","19,000","-33,000","0","-301,000",,,,,"0",,,"0","0","0","-658,000","43,000","-66,000","-159,000",,,"381,000","0",,,"-1,474,000","-860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-9,973,000","54,000","348,000","-5,248,000","-5,127,000","-5,471,000","-16,000","-22,305,000","-390,000","-32,095,000","-377,000","-50,234,000","-2,823,000","-2,740,000","-8,000","-54,000","7,000","-6,000","1,243,000","-3,000","-2,236,000","-63,000","-1,445,000","-315,000","-3,759,000","-329,000","-305,000","-40,000","76,000","-38,000","12,000","18,000",,,"-42,000","0",,,,,,,,,,,"-317,000","0",,,"0","0",,,,,,,,,,,,,,,"0","141,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","-200,000",,,,,,,,,"0",,,"200,000",,,,,,,,,,,,,"0",,
		DepreciationAmortizationDepletion,"46,534,000","11,637,000","11,824,000","11,559,000","11,514,000","12,323,000","12,448,000","12,442,000","12,305,000","11,843,000","10,795,000","9,443,000","8,568,000","7,451,000","7,602,000","7,210,000","6,923,000","6,677,000","6,473,000","4,940,000","4,696,000","4,953,000","4,749,000","4,190,000","3,952,000","4,087,000","2,770,000","3,939,000","3,944,000","3,001,000","2,712,000","1,413,000","1,911,000","1,897,000","1,711,000","1,476,000","1,480,000","1,460,000","1,400,000","1,365,000","1,379,000","1,372,000","1,525,000","1,490,000","-2,110,000","5,162,000","1,449,000","1,421,000","1,416,000","1,438,000","1,445,000","1,453,000","1,472,000","1,471,000","1,461,000","1,458,000","1,426,000","1,384,000","1,346,000","1,267,000","1,557,000","1,456,000","1,400,000","1,268,000","1,249,000","1,772,000","1,179,000","1,633,000","731,000","1,688,000","2,046,000","1,374,000","1,318,000","1,333,000","1,359,000","1,209,000","1,237,000","1,455,000","1,164,000","1,656,000","999,000","1,121,000","1,974,000","1,789,000","1,221,000","1,945,000","1,748,000","2,212,000","1,610,000","1,643,000","1,500,000","1,800,000","1,500,000","1,400,000","1,300,000","1,600,000","1,200,000","2,000,000","2,000,000","1,600,000","800,000","1,800,000","600,000","1,700,000","900,000","700,000","3,700,000","200,000","0","400,000","300,000","500,000","300,000","300,000","400,000","500,000","1,000,000","400,000","2,400,000","400,000","400,000"
			DepreciationAndAmortization,"46,534,000","11,637,000","11,824,000","11,559,000","11,514,000","12,323,000","12,448,000","12,442,000","12,305,000","11,843,000","10,795,000","9,443,000","8,568,000","7,451,000","7,602,000","7,210,000","6,923,000","6,677,000","6,473,000","4,940,000","4,696,000","4,953,000","4,749,000","4,190,000","3,952,000","4,087,000","2,770,000","3,939,000","3,944,000","3,001,000","2,712,000","1,413,000","1,911,000","1,897,000","1,711,000","1,476,000","1,480,000","1,460,000","1,400,000","1,365,000","1,379,000","1,372,000","1,525,000","1,490,000","-2,110,000","5,162,000","1,449,000","1,421,000","1,416,000","1,438,000","1,445,000","1,453,000","1,472,000","1,471,000","1,461,000","1,458,000","1,426,000","1,384,000","1,346,000","1,267,000","1,557,000","1,456,000","1,400,000","1,268,000","1,249,000","1,772,000","1,179,000","1,633,000","731,000","1,688,000","2,046,000","1,374,000","1,318,000","1,333,000","1,359,000","1,209,000","1,237,000","1,455,000","1,164,000","1,656,000","999,000","1,121,000","1,974,000","1,789,000","1,221,000","1,945,000","1,748,000","2,212,000","1,610,000","1,643,000","1,500,000","1,800,000","1,500,000","1,400,000","1,300,000","1,600,000","1,200,000","2,000,000","2,000,000","1,600,000","800,000","1,800,000","600,000","1,700,000","900,000","700,000","3,700,000","200,000","0","400,000","300,000","500,000","300,000","300,000","400,000","500,000","1,000,000","400,000","2,400,000","400,000","400,000"
		DeferredTax,"16,817,000","9,107,000","7,352,000","-2,730,000","3,088,000","3,227,000","-3,042,000","-1,696,000","6,202,000","-1,586,000","23,978,000","5,993,000","2,859,000","2,081,000","1,096,000","5,264,000","-1,869,000","3,921,000","18,289,000","2,732,000","-860,000","3,090,000","-10,902,000","455,000","507,000","108,000","17,480,000","-2,109,000","-194,000","-1,578,000","-4,573,000","-1,313,000","-476,000","-2,667,000","-2,344,000","-518,000","-480,000","-1,276,000","399,000","888,000","-1,951,000","1,149,000","-1,081,000","5,000","-2,221,000","-274,000","6,971,000","-573,000","1,791,000","239,000","376,000","376,000","87,000","774,000","176,000","330,000","44,000","189,000","140,000","654,000","-39,000","110,000","1,357,000","1,346,000","-68,000","-414,000","-115,000","-1,793,000","678,000","-112,000","-5,621,000","3,166,000","-129,000","-362,000","-947,000","1,034,000","45,000","-10,000","-245,000","-575,000","-204,000","-318,000","308,000","1,277,000","8,000","-211,000","-317,000","-413,000","-477,000","-152,000","400,000","-400,000","-600,000","300,000","-200,000","900,000",,,"0",,,,"100,000","0",,,"0","0","0","-100,000","200,000","100,000",,,"1,200,000","0","-200,000","-200,000","100,000",,"300,000"
