name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
OperatingCashFlow,"-136,103,000","-39,223,000","-30,941,000","-27,413,000","-38,526,000","-24,283,000","-13,109,000","-17,253,000","-22,033,000","-22,245,000","-19,733,000","-10,849,000","-18,104,000","-15,977,000","-20,814,000","-11,635,000","-9,738,000","-11,601,000","-2,988,000","-5,585,000","-5,920,000","-11,619,000","-11,138,000","-9,132,000","-8,003,000","-8,993,000","-7,039,000","-4,327,000","-4,057,000","-1,993,000","-2,994,000","-2,837,000","-2,057,000","-1,855,000","-1,778,000"
	CashFlowFromContinuingOperatingActivities,"-136,103,000","-39,223,000","-30,941,000","-27,413,000","-38,526,000","-24,283,000","-13,109,000","-17,253,000","-22,033,000","-22,245,000","-19,733,000","-10,849,000","-18,104,000","-15,977,000","-20,814,000","-11,635,000","-9,738,000","-11,601,000","-2,988,000","-5,585,000","-5,920,000","-11,619,000","-11,138,000","-9,132,000","-8,003,000","-8,993,000","-7,039,000","-4,327,000","-4,057,000","-1,993,000","-2,994,000","-2,837,000","-2,057,000","-1,855,000","-1,778,000"
		NetIncomeFromContinuingOperations,"-171,872,000","-42,982,000","-44,247,000","-50,118,000","-34,525,000","-40,179,000","-60,916,000","-29,080,000","-25,040,000","-24,664,000","-19,855,000","-19,284,000","-18,680,000","-19,451,000","-27,319,000","-16,089,000","-15,767,000","-15,343,000","-4,870,000","-7,395,000","-6,562,000","-10,670,000","-12,974,000","-11,128,000","-8,684,000","-10,068,000","-8,172,000","-55,961,000","-2,387,000","-1,462,000","-2,148,000","-2,388,000","-2,847,000","-2,148,000","-1,971,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"5,000","107,000",,,,,,,,,"0","0","0","50,366,000","-1,859,000","-2,222,000","191,000","58,000","405,000","193,000","52,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,"0","0",,,"5,000","107,000",,,,,,,,,,,,,,,,,,,"0"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","46,649,000","-1,859,000","-2,744,000","191,000","58,000","405,000","193,000","52,000"
		DepreciationAmortizationDepletion,"6,001,000","1,302,000","3,185,000","808,000","706,000","674,000","630,000","273,000","124,000","118,000","101,000","121,000","-88,000","292,000","97,000","76,000","74,000","83,000","38,000","38,000","63,000","61,000","58,000","39,000","35,000","37,000","38,000","6,000",,,"0","0",,,"0"
			DepreciationAndAmortization,"6,001,000","1,302,000","3,185,000","808,000","706,000","674,000","630,000","273,000","124,000","118,000","101,000","121,000","-88,000","292,000","97,000","76,000","74,000","83,000","38,000","38,000","63,000","61,000","58,000","39,000","35,000","37,000","38,000","6,000",,,"0","0",,,"0"
				Depreciation,"6,001,000","1,302,000",,,,,,,,"118,000","101,000","121,000","-88,000","292,000","97,000","76,000","74,000","83,000","38,000","38,000","63,000","61,000","58,000","39,000","35,000","37,000","38,000","6,000",,,"0","0",,,"0"
				AmortizationCashFlow,,,,,,,,,,,,,,"190,000",,,,,,,,,,,,,,,,,,,,,
