name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"9,004,408,000","8,990,189,000","8,803,997,000","8,425,652,000","8,403,835,000","8,350,202,000","7,942,001,000","7,606,708,000","7,844,942,000","7,466,568,000","7,428,294,000","7,486,666,000","7,373,628,000","7,070,879,000","6,744,850,000","6,559,174,000","6,448,291,000","6,622,070,000","6,907,090,000","6,864,034,000","6,701,761,000","6,678,998,000","6,363,355,000","6,276,923,000","6,039,119,000","6,254,035,000","6,254,509,000","6,313,130,000","2,801,643,000","2,340,885,000","2,317,449,000","2,234,983,000","2,216,189,000","2,131,274,000","2,102,296,000","1,829,160,000","1,687,329,000","1,559,690,000","1,344,818,000","1,340,177,000","1,160,500,000","1,152,791,000","1,064,350,000","1,041,798,000","993,825,000","1,004,576,000","623,915,000","621,780,000","386,554,000","384,615,000","386,557,000","386,702,000"
	CurrentAssets,"908,357,000","899,179,000","668,483,000","585,377,000","588,697,000","568,171,000","820,939,000","461,966,000","790,032,000","435,280,000","429,510,000","509,381,000","487,857,000","371,444,000","355,391,000","397,696,000","212,065,000","426,435,000","537,142,000","220,484,000","305,131,000","266,086,000","301,910,000","539,286,000","204,108,000","396,043,000","160,263,000","138,948,000","587,907,000","153,236,000","146,351,000","105,569,000","95,387,000","80,071,000","84,752,000","213,476,000","188,750,000","62,690,000","64,865,000","136,411,000","52,466,000","42,990,000","50,047,000","115,195,000","61,413,000","64,177,000","52,049,000","92,832,000","14,398,000","10,173,000","12,755,000","12,367,000"
		CashCashEquivalentsAndShortTermInvestments,"264,755,000","225,876,000","240,603,000","243,200,000","268,068,000","248,801,000","501,943,000","182,992,000","531,611,000","186,973,000","199,045,000","190,933,000","197,437,000","200,620,000","200,771,000","57,515,000","64,080,000","78,922,000","87,723,000","73,242,000","115,690,000","83,015,000","89,354,000","337,400,000","57,367,000","53,551,000","46,668,000","40,327,000","247,890,000","17,753,000","69,397,000","32,797,000","29,063,000","30,356,000","29,341,000","96,330,000","141,562,000","18,904,000","27,288,000","102,525,000","21,858,000","13,705,000","20,715,000","86,893,000","38,273,000","48,875,000","40,741,000","84,509,000","4,512,000","2,256,000","2,542,000","4,955,000"
			CashAndCashEquivalents,"137,598,000","96,555,000","110,500,000","110,978,000","134,278,000","113,686,000","365,294,000","45,052,000","392,136,000","46,224,000","56,777,000","48,172,000","52,445,000","53,740,000","52,456,000","57,515,000","64,080,000","78,922,000","87,723,000","73,242,000","115,690,000","83,015,000","89,354,000","337,400,000","57,367,000","53,551,000","46,668,000","40,327,000","247,890,000","17,753,000","69,397,000","32,797,000","29,063,000","30,356,000","29,341,000","96,330,000","141,562,000","18,904,000","27,288,000","102,525,000","21,858,000","13,705,000","20,715,000","86,893,000","38,273,000","48,875,000","40,741,000","84,509,000","4,512,000","2,256,000","2,542,000","4,955,000"
			OtherShortTermInvestments,"127,157,000","129,321,000","130,103,000","132,222,000","133,790,000","135,115,000","136,649,000","137,940,000","139,475,000","140,749,000","142,268,000","142,761,000","144,992,000","146,880,000","148,315,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"284,443,000","265,645,000","266,011,000","255,190,000","252,451,000","247,790,000","240,646,000","235,715,000","221,977,000","208,335,000","197,403,000","184,733,000","176,973,000","156,373,000","143,838,000","130,698,000","125,381,000","113,820,000","102,198,000","97,181,000","86,859,000","94,133,000","87,903,000","81,079,000","81,894,000","80,795,000","73,378,000","59,449,000","49,125,000","49,253,000","45,728,000","37,571,000","30,699,000","30,283,000","31,523,000","26,861,000","29,537,000","26,607,000","26,880,000","23,645,000","20,433,000","19,764,000","19,708,000","20,118,000","13,552,000","11,181,000","9,091,000","6,003,000","4,962,000","4,208,000","4,273,000","1,228,000"
			AccountsReceivable,"284,443,000","265,645,000","266,011,000","255,190,000","252,451,000","247,790,000","240,646,000","235,715,000","221,977,000","208,335,000","197,403,000","184,733,000","176,973,000","156,373,000","143,838,000","130,698,000","125,381,000","113,820,000","102,198,000","97,181,000","86,859,000","94,133,000","87,903,000","81,079,000","81,894,000","80,795,000","73,378,000","59,449,000","49,125,000","49,253,000","45,728,000","37,571,000","30,699,000","30,283,000","31,523,000","26,861,000","29,537,000","26,607,000","8,833,000","10,371,000","8,069,000","8,963,000","10,758,000","11,386,000","5,973,000","4,478,000","3,346,000","1,724,000","1,705,000","1,273,000","1,656,000","1,228,000"
				GrossAccountsReceivable,"284,667,000","265,645,000",,,"252,651,000","247,790,000","240,646,000","235,715,000","221,977,000","208,335,000","197,403,000","184,733,000","176,973,000","158,863,000","146,096,000","132,916,000","127,878,000","116,292,000","103,834,000","99,067,000","91,534,000","96,114,000","89,824,000","82,582,000","83,471,000","82,786,000","75,032,000","60,753,000","49,999,000","50,293,000","46,494,000","38,567,000","31,789,000","31,526,000","32,355,000","27,493,000","31,082,000","26,607,000",,,,,,,,,"3,562,000",,,,,
				AllowanceForDoubtfulAccountsReceivable,"-224,000",,,,"-200,000",,,,,,,,,"-2,490,000","-2,258,000","-2,218,000","-2,497,000","-2,472,000","-1,636,000","-1,886,000","-4,675,000","-1,981,000","-1,921,000","-1,503,000","-1,577,000","-1,991,000","-1,654,000","-1,304,000","-874,000","-1,040,000","-766,000","-996,000","-1,090,000","-1,243,000","-832,000","-632,000","-1,545,000",,,,,,,,,,"-216,000",,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000",,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,047,000","13,274,000","12,364,000","10,801,000","8,950,000","8,732,000","7,579,000","6,703,000","5,745,000","4,279,000","3,257,000","2,935,000","2,617,000",
		Inventory,"1,755,000","1,578,000","1,483,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"58,201,000","55,239,000","50,649,000","53,020,000","33,123,000","35,726,000","39,371,000","31,440,000","24,462,000","27,938,000","20,500,000","20,500,000","82,441,000","55,633,000",,"107,549,000",,"61,138,000","57,360,000","32,777,000","84,582,000","27,153,000","40,227,000","49,209,000","27,401,000","27,292,000","21,611,000","21,853,000","273,986,000","3,452,000","11,576,000","5,016,000","5,143,000","2,682,000","6,209,000","22,615,000","3,330,000","2,857,000",,,,,,,,,,,,,,
		RestrictedCash,"60,183,000","100,321,000","109,737,000","33,967,000","35,055,000","35,854,000","38,979,000","11,819,000","11,982,000","12,034,000","12,562,000","13,375,000","13,626,000","14,451,000","10,782,000","8,472,000","10,900,000","22,358,000","25,784,000","17,284,000","18,000,000","25,177,000","22,103,000","19,166,000","20,011,000","18,010,000","18,606,000","17,319,000","16,906,000","14,244,000","19,650,000","17,682,000","17,714,000","16,750,000","17,679,000","14,518,000","14,321,000","14,322,000","10,697,000","10,241,000","10,175,000","9,521,000","9,624,000","8,184,000","9,588,000","4,121,000","2,217,000","2,320,000","4,924,000","3,709,000","5,940,000","4,605,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,579,000"
		AssetsHeldForSaleCurrent,"239,020,000","250,520,000",,,,,,,,,,"99,840,000","99,821,000","0","0","201,011,000","11,704,000","211,335,000","321,437,000","0","0","36,608,000","62,323,000","52,432,000","17,435,000","216,395,000","0","0","0","68,534,000","0","12,503,000","12,768,000","0","0","53,152,000",,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"8,096,051,000","8,091,010,000","8,135,514,000","7,840,275,000","7,815,138,000","7,782,031,000","7,121,062,000","7,144,742,000","7,054,910,000","7,031,288,000","6,998,784,000","6,977,285,000","6,885,771,000","6,699,435,000","6,389,459,000","6,161,478,000","6,236,226,000","6,195,635,000","6,369,948,000","6,643,550,000","6,396,630,000","6,412,912,000","6,061,445,000","5,737,637,000","5,835,011,000","5,857,992,000","6,094,246,000","6,174,182,000","2,213,736,000","2,187,649,000","2,171,098,000","2,129,414,000","2,120,802,000","2,051,203,000","2,017,544,000","1,615,684,000","1,498,579,000","1,497,000,000","1,279,953,000","1,203,766,000","1,108,034,000","1,109,801,000","1,014,303,000","926,603,000","932,412,000","940,399,000","571,866,000","528,948,000","372,156,000","374,442,000","373,802,000","374,335,000"
		NetPPE,"368,303,000","345,510,000","334,315,000","268,537,000","263,691,000","264,880,000","266,059,000","267,226,000","268,384,000","269,029,000","270,318,000","270,943,000","272,051,000",,,,,,,,,,,,,,,,,"1,405,000",,,,"490,000",,,,"167,000","1,183,757,000","1,098,022,000","1,001,034,000","1,007,175,000","912,273,000","829,284,000","832,443,000","838,777,000","515,812,000","487,936,000","352,727,000","353,505,000","353,930,000","353,024,000"
			GrossPPE,"383,973,000","345,510,000","334,315,000","268,537,000","263,691,000","264,880,000","266,059,000","267,226,000","268,384,000","269,029,000","270,318,000","270,943,000","272,051,000",,,,,,,,,,,,,,,,,"1,612,000",,,,"1,119,000",,,,"666,000","1,259,649,000","1,166,561,000","1,061,454,000","1,060,504,000","958,508,000","868,882,000","865,831,000","865,890,000","540,034,000","509,378,000","367,538,000","366,414,000","365,001,000","358,616,000"
				Properties,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0"
