name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017
TotalRevenue,"251,803,000","70,121,000","65,015,000","59,601,000","57,066,000","48,552,000","41,109,000","42,909,000","38,503,000","41,487,000","39,205,000","36,291,000","32,755,000","31,107,000","28,650,000","25,742,000","21,693,000","20,203,000","17,515,000","13,580,000","13,317,000","10,096,000"
	OperatingRevenue,"250,434,000","69,934,000","63,968,000","59,503,000","57,029,000","48,537,000","41,092,000","42,853,000","38,502,000","41,480,000","39,183,000","35,898,000","32,514,000","31,100,000","28,102,000","25,716,000","21,637,000","20,137,000","17,331,000","13,492,000","12,752,000","10,091,000"
CostOfRevenue,"5,357,000","1,009,000","1,816,000","1,358,000","1,174,000","1,414,000","2,126,000","810,000","572,000","373,000","736,000","442,000","645,000","1,247,000","759,000","494,000","380,000","347,000","470,000","389,000","479,000","209,000"
GrossProfit,"246,446,000","69,112,000","63,199,000","58,243,000","55,892,000","47,138,000","38,983,000","42,099,000","37,931,000","41,114,000","38,469,000","35,849,000","32,110,000","29,860,000","27,891,000","25,248,000","21,313,000","19,856,000","17,045,000","13,191,000","12,838,000","9,887,000"
OperatingExpense,"99,592,000","28,436,000","24,701,000","22,967,000","23,488,000","22,115,000","24,041,000","19,897,000","19,765,000","21,016,000","17,668,000","18,671,000","14,842,000","13,308,000","12,400,000","12,292,000","10,598,000","9,854,000","8,599,000","7,490,000","6,636,000","5,733,000"
	SellingGeneralAndAdministration,"25,961,000","8,063,000","5,832,000","5,596,000","6,470,000","6,431,000","4,738,000","5,917,000","6,253,000","7,536,000","5,290,000","7,530,000","4,737,000","4,188,000","3,890,000","3,529,000","2,987,000","3,386,000","2,324,000","2,336,000","2,331,000","1,951,000"
		GeneralAndAdministrativeExpense,"25,961,000","8,063,000","5,832,000","5,596,000","6,470,000","6,431,000","4,738,000","5,917,000","6,253,000","7,536,000","5,290,000","7,530,000","4,737,000","4,188,000","3,890,000","3,529,000","2,987,000","3,386,000","2,324,000","2,336,000","2,331,000","1,951,000"
			OtherGandA,"25,961,000","8,063,000","5,832,000","5,596,000","6,470,000","6,431,000","4,738,000","5,917,000","6,253,000","7,536,000","5,290,000","7,530,000","4,737,000","4,188,000","3,890,000","3,529,000","2,987,000","3,386,000","2,324,000","2,336,000","2,331,000","1,951,000"
	DepreciationAmortizationDepletionIncomeStatement,"73,813,000","20,313,000","18,961,000","17,355,000","17,184,000","15,646,000","19,004,000","13,966,000","13,464,000","13,012,000","12,378,000","11,141,000","10,105,000","9,120,000","8,510,000","8,763,000","7,611,000","6,468,000","6,275,000","5,154,000","4,305,000","3,782,000"
		DepreciationAndAmortizationInIncomeStatement,"73,813,000","20,313,000","18,961,000","17,355,000","17,184,000","15,646,000","19,004,000","13,966,000","13,464,000","13,012,000","12,378,000","11,141,000","10,105,000","9,120,000","8,510,000","8,763,000","7,611,000","6,468,000","6,275,000","5,154,000","4,305,000","3,782,000"
