name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"1,674,265,000","817,810,000","510,457,000","189,963,000","156,035,000","74,159,000","62,635,000","58,858,000","36,192,000","60,405,000","79,667,000","75,176,000","85,783,000","72,594,000","66,213,000","74,380,000","71,872,000","64,193,000","45,232,000","68,589,000","52,559,000","47,266,000","49,325,000","54,530,000","44,174,000"
	OperatingRevenue,"1,674,265,000","817,810,000","510,457,000","189,963,000","156,035,000","74,159,000","62,635,000","58,858,000","36,192,000","60,405,000","79,667,000","75,176,000","85,783,000","72,594,000","66,213,000","74,380,000","71,872,000","64,193,000","45,232,000","68,589,000","52,559,000","47,266,000","49,325,000","54,530,000","44,174,000"
CostOfRevenue,"728,636,000","340,298,000","240,557,000","73,637,000","74,144,000","38,030,000","39,777,000","30,517,000","38,621,000","39,951,000","43,153,000","41,028,000","40,039,000","31,776,000","24,798,000","30,421,000","31,858,000","29,151,000","22,692,000","50,405,000","38,161,000","42,757,000","44,163,000","49,476,000","46,620,000"
GrossProfit,"945,629,000","477,512,000","269,900,000","116,326,000","81,891,000","36,129,000","22,858,000","28,341,000","-2,429,000","20,454,000","36,514,000","34,148,000","45,744,000","40,818,000","41,415,000","43,959,000","40,014,000","35,042,000","22,540,000","18,184,000","14,398,000","4,509,000","5,162,000","5,054,000","-2,446,000"
OperatingExpense,"108,438,000","37,024,000","34,794,000","16,601,000","20,019,000","9,347,000","8,227,000","8,985,000","8,518,000","9,802,000","9,926,000","9,953,000","10,211,000","10,375,000","12,150,000","10,893,000","10,138,000","9,583,000","15,181,000","19,784,000","16,494,000","31,703,000","20,359,000","13,912,000","17,951,000"
	SellingGeneralAndAdministration,"91,601,000","35,720,000","32,013,000","11,724,000","12,144,000","9,251,000","8,182,000","8,919,000","8,406,000","9,429,000","9,667,000","9,920,000","9,803,000","10,278,000","12,103,000","10,899,000","9,917,000","9,533,000","15,181,000","15,092,000","12,094,000","27,474,000","18,671,000","13,235,000","17,685,000"
		GeneralAndAdministrativeExpense,"91,601,000","35,720,000","32,013,000","11,724,000","12,144,000","9,251,000","8,182,000","8,919,000","8,406,000","9,429,000","9,667,000","9,920,000","9,803,000","10,278,000","12,103,000","10,899,000","9,917,000","9,533,000","15,181,000","15,092,000","12,094,000","27,474,000","18,671,000","13,235,000","17,685,000"
			OtherGandA,"91,601,000","35,720,000","32,013,000","11,724,000","12,144,000","9,251,000","8,182,000","8,919,000","8,406,000","9,429,000","9,667,000","9,920,000","9,803,000","10,278,000","12,103,000","10,899,000","9,917,000","9,533,000","15,181,000","15,092,000","12,094,000","27,474,000","18,671,000","13,235,000","17,685,000"
	ProvisionForDoubtfulAccounts,,,,,"0","0","140,000","102,000","0","576,000",,,"0","0",,,,,,,,,,,
	OtherOperatingExpenses,"16,837,000","1,304,000","2,781,000","4,877,000","7,875,000","96,000","45,000","66,000","112,000","373,000","259,000","33,000","408,000","97,000","47,000","-6,000","221,000","50,000",,"4,692,000","4,400,000","4,229,000","1,688,000","677,000","266,000"
