name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"234,578,000","236,794,000","243,514,000","238,696,000","240,397,000","239,520,000","230,070,000","217,845,000","211,473,000","218,755,000","220,727,000","217,385,000","216,040,000","214,731,000","212,557,000","217,244,000","222,911,000","224,760,000","224,797,000","225,589,000","229,323,000","235,122,000","137,380,000","137,389,000","130,641,000","131,343,000","123,560,000","123,279,000","124,943,000","134,169,000","132,643,000","135,445,000","137,198,000","139,874,000","138,095,000","136,473,000","133,282,000","135,985,000","135,332,000","138,772,000","141,679,000","146,479,000","212,097,000","212,083,000","215,012,000","184,564,000","184,288,000","236,156,000","236,726,000","241,973,000","244,492,000","255,256,000","267,945,000","279,588,000","354,927,000","357,688,000","355,042,000","357,290,000","260,084,863","257,814,520","257,002,561"
	CurrentAssets,"114,481,000","116,110,000","123,355,000","117,949,000","117,682,000","114,615,000","108,936,000","102,815,000","94,349,000","99,801,000","100,992,000","96,564,000","92,793,000","98,190,000","94,190,000","97,001,000","101,143,000","103,711,000","101,546,000","100,100,000","100,332,000","106,251,000","73,743,000","73,296,000","70,347,000","71,494,000","61,882,000","63,085,000","63,490,000","72,078,000","69,084,000","70,605,000","74,434,000","76,714,000","73,255,000","70,547,000","66,369,000","67,415,000","67,202,000","68,847,000","69,442,000","72,768,000","73,561,000","70,582,000","71,216,000","71,037,000","74,009,000","71,227,000","69,578,000","72,620,000","73,058,000","74,565,000","84,619,000","94,141,000","92,773,000","93,601,000","87,164,000","87,085,000","2,415,017","2,698,127","1,146,905"
		CashCashEquivalentsAndShortTermInvestments,"43,664,000","47,521,000","54,504,000","43,795,000","48,573,000","43,730,000","38,141,000","31,552,000","17,396,000","18,153,000","14,208,000","10,410,000","13,606,000","18,636,000","13,510,000","19,441,000","31,099,000","28,420,000","22,227,000","25,470,000","33,174,000","34,485,000","19,133,000","16,081,000","17,976,000","17,835,000","14,281,000","13,122,000","17,210,000","27,662,000","21,633,000","16,888,000","26,185,000","35,085,000","23,577,000","18,999,000","18,211,000","23,499,000","14,987,000","14,153,000","16,968,000","24,469,000","17,117,000","12,856,000","20,940,000","40,301,000","40,884,000","40,446,000","37,820,000","42,786,000","42,932,000","45,806,000","50,601,000","61,146,000","57,015,000","48,449,000","44,379,000","47,177,000","2,035,535","2,270,779","771,124"
			CashAndCashEquivalents,"43,664,000","47,521,000","54,504,000","43,795,000","48,573,000","43,730,000","38,141,000","31,552,000","17,396,000","18,153,000","14,208,000","10,410,000","13,606,000","18,636,000","13,510,000","19,441,000","31,099,000","28,420,000","22,227,000","25,470,000","33,174,000","34,485,000","19,133,000","16,081,000","17,976,000","17,835,000","14,281,000","13,122,000","17,210,000","27,662,000","21,633,000","16,888,000","26,185,000","35,085,000","23,577,000","18,999,000","18,211,000","23,499,000","14,987,000","14,153,000","16,968,000","24,469,000","17,117,000","12,856,000","20,940,000","40,301,000","40,884,000","40,446,000","37,820,000","42,786,000","42,932,000","45,806,000","50,601,000","61,146,000","57,015,000","48,449,000","44,379,000","47,177,000","2,035,535","2,270,779","771,124"
				CashFinancial,,,,,,"43,713,000",,,,"18,136,000",,,"13,589,000","18,321,000","13,195,000","19,128,000","27,792,000","28,117,000","20,679,000","19,937,000","24,165,000","34,463,000","19,113,000","16,061,000","17,956,000","17,815,000","14,261,000","13,102,000","17,190,000","27,642,000","21,613,000","16,868,000","26,165,000","35,065,000","23,557,000","18,979,000","18,191,000",,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,"17,000",,,,"17,000",,,"17,000","315,000","315,000","313,000","3,307,000","303,000","1,548,000","5,533,000","9,009,000","22,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000",,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"67,152,000","64,344,000","65,208,000","69,944,000","65,976,000","67,473,000","66,239,000","67,352,000","71,741,000","77,076,000","82,632,000","82,572,000","75,829,000","75,934,000","76,403,000","73,522,000","66,419,000","70,824,000","74,796,000","69,986,000","61,247,000","64,662,000","49,951,000","52,580,000","47,402,000","49,484,000","43,965,000","46,474,000","42,604,000","41,148,000","44,595,000","50,805,000","44,591,000","38,688,000","46,846,000","48,526,000","44,460,000","40,920,000","44,997,000","47,734,000","46,902,000","42,851,000","49,693,000","51,839,000","39,785,000","26,603,000","27,916,000","26,160,000","27,798,000","26,273,000","26,548,000","24,783,000","29,626,000","29,105,000","32,318,000","42,777,000","38,980,000","34,943,000",,,
			AccountsReceivable,"67,152,000","45,531,000","65,208,000","69,944,000","65,976,000","45,499,000","66,239,000","67,352,000","71,741,000","48,416,000","82,632,000","82,572,000","75,829,000","52,935,000","76,403,000","73,522,000","66,419,000","53,405,000","74,796,000","69,986,000","61,247,000","51,264,000","49,951,000","52,580,000","47,402,000","34,834,000","43,965,000","46,474,000","42,604,000","29,000,000","44,595,000","50,805,000","44,591,000","27,011,000","46,846,000","48,526,000","44,460,000","32,155,000","44,997,000","47,734,000","46,902,000","42,851,000","49,693,000","51,839,000","39,785,000","26,603,000","27,916,000","26,160,000","27,798,000","26,273,000","26,548,000","24,783,000","29,626,000","29,105,000","32,279,000","42,692,000","38,906,000","34,869,000",,,
				GrossAccountsReceivable,"67,506,000",,"65,251,000","70,081,000","66,221,000",,"66,988,000","68,199,000","72,075,000",,"83,656,000","83,165,000","76,368,000",,"77,173,000","74,183,000","67,128,000",,"75,411,000","70,462,000","61,778,000",,"50,312,000","53,149,000","47,700,000",,"44,354,000","46,692,000","42,826,000",,"44,854,000","51,179,000","44,845,000",,"47,150,000","48,790,000","44,683,000",,"45,727,000",,"47,674,000",,"50,579,000","52,946,000","39,785,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-354,000",,"-43,000","-137,000","-245,000",,"-749,000","-847,000","-334,000",,"-1,024,000","-593,000","-539,000",,"-770,000","-661,000","-709,000",,"-615,000","-476,000","-531,000",,"-361,000","-569,000","-298,000",,"-389,000","-218,000","-222,000","-234,000","-259,000","-374,000","-254,000","-352,000","-304,000","-264,000","-223,000","-395,000","-730,000",,"-772,000",,"-886,000","-1,107,000",,,,,,,,,,,,,,,,,
