name,03/31/2022,12/31/2021,09/30/2021,12/31/2020
TotalAssets,"1,774,265,000","1,826,700,000","1,808,900,000","1,949,200,000"
	CurrentAssets,"549,111,000","536,800,000","491,700,000","526,000,000"
		CashCashEquivalentsAndShortTermInvestments,"104,259,000","100,400,000","24,100,000","27,400,000"
			CashAndCashEquivalents,"104,259,000","100,400,000","24,100,000","27,400,000"
		Receivables,"180,125,000","164,200,000","170,200,000","193,700,000"
			AccountsReceivable,"156,151,000","164,200,000","170,200,000","193,700,000"
				GrossAccountsReceivable,"170,152,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-14,001,000",,,
			DuefromRelatedPartiesCurrent,"23,974,000",,,
		Inventory,"239,281,000","246,800,000","274,700,000","283,000,000"
			RawMaterials,"16,733,000","20,600,000","22,000,000","11,000,000"
			WorkInProcess,"24,556,000","26,600,000","38,000,000","24,200,000"
			FinishedGoods,"197,992,000","199,600,000","214,700,000","247,800,000"
		PrepaidAssets,"25,446,000","25,400,000","22,700,000","21,900,000"
	TotalNonCurrentAssets,"1,225,154,000","1,289,900,000","1,317,200,000","1,423,200,000"
		NetPPE,"170,537,000","180,200,000","180,700,000","183,400,000"
			GrossPPE,"565,523,000","598,300,000","592,600,000","589,400,000"
				Properties,,"0","0","0"
				LandAndImprovements,,"7,200,000","7,300,000","7,200,000"
				BuildingsAndImprovements,,"226,400,000","224,100,000","224,300,000"
				MachineryFurnitureEquipment,,"41,900,000","34,500,000","30,100,000"
				OtherProperties,,"315,100,000","322,000,000","324,300,000"
				ConstructionInProgress,,"7,700,000","4,700,000","3,500,000"
			AccumulatedDepreciation,"-394,986,000","-418,100,000","-411,900,000","-406,000,000"
		GoodwillAndOtherIntangibleAssets,"999,014,000","1,034,000,000","1,066,700,000","1,164,700,000"
			Goodwill,"263,015,000","267,800,000","269,300,000","273,700,000"
			OtherIntangibleAssets,"735,999,000","766,200,000","797,400,000","891,000,000"
		OtherNonCurrentAssets,"55,603,000","75,700,000","69,800,000","75,100,000"
TotalLiabilitiesNetMinorityInterest,"961,809,000","375,300,000","406,600,000","458,700,000"
	CurrentLiabilities,"219,549,000","184,600,000","201,700,000","226,200,000"
		PayablesAndAccruedExpenses,"138,499,000","99,800,000","93,000,000","111,500,000"
			Payables,"82,436,000","51,300,000","47,200,000","56,300,000"
				AccountsPayable,"39,108,000","45,000,000","40,500,000","49,700,000"
				TotalTaxPayable,"17,067,000","6,300,000","6,700,000","6,600,000"
					IncomeTaxPayable,"17,067,000","6,300,000","6,700,000","6,600,000"
				DuetoRelatedPartiesCurrent,"26,261,000",,,
				OtherPayable,,"41,000,000","32,700,000","40,500,000"
			CurrentAccruedExpenses,"56,063,000","48,500,000","45,800,000","55,200,000"
		CurrentDebtAndCapitalLeaseObligation,"27,148,000","12,600,000","45,700,000","31,600,000"
			CurrentDebt,"14,025,000",,"33,000,000","17,600,000"
				OtherCurrentBorrowings,"14,025,000",,"33,000,000","17,600,000"
			CurrentCapitalLeaseObligation,"13,123,000","12,600,000","12,700,000","14,000,000"
		OtherCurrentLiabilities,"53,902,000","72,200,000","63,000,000","83,100,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"742,260,000","190,700,000","204,900,000","232,500,000"
		LongTermDebtAndCapitalLeaseObligation,"583,487,000","45,300,000","51,000,000","57,600,000"
			LongTermDebt,"541,898,000",,"4,900,000","4,900,000"
			LongTermCapitalLeaseObligation,"41,589,000","45,300,000","46,100,000","52,700,000"
		NonCurrentDeferredLiabilities,"147,030,000","129,500,000","133,200,000","155,200,000"
			NonCurrentDeferredTaxesLiabilities,"147,030,000","129,500,000","133,200,000","155,200,000"
		OtherNonCurrentLiabilities,"11,743,000","15,900,000","20,700,000","19,700,000"
TotalEquityGrossMinorityInterest,"812,456,000","1,451,400,000","1,402,300,000","1,490,500,000"
	StockholdersEquity,"812,456,000","1,451,400,000","1,402,300,000","1,490,500,000"
		CapitalStock,"261,000","1,494,200,000","1,431,700,000","1,486,000,000"
			PreferredStock,"0",,,
			CommonStock,"261,000","1,494,200,000","1,431,700,000","1,486,000,000"
		AdditionalPaidInCapital,"878,948,000",,,
		RetainedEarnings,"-9,307,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-57,446,000","-42,800,000","-29,400,000","4,500,000"
	MinorityInterest,,,"0","0"
TotalCapitalization,"1,354,354,000","1,451,400,000","1,407,200,000","1,495,400,000"
CommonStockEquity,"812,456,000","1,451,400,000","1,402,300,000","1,490,500,000"
CapitalLeaseObligations,"54,712,000","57,900,000","58,800,000","66,700,000"
NetTangibleAssets,"-186,558,000","417,400,000","335,600,000","325,800,000"
WorkingCapital,"329,562,000","352,200,000","290,000,000","299,800,000"
InvestedCapital,"1,368,379,000","1,451,400,000","1,440,200,000","1,513,000,000"
TangibleBookValue,"-186,558,000","417,400,000","335,600,000","325,800,000"
TotalDebt,"610,635,000","57,900,000","96,700,000","89,200,000"
NetDebt,"451,664,000",,"13,800,000",
ShareIssued,"26,077,000","26,100,000","26,100,000","26,100,000"
OrdinarySharesNumber,"26,077,000","26,100,000","26,100,000","26,100,000"
