name,ttm,03/31/2022,12/31/2021
MarketCap,"1,506,357,836","1,433,018,796","3,581,637,840"
EnterpriseValue,"1,474,614,836","1,404,587,796","3,583,951,840"
PeRatio,,"103.294","258.824"
PsRatio,"9.815","4.677","27.532"
PbRatio,"17.834","18.704",
EnterprisesValueRevenueRatio,"9.608","34.793","88.791"
EnterprisesValueEBITDARatio,"-68.772","-382.201","-188.927"
