name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014
TotalRevenue,"4,634,875,000","1,288,653,000","1,153,595,000","1,150,551,000","1,042,076,000","932,203,000","751,191,000","812,856,000","802,573,000","770,850,000","761,352,000","861,929,000","847,176,000","780,149,000","723,902,000","833,837,000","778,144,000","635,800,000","585,508,000","648,004,000","642,157,000","614,977,000","562,523,000","591,846,000","549,800,000","527,182,000","420,482,000","458,077,000","452,441,000","404,499,000","358,024,000","413,153,000","394,409,000"
	OperatingRevenue,"4,634,875,000","1,288,653,000","1,153,595,000","1,150,551,000","1,042,076,000","932,203,000","751,191,000","812,856,000","802,573,000","770,850,000","761,352,000","861,929,000","847,176,000","780,149,000","723,902,000","833,837,000","778,144,000","635,800,000","585,508,000","648,004,000","642,157,000","614,977,000","562,523,000","591,846,000","549,800,000","527,182,000","420,482,000","458,077,000","452,441,000","404,499,000","358,024,000","413,153,000","394,409,000"
CostOfRevenue,"3,146,600,000","875,853,000","785,823,000","778,681,000","706,243,000","638,353,000","507,867,000","547,785,000","542,115,000","519,256,000","507,879,000","577,436,000","573,522,000","523,222,000","489,676,000","565,687,000","533,328,000","430,008,000","390,088,000","435,744,000","437,053,000","413,942,000","376,796,000","398,622,000","371,215,000","352,979,000","286,322,000","314,164,000","311,553,000","278,263,000","245,999,000","287,310,000","279,542,000"
GrossProfit,"1,488,275,000","412,800,000","367,772,000","371,870,000","335,833,000","293,850,000","243,324,000","265,071,000","260,458,000","251,594,000","253,473,000","284,493,000","273,654,000","256,927,000","234,226,000","268,150,000","244,816,000","205,792,000","195,420,000","212,260,000","205,104,000","201,035,000","185,727,000","193,224,000","178,585,000","174,203,000","134,160,000","143,913,000","140,888,000","126,236,000","112,025,000","125,843,000","114,867,000"
OperatingExpense,"1,069,357,000","296,838,000","270,790,000","259,934,000","241,795,000","235,542,000","210,406,000","215,597,000","210,209,000","223,927,000","222,806,000","229,975,000","223,906,000","220,707,000","208,400,000","216,055,000","211,757,000","177,627,000","172,752,000","176,611,000","172,417,000","170,723,000","165,576,000","167,166,000","150,853,000","150,110,000","128,251,000","129,614,000","126,275,000","119,308,000","113,264,000","114,612,000","113,136,000"
	SellingGeneralAndAdministration,"950,125,000","264,473,000","241,040,000","230,531,000","214,081,000","207,321,000","184,844,000","188,352,000","183,112,000","195,609,000","193,384,000","200,457,000","194,631,000","190,577,000","178,180,000","185,268,000","185,435,000","161,645,000","156,262,000","159,898,000","156,072,000","152,962,000","147,260,000","149,798,000","135,058,000","133,231,000","112,242,000","114,352,000","110,210,000","103,311,000","97,751,000","98,801,000","96,292,000"
	DepreciationAmortizationDepletionIncomeStatement,"119,232,000","32,365,000","29,750,000","29,403,000","27,714,000","28,221,000","25,562,000","27,245,000","27,097,000","28,318,000","29,422,000","29,518,000","29,275,000","30,130,000","30,220,000","30,787,000","26,322,000","15,982,000","16,490,000","16,713,000","16,345,000","17,761,000","18,316,000","17,368,000","15,795,000","16,879,000","16,009,000","15,262,000","16,065,000","15,997,000","15,513,000","15,811,000","16,844,000"
		DepreciationAndAmortizationInIncomeStatement,"119,232,000","32,365,000","29,750,000","29,403,000","27,714,000","28,221,000","25,562,000","27,245,000","27,097,000","28,318,000","29,422,000","29,518,000","29,275,000","30,130,000","30,220,000","30,787,000","26,322,000","15,982,000","16,490,000","16,713,000","16,345,000","17,761,000","18,316,000","17,368,000","15,795,000","16,879,000","16,009,000","15,262,000","16,065,000","15,997,000","15,513,000","15,811,000","16,844,000"
			DepreciationIncomeStatement,,,"13,816,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,"15,934,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,"15,934,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"418,918,000","115,962,000","96,982,000","111,936,000","94,038,000","58,308,000","32,918,000","49,474,000","50,249,000","27,667,000","30,667,000","54,518,000","49,748,000","36,220,000","25,826,000","52,095,000","33,059,000","28,165,000","22,668,000","35,649,000","32,687,000","30,312,000","20,151,000","26,058,000","27,732,000","24,093,000","5,909,000","14,299,000","14,613,000","6,928,000","-1,239,000","11,231,000","1,731,000"
NetNonOperatingInterestIncomeExpense,"-58,097,000","-14,267,000","-15,429,000","-14,744,000","-13,657,000","-12,726,000","-13,454,000","-13,525,000","-14,081,000","-15,408,000","-16,474,000","-17,559,000","-18,277,000","-18,781,000","-19,526,000","-19,182,000","-16,188,000","-8,107,000","-7,871,000","-7,917,000","-7,500,000","-7,198,000","-7,431,000","-7,154,000","-7,577,000","-9,428,000","-9,473,000","-9,260,000","-9,257,000","-8,871,000","-9,162,000","-9,226,000","-9,137,000"
	InterestExpenseNonOperating,"58,097,000","14,267,000","15,429,000","14,744,000","13,657,000","12,726,000","13,454,000","13,525,000","14,081,000","15,408,000","16,474,000","17,559,000","18,277,000","18,781,000","19,526,000","19,182,000","16,188,000","8,107,000","7,871,000","7,917,000","7,500,000","7,198,000","7,431,000","7,154,000","7,577,000","9,428,000","9,473,000","9,260,000","9,257,000","8,871,000","9,162,000","9,226,000","9,137,000"
