name,ttm,03/31/2022
MarketCap,"429,560,157","717,004,795"
EnterpriseValue,"252,977,157","730,067,311"
PsRatio,"50.925","85.782"
PbRatio,"2.597"
EnterprisesValueRevenueRatio,"30.266","346.99"
EnterprisesValueEBITDARatio,"-8.548","-92.707"
