name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
MarketCap,"1,104,671,698","1,141,977,736","1,221,131,986","1,082,623,969","1,301,977,687","1,053,112,730","768,505,821","456,854,800","422,866,815","413,239,920","541,012,698","510,628,615","567,667,699","472,354,633","363,016,772","479,539,764","432,307,754","443,760,933","468,956,556","423,254,515","444,114,997","448,695,328","541,842,009","835,776,340","463,382,546","539,908,073","370,954,267","111,830,592","142,565,449","134,719,774","273,612,945","183,253,756","254,349,968","273,964,561","285,015,260","370,027,856","210,726,642","188,698,723","173,068,588","150,069,529","123,623,712","121,087,246","135,822,928","157,929,387","172,119,733","167,295,440","192,501,982","188,400,895","209,747,076","323,264,919","352,363,692","292,959,611","355,089,923","380,736,341","379,061,534","479,577,851"
EnterpriseValue,"1,038,523,698","1,052,730,736","1,130,288,986","979,082,969","1,199,431,687","956,097,730","681,994,821","383,826,800","367,761,815","340,672,920","464,207,698","428,476,615","492,169,699","390,543,633","277,756,772","404,345,764","344,985,754","345,987,933","377,500,556","332,528,515","346,791,997","348,296,328","446,143,009","741,737,340","366,646,546","439,768,073","348,162,267","89,063,592","113,906,449","106,146,774","242,438,945","156,385,756","234,895,968","253,737,561","263,203,260","351,391,856","189,278,642","162,577,723","146,947,588","119,265,529","95,426,712","91,059,246","90,631,928","112,738,387","122,028,733","115,076,440","137,680,982","132,256,895","158,380,076","273,583,919","294,331,692","218,643,611","275,909,923","306,223,341","300,395,534","400,428,851"
PeRatio,"75.115","83.917","102.333","65.621","39.276","39.021","34.974","21.026","50.633","39.158","39.16","38.604","22.652","21.825","13.735","19.043","40.4","37.364","125","263.333","165.8","416",,,,,,,,,,,,,,,,,,,,,,,,,,,"100","157.5","98.286","38.933","50.571","40","42.111","95.9"
ForwardPeRatio,,,,,,,,,,,,,"43.478","41.494","26.954","16.892","44.843","23.474","10.299",,,,,,,,,"42.735","68.493","86.207",,,,"263.158",,,,,,,,,,,,,"1,250",,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.317",,,,"13.3",,,,,,,,,,,,,"42.933",,,,,,,,,
PsRatio,"10.649","11.382","12.97","10.645","10.301","8.73","6.868","4.224","4.826","4.798","6.413","6.23","7.207","6.483","5.011","7.156","7.126","7.238","8.642","7.946","8.134","8.432","10.197","15.802","9.256","12.06","8.504","3.046","4.382","4.399","6.983","4.73","6.207","6.311","8.11","9.102","4.764","4.465","4.103","5.494","5.629","4.314","3.882","4.514","4.652","3.822","4.156","3.853","4.075","7.095","7.704","5.768","7.055","6.827","6.893","11.476"
PbRatio,"6.104","6.388","6.909","6.02","6.987","6.136","4.686","2.902","3.058","3.038","4.015","4.006","4.771","4.195","3.312","4.702","4.725","5.381","6.909","6.461","6.467","6.889","9.42","14.39","7.693","8.481","5.972","1.813","2.26","1.927","3.679","2.279","3.034","3.152","3.579","4.469","2.517","2.16","1.981","1.663","1.323","1.241","1.276","1.483","1.47","1.398","1.594","1.578","1.712","2.653","2.913","2.629","3.228","3.487","3.543","4.727"
EnterprisesValueRevenueRatio,"9.66","32.346","33.664","47.114","58.205","33.037","25.808","14.004","8.433","15.813","23.804","17.243","21.59","19.729","15.688","18.182","16.615","25.059","16.861","22.045","28.491","25.779","24.901","60.432","27.728","38.914","21.421","7.353","10.865","18.101","16.403","29.275","36.662","65.111","11.328","72.184","22.089","25.51","9.743","11.361","7.761","19.146","14.821","22.854","18.4","11.1","10.58","19.11","11.905","21.687","18.707","22.907","30.356","24.215","13.658","44.276"
EnterprisesValueEBITDARatio,"47.445","109.545","145.45","345.356","716.935","127.633","186.541","52.651","14.652","245.796","1,004.779","65.376","89.048","108.214","96.577","58.986","62.294","-1,671.439","89.054","125.152","974.135","936.28","119.226","2,149.963","248.069","-355.225","469.855","140.037","-50.047","-14.757","-66.042","-35.429","-66.243","-92.101","33.779","-122.95","-500.737","-45.952","-109.991","-148.71","91.493","-25.203","-9.735","-20.092","-30.831","-79.914","77.305","-42","461.749","216.786","82.17","226.339","1,916.041","110.034","36.46","473.32"
