name,ttm
OperatingCashFlow,"36,897,975"
FinancingCashFlow,"-37,012,756"
EndCashPosition,"1,130,000"
	ChangesInCash,"-114,781"
	BeginningCashPosition,"1,244,781"
IssuanceOfDebt,"91,988"
RepaymentOfDebt,"0"
FreeCashFlow,"36,897,975"
