name,ttm,03/31/2022,03/31/2021
TotalRevenue,"528,868,412","162,977,890","111,127,641"
	OperatingRevenue,"528,868,412","162,977,890","111,127,641"
CostOfRevenue,"512,501,880","156,507,632","109,509,320"
GrossProfit,"16,366,532","6,470,258","1,618,321"
OperatingExpense,"62,063,632","19,256,538","6,991,966"
	SellingGeneralAndAdministration,"61,375,525","19,047,484","6,942,019"
		GeneralAndAdministrativeExpense,"61,375,525","19,047,484","6,942,019"
			SalariesAndWages,"49,019,961","14,986,313","5,395,580"
			OtherGandA,"12,355,564","4,061,171","1,546,439"
	DepreciationAmortizationDepletionIncomeStatement,"688,107","209,054","49,947"
		DepreciationAndAmortizationInIncomeStatement,"688,107","209,054","49,947"
			DepreciationIncomeStatement,"688,107","209,054","49,947"
OperatingIncome,"-45,697,100","-12,786,280","-5,373,645"
NetNonOperatingInterestIncomeExpense,"-6,046,090","-1,764,650","-338,003"
	InterestExpenseNonOperating,"6,035,652","1,764,650","338,003"
OtherIncomeExpense,"-17,174,091","-167,255","2,949,906"
	GainOnSaleOfSecurity,"-320,283","-365,608","2,950,236"
	OtherNonOperatingIncomeExpenses,"1,262,455","198,353","-330"
PretaxIncome,"-68,917,281","-14,718,185","-2,761,742"
TaxProvision,"-5,687,515","-1,578,283","-1,182,635"
NetIncomeCommonStockholders,"-74,760,160","-17,262,889","-1,579,107"
	NetIncome,"-63,229,766","-13,139,902","-1,579,107"
		NetIncomeIncludingNoncontrollingInterests,"-63,229,766","-13,139,902","-1,579,107"
			NetIncomeContinuousOperations,"-63,229,766","-13,139,902","-1,579,107"
	PreferredStockDividends,,"266,987",
	OtherunderPreferredStockDividend,,"3,856,000","0"
DilutedNIAvailtoComStockholders,"-74,760,160","-17,262,889","-1,579,107"
BasicEPS,,"-0.09","-0.01"
DilutedEPS,,"-0.09","-0.01"
BasicAverageShares,,"188,408,616","147,806,984"
DilutedAverageShares,,"188,408,616","147,806,984"
TotalOperatingIncomeAsReported,"-45,697,100","-12,786,280","-5,373,645"
TotalExpenses,"574,565,512","175,764,170","116,501,286"
NetIncomeFromContinuingAndDiscontinuedOperation,"-63,229,766","-13,139,902","-1,579,107"
NormalizedIncome,"-46,314,727.094","-12,813,499.438","-3,732,779.28"
InterestExpense,"6,035,652","1,764,650","338,003"
NetInterestIncome,"-6,046,090","-1,764,650","-338,003"
EBIT,"-62,881,629","-12,953,535","-2,423,739"
EBITDA,"-62,193,522"
ReconciledCostOfRevenue,"512,501,880","156,507,632","109,509,320"
ReconciledDepreciation,"688,107","209,054","49,947"
NetIncomeFromContinuingOperationNetMinorityInterest,"-63,229,766","-13,139,902","-1,579,107"
TotalUnusualItemsExcludingGoodwill,"-18,436,546","-365,608","2,950,236"
TotalUnusualItems,"-18,436,546","-365,608","2,950,236"
NormalizedEBITDA,"-43,756,976","-12,378,873","-5,324,028"
TaxRateForCalcs,"0.083","0.107","0.27"
TaxEffectOfUnusualItems,"-1,521,507.094","-39,205.438","796,563.72"
