name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
OperatingCashFlow,"54,260,000","7,365,000","12,618,000","10,818,000","23,459,000","9,898,000","30,473,000","17,001,000","2,686,000","1,249,000","620,000","7,285,000","-2,878,000","-373,000","-1,660,000","7,898,000","3,145,000","-5,823,000","-34,147,000","-7,191,000","2,020,000","-23,454,000","19,159,000","-128,000","119,000","5,269,000","-4,149,000","5,479,000","5,226,000","-11,897,000","23,533,000","15,058,000","4,710,000","-5,226,000","4,011,000","13,607,000","20,820,000","2,380,000","2,861,000","6,710,000","4,590,000","13,517,000","5,850,000","7,813,000","-1,768,000","2,694,000","799,000","8,577,000","-5,258,000","5,058,000","7,736,000","1,681,000","-4,595,000","-3,432,000","-2,752,000"
	CashFlowFromContinuingOperatingActivities,"54,260,000","7,365,000","12,618,000","10,818,000","23,459,000","9,898,000","30,473,000","17,001,000","2,686,000","1,249,000","620,000","7,285,000","-2,878,000","-373,000","-1,660,000","7,898,000","3,145,000","-5,823,000","-34,147,000","-7,191,000","2,020,000","-23,454,000","19,159,000","-128,000","119,000","5,269,000","-4,149,000","5,479,000","5,226,000","-11,897,000","23,533,000","15,058,000","4,710,000","-5,226,000","4,011,000","13,607,000","20,820,000","2,380,000","2,861,000","6,710,000","4,590,000","13,517,000","5,850,000","7,813,000","-1,768,000","2,694,000","799,000","8,577,000","-5,258,000","5,058,000","7,736,000","1,681,000","-4,595,000","-3,432,000","-2,752,000"
		NetIncomeFromContinuingOperations,"225,882,000","8,119,000","19,881,000","177,424,000","20,458,000","20,615,000","24,102,000","20,538,000","-4,212,000","-6,944,000","497,000","-3,379,000","-5,045,000","-9,767,000","-5,578,000","809,000","-2,793,000","-11,736,000","-12,866,000","-17,853,000","-18,988,000","-33,325,000","-11,483,000","636,000","-5,826,000","-10,729,000","-9,546,000","922,000","-5,779,000","-11,930,000","-2,988,000","-3,848,000","-3,951,000","-10,027,000","-6,453,000","544,000","-5,153,000","-6,203,000",,,,,,,,"-22,756,000",,,,,"2,845,000",,,,"317,000"
		OperatingGainsLosses,,,,,,,"165,000","0",,,"12,000","2,486,000","43,000","95,000","15,000","64,000","3,000","-6,460,000","132,000","68,000","0","80,000",,,,,"10,000","9,000","-5,000","10,000","9,000",,,,"5,000","4,000","18,000","542,000","0","178,000",,,"171,000","657,000",,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0","0","0","0","0","0","0","-6,704,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"165,000","0","3,749,000","0","12,000","2,486,000","43,000","95,000","15,000","64,000","3,000","244,000","132,000","68,000","0","80,000",,,"0","0","10,000","9,000","-5,000","10,000","9,000","41,000","0","0","5,000","4,000","18,000","542,000","0","178,000",,,"171,000","657,000",,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"14,878,000","3,943,000","3,661,000","3,614,000","3,660,000","4,077,000","3,407,000","3,305,000","3,462,000","3,544,000","2,909,000","2,763,000","2,363,000","2,281,000","2,095,000","2,150,000","2,319,000","2,623,000","2,546,000","2,703,000","2,466,000","3,276,000","2,851,000","2,964,000","2,990,000","5,319,000","7,301,000","7,264,000","7,138,000","7,120,000","7,131,000","6,891,000","6,891,000","6,911,000","7,054,000","7,045,000","7,149,000","7,494,000","6,851,000","6,862,000","6,809,000","5,787,000","6,600,000","7,448,000","8,225,000","3,802,000",,,,,"2,730,000",,,,"2,904,000"
			DepreciationAndAmortization,"14,878,000","3,943,000","3,661,000","3,614,000","3,660,000","4,077,000","3,407,000","3,305,000","3,462,000","3,544,000","2,909,000","2,763,000","2,363,000","2,281,000","2,095,000","2,150,000","2,319,000","2,623,000","2,546,000","2,703,000","2,466,000","3,276,000","2,851,000","2,964,000","2,990,000","5,319,000","7,301,000","7,264,000","7,138,000","7,120,000","7,131,000","6,891,000","6,891,000","6,911,000","7,054,000","7,045,000","7,149,000","7,494,000","6,851,000","6,862,000","6,809,000","5,787,000","6,600,000","7,448,000","8,225,000","3,802,000",,,,,"2,730,000",,,,"2,904,000"
				Depreciation,"11,579,000","3,943,000","3,661,000","3,614,000","3,660,000","4,077,000",,,"3,462,000","3,544,000","2,909,000","2,763,000","2,363,000","2,281,000","2,095,000","2,150,000","2,319,000","2,623,000","2,546,000","2,703,000","2,466,000","2,463,000","2,037,000","2,151,000","2,176,000","1,955,000","2,660,000","2,624,000","2,498,000","2,480,000","2,491,000","2,250,000","2,251,000","2,271,000","2,414,000","2,404,000","2,509,000","2,854,000","2,211,000","2,222,000","2,169,000","1,960,000","2,005,000","2,090,000","2,242,000","1,617,000",,,,,"1,185,000",,,,"1,359,000"
