name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
	InterestIncomeNonOperating,"260,000","46,000","45,000","56,000","113,000","161,000","175,000","414,000","1,011,000","2,299,000","1,942,000","1,930,000","2,023,000","2,234,000","2,051,000","1,539,000","1,290,000","1,015,000","767,000","657,000","509,000","343,000","335,000","276,000","258,000","253,000","314,000","396,000","341,000","353,000","340,000","362,000","234,000","197,000","184,000","133,000","177,000","185,000","221,000","133,000","132,000","230,000","280,000","354,000","344,000","341,000","340,000","380,000","371,000","300,000","294,000","339,000","407,000","589,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"4,368,000","1,292,000","1,196,000","657,000","1,224,000","704,000","768,000","973,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-5,379,000","1,279,000","-3,588,000","-1,219,000","-1,852,000","-4,527,000","2,389,000","-1,442,000","-2,154,000","158,014,000","-1,331,000","27,161,000","-1,468,000","342,000","-409,000","826,000","-3,200,000","460,000","-1,341,000","-57,000","212,000","513,000","-2,690,000","-459,000","-1,232,000","-1,832,000","-6,118,000","419,000","-552,000","-1,046,000","-1,597,000","-522,000","-338,000","138,000","-799,000","760,000","-651,000","-122,000","-6,813,000","-1,134,000","-865,000","-784,000","-1,260,000","-803,000","-1,057,000","223,000","-87,000","586,000","-1,741,000","-350,000","-195,000","1,422,000","1,397,000","-539,000","-1,798,000","-2,945,000","-442,000","1,609,000","1,024,000","112,000","295,000","83,000","460,000","403,000","67,000","-197,000","-300,000","-299,000","1,298,000","-514,000","-187,000","-37,000","-578,000","46,000","971,000","277,000","438,000","7,000","356,000","-106,000","662,000","-820,000","-402,000","547,000","313,000","-1,180,000","287,000","-540,000","-289,000","-704,000","200,000","600,000","700,000","400,000","1,400,000","700,000","700,000","400,000","0","700,000","400,000","-300,000","1,100,000","500,000",,"-100,000","900,000","-500,000","900,000","400,000"
	GainOnSaleOfSecurity,"-5,580,000","-1,166,000","-2,292,000","-1,226,000","-896,000","-559,000","1,878,000","-676,000","-838,000","-505,000","-223,000","-378,000","-1,611,000","366,000","-1,341,000","-956,000","-2,105,000","979,000","-732,000","1,096,000","447,000","82,000","-3,161,000","-760,000","-1,285,000","574,000","-5,110,000","286,000","-577,000","-1,674,000","-1,245,000","-452,000","-603,000","50,000","-521,000","456,000","-1,051,000","-1,462,000","-107,000","-235,000","-1,016,000","-888,000","-1,338,000","-708,000","-486,000","-223,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"-944,000","602,000","-637,000","278,000","-867,000","-4,173,000","-383,000","-627,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"0","0","0","0","0","0","0","159,753,000","0","26,842,000",,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","1,316,000","-6,139,000","-899,000","-865,000","-784,000","78,000","-95,000","-1,057,000","223,000","-87,000","586,000","-1,741,000","-350,000","-195,000","1,422,000","1,397,000","-539,000","-1,798,000","-2,945,000","-442,000","1,609,000","1,024,000","112,000","295,000","83,000","460,000","403,000","67,000","-197,000","-300,000","-299,000","1,298,000","-514,000","-187,000","-37,000","-578,000","46,000","971,000","277,000","438,000","7,000","356,000","-106,000","662,000","-820,000","-402,000","547,000","313,000","-1,180,000","287,000","-540,000","-289,000","-704,000","200,000","600,000","700,000","400,000","1,400,000","700,000","700,000","400,000","0","700,000","400,000","-300,000","1,100,000","500,000",,"-100,000","900,000","-500,000","900,000","400,000"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-1,316,000","6,783,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,"0","0","0","0","0","0","0","159,753,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,"0","26,842,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"1,145,000","1,843,000","-659,000","-271,000","-89,000","205,000","894,000","-139,000","-1,316,000","-1,234,000","-1,108,000","697,000","143,000","-24,000","932,000","1,782,000","-1,095,000","-519,000","-609,000","-1,153,000","-235,000","431,000","471,000","301,000","53,000","-2,406,000","-1,008,000","133,000","25,000","628,000","-352,000","-70,000","265,000","88,000","-278,000","304,000","400,000","24,000","77,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
