name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009
TotalAssets,"3,011,134,000","3,017,927,000","3,051,070,000","3,045,531,000","3,049,346,000","2,817,309,000","2,844,114,000","2,846,282,000","2,756,185,000","2,790,333,000","2,788,958,000","2,718,758,000","2,217,048,000","2,198,250,000","2,196,776,000","2,186,040,000","2,213,566,000","2,259,864,000","2,275,618,000","2,171,176,000","2,115,341,000","1,986,933,000","1,989,228,000","1,971,913,000","1,977,826,000","1,978,419,000","1,996,075,000","1,974,313,000","1,966,149,000","1,941,762,000","1,938,660,000","1,892,423,000","1,878,958,000","1,832,443,000","1,840,846,000","1,836,759,000","1,824,470,000","1,827,587,000","1,860,937,000","1,713,448,000","1,722,471,000","1,709,281,000","1,724,761,000","1,722,765,000","1,652,482,000","1,117,357,000","1,103,713,000","1,099,549,000","938,991,000"
	CurrentAssets,"90,453,000","238,829,000","189,855,000","389,804,000","395,968,000","154,689,000","175,332,000","170,864,000","72,962,000","128,692,000","142,306,000","69,972,000","79,766,000","73,244,000","80,425,000","73,043,000","80,481,000","107,768,000","118,755,000","52,198,000","214,395,000","69,934,000","85,681,000","64,893,000","66,446,000","63,402,000","77,869,000","56,157,000","75,436,000","80,707,000","117,969,000","98,210,000","100,044,000","68,675,000","86,468,000","82,888,000","63,876,000","56,340,000","80,636,000","166,068,000","167,543,000","180,315,000","190,895,000","158,666,000","165,049,000","132,208,000","128,579,000","78,498,000","104,572,000"
		CashCashEquivalentsAndShortTermInvestments,"73,573,000","139,524,000","171,923,000","368,266,000","380,434,000","137,333,000","155,327,000","146,131,000","52,371,000","99,303,000","115,568,000","44,778,000","54,538,000","47,956,000","56,220,000","51,326,000","55,336,000","82,610,000","94,207,000","31,380,000","190,110,000","44,801,000","61,959,000","43,886,000","44,007,000","39,925,000","40,158,000","34,949,000","54,639,000","59,357,000","95,145,000","78,859,000","79,486,000","48,987,000","65,722,000","63,340,000","43,972,000","42,479,000","34,917,000","122,871,000","126,978,000","140,958,000","152,818,000","123,980,000","133,234,000","41,953,000","37,363,000","31,592,000","24,189,000"
			CashAndCashEquivalents,"73,573,000","139,524,000","171,923,000","368,266,000","380,434,000","137,333,000","155,327,000","146,131,000","52,371,000","99,303,000","115,568,000","44,778,000","54,538,000","47,956,000","56,220,000","51,326,000","55,336,000","82,610,000","94,207,000","31,380,000","190,110,000","44,801,000","61,959,000","43,886,000","44,007,000","39,925,000","40,158,000","34,949,000","54,639,000","59,357,000","95,145,000","78,859,000","79,486,000","48,987,000","65,722,000","63,340,000","43,972,000","42,479,000","34,917,000","98,584,000","100,652,000","112,723,000","123,222,000","92,535,000","100,396,000","41,953,000","37,363,000","31,592,000","24,189,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","24,287,000","26,326,000","28,235,000","29,596,000","31,445,000","32,838,000",,,,
		Receivables,"7,876,000","90,169,000","7,421,000","6,582,000","6,031,000","6,938,000","12,018,000","13,544,000","8,621,000","12,016,000","9,561,000","10,104,000","9,137,000","9,289,000","8,345,000","7,118,000","8,797,000","9,869,000","8,649,000","6,483,000","7,558,000","9,330,000","8,604,000","6,747,000","7,586,000","7,518,000","8,151,000","5,721,000","5,772,000","6,727,000","7,552,000","4,940,000","6,277,000","7,295,000","7,579,000","7,338,000","7,479,000","6,440,000","6,076,000","4,997,000","5,313,000","6,847,000","6,525,000","4,944,000","4,913,000","43,393,000","43,644,000","42,231,000","41,736,000"
			AccountsReceivable,"7,876,000","7,445,000","7,421,000","6,582,000","6,031,000","6,938,000","12,018,000","13,544,000","8,621,000","12,016,000","9,561,000","10,104,000","9,137,000","9,289,000","8,345,000","7,118,000","8,797,000","9,869,000","8,649,000","6,483,000","7,558,000","9,330,000","8,604,000","6,747,000","7,586,000","7,518,000","8,151,000","5,721,000","5,772,000","6,727,000","7,552,000","4,940,000","6,277,000","7,295,000","7,579,000","7,338,000","7,479,000","6,440,000","6,076,000","4,997,000","5,313,000","6,847,000","6,525,000","4,944,000","4,913,000","21,624,000","21,875,000","20,462,000","20,767,000"
				GrossAccountsReceivable,,"12,045,000",,,,"16,938,000",,,,"13,216,000",,,,"9,889,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-4,600,000",,,,"-10,000,000",,,,"-1,200,000",,,,"-600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","21,769,000","21,769,000","21,769,000","20,969,000"
			OtherReceivables,"85,551,000","82,724,000",,,,,,,"56,869,000","52,171,000","47,361,000","42,098,000","40,554,000","39,815,000","40,305,000","39,283,000","39,279,000","38,973,000","38,614,000","37,924,000","38,555,000","38,452,000","38,283,000","38,875,000","38,633,000","38,422,000","37,714,000","37,008,000","36,467,000","35,883,000","34,814,000","33,956,000","33,372,000","32,531,000","31,665,000","30,918,000","30,230,000","29,395,000",,,,,,,,,,,
