name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020
TotalRevenue,"33,486,000","6,855,000","12,344,000","7,978,000","6,309,000","5,313,000","2,432,000","4,223,000","3,424,000","3,872,000"
	OperatingRevenue,"33,486,000","6,855,000","12,344,000","7,978,000","6,309,000","5,313,000","2,432,000","4,223,000","3,424,000","3,872,000"
CostOfRevenue,"55,107,000","16,654,000","19,838,000","10,762,000","7,853,000","7,639,000","6,743,000","6,924,000","7,442,000","3,843,000"
GrossProfit,"-21,621,000","-9,799,000","-7,494,000","-2,784,000","-1,544,000","-2,326,000","-4,311,000","-2,701,000","-4,018,000","29,000"
OperatingExpense,"246,018,000","72,532,000","63,468,000","67,361,000","42,657,000","26,918,000","26,083,000","19,095,000","15,832,000","14,864,000"
	SellingGeneralAndAdministration,"138,058,000","39,423,000","34,420,000","41,471,000","22,744,000","12,908,000","15,700,000","8,943,000","6,124,000","6,456,000"
		GeneralAndAdministrativeExpense,"113,437,000","30,025,000","28,572,000","35,603,000","19,237,000","10,273,000","13,159,000","6,611,000","4,892,000","4,613,000"
			OtherGandA,"113,437,000","30,025,000","28,572,000","35,603,000","19,237,000","10,273,000","13,159,000","6,611,000","4,892,000","4,613,000"
		SellingAndMarketingExpense,"24,621,000","9,398,000","5,848,000","5,868,000","3,507,000","2,635,000","2,541,000","2,332,000","1,232,000","1,843,000"
	ResearchAndDevelopment,"107,960,000","33,109,000","29,048,000","25,890,000","19,913,000","14,010,000","10,383,000","10,152,000","9,708,000","8,408,000"
OperatingIncome,"-267,639,000","-82,331,000","-70,962,000","-70,145,000","-44,201,000","-29,244,000","-30,394,000","-21,796,000","-19,850,000","-14,835,000"
NetNonOperatingInterestIncomeExpense,"-281,000","-1,741,000","546,000","469,000","443,000","-30,000","-843,000","-1,427,000","-454,000","-437,000"
	InterestIncomeNonOperating,"4,827,000","1,539,000","1,714,000","843,000","731,000","170,000",,,"35,000","95,000"
	InterestExpenseNonOperating,"5,108,000","3,280,000","1,168,000","374,000","288,000","200,000","567,000","1,427,000","489,000","532,000"
OtherIncomeExpense,"16,666,000","-3,857,000","-3,477,000","17,072,000","6,928,000","-46,649,000","-258,834,000","-7,988,000","-5,131,000","-309,000"
	GainOnSaleOfSecurity,"16,666,000","-3,857,000","-3,477,000","17,072,000","6,928,000","-46,649,000","-255,704,000","-7,988,000","-4,265,000","-309,000"
	SpecialIncomeCharges,,,"0","0","0",,"-3,130,000","0","-866,000",
		OtherSpecialCharges,,,,,,,"3,130,000",,"866,000",
PretaxIncome,"-251,254,000","-87,929,000","-73,893,000","-52,604,000","-36,830,000","-75,923,000","-290,071,000","-31,211,000","-25,435,000","-15,581,000"
TaxProvision,"-858,000","404,000","0","-1,264,000",,,,"0",,
NetIncomeCommonStockholders,"-250,396,000","-88,333,000","-73,893,000","-51,340,000","-36,830,000","-75,923,000","-290,581,000","-37,458,000","-25,435,000","-15,581,000"
	NetIncome,"-250,396,000","-88,333,000","-73,893,000","-51,340,000","-36,830,000","-75,923,000","-290,071,000","-31,211,000","-25,435,000","-15,581,000"
		NetIncomeIncludingNoncontrollingInterests,"-250,396,000","-88,333,000","-73,893,000","-51,340,000","-36,830,000","-75,923,000","-290,071,000","-31,211,000","-25,435,000","-15,581,000"
			NetIncomeContinuousOperations,"-250,396,000","-88,333,000","-73,893,000","-51,340,000","-36,830,000","-75,923,000","-290,071,000","-31,211,000","-25,435,000","-15,581,000"
	OtherunderPreferredStockDividend,,,,"0",,,"510,000","6,247,000",,
DilutedNIAvailtoComStockholders,"-250,396,000","-88,333,000","-73,893,000","-51,340,000","-36,830,000","-75,923,000","-290,581,000","-37,458,000","-25,435,000","-15,581,000"
BasicEPS,,"-0.25","-0.21","-0.15","-0.11","-0.23",,"-0.116","-0.079","-0.048"
DilutedEPS,,"-0.25","-0.21","-0.15","-0.11","-0.23",,"-0.116","-0.079","-0.048"
BasicAverageShares,,"348,683,836","359,483,729","352,122,485","340,255,023","332,987,523",,"323,936,240","323,936,240","323,936,240"
DilutedAverageShares,,"348,683,836","359,483,729","352,122,485","340,255,023","332,987,523",,"323,936,240","323,936,240","323,936,240"
TotalOperatingIncomeAsReported,"-267,639,000","-82,331,000","-70,962,000","-70,145,000","-44,201,000","-29,244,000","-30,394,000","-21,796,000","-19,850,000","-14,835,000"
