name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003
TotalAssets,"1,903,331,000","1,886,581,000","1,856,693,000","1,842,179,000","1,703,049,000","1,173,733,000","1,162,739,000","1,157,569,000","1,135,763,000","1,180,798,000","1,183,984,000","1,223,795,000","1,231,933,000","1,151,983,000","1,138,632,000","1,132,136,000","1,089,923,000","1,071,692,000","1,043,543,000","998,943,000","978,045,000","731,548,000","483,466,000","440,598,000","431,353,000","404,616,000","377,501,000","316,622,000","283,900,000","286,099,000","253,400,623"
	CurrentAssets,"477,670,000","466,160,000","443,504,000","401,146,000","235,037,000","216,660,000","208,568,000","211,210,000","205,643,000","209,458,000","212,163,000","252,923,000","265,354,000","214,645,000","203,692,000","207,158,000","198,892,000","190,367,000","177,485,000","161,524,000","145,181,000","121,670,000","63,690,000","57,912,000","52,902,000","55,959,000","52,895,000","42,582,000","33,103,000","34,875,000","33,466,541"
		CashCashEquivalentsAndShortTermInvestments,"308,598,000","293,583,000","276,496,000","258,474,000","114,172,000","57,784,000","60,478,000","59,246,000","52,361,000","45,490,000","41,588,000","61,108,000","76,600,000","33,674,000","29,824,000","36,305,000","31,941,000","31,116,000","19,118,000","24,799,000","28,380,000","17,438,000","4,071,000","8,282,000","7,637,000","5,803,000","6,065,000","7,480,000","5,637,000","7,407,000","12,194,314"
			CashAndCashEquivalents,"307,671,000","292,642,000","275,538,000","257,122,000","113,328,000","57,784,000","60,478,000","59,246,000","52,361,000","45,490,000","41,588,000","61,108,000","76,600,000","33,674,000","29,824,000","36,305,000","31,941,000","31,116,000","19,118,000","24,799,000","28,380,000","17,438,000","4,071,000","8,282,000","7,637,000","5,803,000","6,065,000","7,480,000","5,637,000","7,407,000","12,194,314"
			OtherShortTermInvestments,"927,000","941,000","958,000","1,352,000","844,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"149,735,000","158,064,000","149,564,000","131,178,000","106,844,000","131,018,000","121,610,000","124,155,000","121,531,000","132,008,000","141,800,000","157,031,000","151,640,000","155,386,000","149,080,000","148,374,000","144,718,000","139,496,000","138,902,000","118,060,000","110,561,000","97,462,000","57,090,000","47,286,000","43,124,000","47,350,000","43,558,000","32,616,000","24,954,000","25,030,000","19,273,993"
			AccountsReceivable,"148,163,000","155,772,000","147,138,000","128,906,000","104,694,000","115,870,000","118,702,000","122,871,000","121,531,000","131,341,000","134,868,000","153,715,000","151,640,000","150,617,000","146,788,000","142,819,000","138,563,000","139,496,000","135,914,000","118,060,000","107,410,000","97,462,000","57,090,000","47,286,000","43,124,000","47,350,000","43,055,000","31,306,000","23,672,000","25,030,000","19,273,993"
				GrossAccountsReceivable,"149,250,000","157,030,000","147,850,000","129,572,000","105,568,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,087,000","-1,258,000","-712,000","-666,000","-874,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"1,572,000","2,292,000","2,426,000","2,272,000","2,150,000","11,968,000",,,,,,,,,,,,,,,,,,,,,,,,,
