name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"-7,132,000","-21,468,000","4,166,000","382,000","9,788,000","-33,630,000","7,181,000","5,207,000","24,098,000","-3,055,000","-1,083,000","605,000","3,576,000","-5,867,000","1,998,000","399,000","-1,886,000","-4,518,000","-2,148,000","-2,221,000","-3,197,000","-6,741,000","-3,061,000","-1,203,000","-6,067,000","-6,192,000","-3,976,000","-3,029,000","-1,733,000","-1,014,000","-722,000","-3,661,000","853,000","180,000","-918,000","1,649,000","-343,000","-934,000"
	CashFlowFromContinuingOperatingActivities,"-7,132,000","-21,468,000","4,166,000","382,000","9,788,000","-33,630,000","7,181,000","5,207,000","24,098,000","-3,055,000","-1,083,000","605,000","3,576,000","-5,867,000","1,998,000","399,000","-1,886,000","-4,518,000","-2,148,000","-2,221,000","-3,197,000","-6,741,000","-3,061,000","-1,203,000","-6,067,000","-6,192,000","-3,976,000","-3,029,000","-1,733,000","-1,014,000","-722,000","-3,661,000","853,000","180,000","-918,000","1,649,000","-343,000","-934,000"
		NetIncomeFromContinuingOperations,"-49,623,000","-19,648,000","-16,151,000","-11,897,000","-1,927,000","-687,000","-3,515,000","-2,818,000","-6,558,000","-5,823,000","-4,777,000","-1,813,000","-7,847,000","-7,531,000","-3,755,000","-19,970,000","-14,062,000","-8,994,000","-31,629,000","-14,287,000","-4,035,000","-5,609,000","-15,709,000","-3,801,000","-10,494,000","-9,752,000","-4,762,000","-3,488,000","-3,185,000","-2,272,000","-5,000","1,213,000","877,000","-1,304,000","-562,000","-830,000","-802,000","-1,348,000"
		OperatingGainsLosses,"-106,000","-27,000","-56,000","-88,000","65,000","-27,000","505,000","-79,000","664,000","405,000","-173,000","-4,346,000","1,351,000","3,009,000","4,269,000","17,093,000","8,768,000","-1,321,000","26,218,000","8,589,000","-1,077,000","-4,130,000","-1,531,000","-1,398,000","3,150,000","-16,000","-17,000","-56,000","-30,000","-29,000","-1,940,000","-393,000","-369,000","511,000","504,000","-47,000","-62,000","-63,000"
			GainLossOnInvestmentSecurities,"-106,000","-27,000","-56,000","-88,000","65,000","-27,000","505,000","-79,000","664,000","405,000","-333,000","-4,346,000","1,351,000","3,009,000","-1,562,000","17,093,000","8,768,000","-1,321,000","26,218,000","8,599,000","-1,067,000","-4,128,000","-1,529,000","-1,386,000",,,,,,,"-1,239,000","-390,000","-363,000","528,000",,,,
		DepreciationAmortizationDepletion,"12,792,000","3,534,000","3,397,000","3,020,000","2,841,000","2,627,000","2,596,000","2,443,000","2,274,000","2,231,000","1,683,000","1,460,000","1,219,000","1,161,000","1,176,000","1,014,000","986,000","1,039,000","1,019,000","919,000","887,000","934,000","725,000","1,098,000","836,000","261,000","221,000","217,000","193,000","165,000","158,000","132,000","116,000","106,000","123,000","125,000","164,000","251,000"
			DepreciationAndAmortization,"12,792,000","3,534,000","3,397,000","3,020,000","2,841,000","2,627,000","2,596,000","2,443,000","2,274,000","2,231,000","1,683,000","1,460,000","1,219,000","1,161,000","1,176,000","1,014,000","986,000","1,039,000","1,019,000","919,000","887,000","934,000","725,000","1,098,000","836,000","261,000","221,000","217,000","193,000","165,000","158,000","132,000","116,000","106,000","123,000","125,000","164,000","251,000"
				Depreciation,"12,792,000","3,534,000","3,397,000","3,020,000","2,841,000","2,627,000","2,596,000","2,443,000","2,274,000","2,231,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,"612,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,"612,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
