name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011
MarketCap,"495,328,383","540,508,496","564,478,350","577,008,822","567,559,118","647,570,997","518,700,587","372,496,831","482,489,454","496,056,447","881,106,789","752,421,248","837,119,761","799,086,907","661,075,048","839,413,092","743,229,077","727,525,299","767,851,604","582,922,504","620,549,309","674,498,124","617,120,730","638,344,766","619,347,227","565,830,963","545,009,070","661,781,431","773,226,581","772,223,199","775,713,526","782,922,757","842,126,402","739,925,650","869,925,597","729,887,890","639,706,790","691,611,137","700,923,214","766,105,185","628,577,742","611,503,118","520,206,554","408,016,718","354,283,692"
EnterpriseValue,"595,526,383","653,685,496","679,784,350","696,485,822","688,836,118","780,333,997","656,145,587","517,547,831","629,929,454","652,067,447","1,057,066,789","947,735,248","1,017,171,761","988,287,907","854,578,048","1,030,373,092","925,361,077","916,234,299","749,919,604","570,913,504","613,397,309","679,270,124","627,600,730","656,118,766","628,389,227","589,604,963","589,587,070","687,043,431","787,452,581","793,310,199","808,334,526","823,788,757","890,986,402","797,460,650","944,807,597","816,147,890","714,004,790","781,367,137","790,679,214","883,389,185","749,782,742","739,872,118","656,924,554","544,734,718","490,679,692"
PeRatio,"24.667","52.258","103.172","72.125","568",,,"86.385","40.472","22.833","35.733","35.906","37.174","37.136","52","58.591","63.528","80.036","56.357","47.342","42.6","46.311","34.709","30.385","27.056","18.882","14.713","15.808","15.836","16.154","17.156","17.696","32.9","33.594","51.566","55.024","24","25.239","25.602","31.633","51.775",,,,
ForwardPeRatio,"21.097",,"22.573","33.333","19.157",,,"22.936","36.364",,,,,,,,,,,,,,,,,"16.103","17.637","14.881","15.625","15.625","17.668","19.084","17.065","14.085","20.661","17.762","12.24","15.974","15.528","15.221","12.27","20.04","18.382","15.129",
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.042","1.177","1.272","1.138","0.939","1.378","1.184","0.816","1.065","1.034","1.015","0.818","1.335","1.226","1.008",
PsRatio,"1.395","1.664","1.859","1.994","2.057","2.224","1.659","1.067","1.259","1.22","2.073","1.83","2.055","2.016","1.784","2.447","2.431","2.682","3.156","2.328","2.368","2.529","2.231","2.302","2.221","2.013","1.851","2.178","2.528","2.583","2.734","2.832","3.052","2.64","3.063","2.605","2.284","2.49","2.526","2.871","2.331","2.651","2.284","1.792","1.556"
PbRatio,"1.241","1.391","1.495","1.499","1.497","1.706","1.446","1.063","1.393","1.344","2.487","2.146","2.433","2.403","1.996","2.543","2.222","2.168","2.345","1.855","2.016","2.25","2.05","2.146","2.104","2.019","1.97","2.373","2.845","2.777","2.87","2.915","3.362","3.03","3.748","3.38","2.834","3.127","3.152","3.919","3.289","3.475","3.108","2.413","1.991"
EnterprisesValueRevenueRatio,"1.674","6.372","6.756","8.565","9.681","10.642","8.243","7.794","11.081","7.379","10.521","9.207","11.091","8.652","7.16","11.429","10.409","8.932","8.093","9.263","11.856","10.051","9.754","9.535","9.912","8.15","7.922","9.824","12.073","10.683","9.225","10.423","13.167","11.819","13.221","11.213","10.884","10.84","10.302","13.115","11.155","10.717","9.543","8.008","7.594"
EnterprisesValueEBITDARatio,"10.938","37.926","33.138","83.362","69.084","122.003","40.948","60.702","-2,669.193","80.671","53.976","47.853","83.649","47.569","34.243","61.201","56.935","42.604","65.512","45.875","95.918","68.919","52.864","66.268","71.384","58.487","36.421","43.971","65.496","46.368","30.612","38.654","54.186","44.915","44.434","45.895","4,490.596","51.358","42.82","46.718","41.613","42.688","35.519","37.974","170.316"
