name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
TotalRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"115,144,000","31,064,000","28,965,000","28,522,000","26,593,000","21,368,000","19,725,000","18,908,000","17,147,000","15,493,000","15,713,000","11,622,000","10,286,000","7,235,000","8,560,000","7,181,000","5,441,000","6,440,000","4,093,000","3,620,000","2,709,000"
	SellingGeneralAndAdministration,"38,769,000","10,252,000","10,345,000","9,345,000","8,827,000","5,959,000","5,953,000","5,613,000","5,676,000","5,197,000","4,716,000","4,074,000","3,450,000","2,413,000","2,280,000","2,142,000","1,943,000","2,562,000","1,159,000","1,107,000","885,000"
		GeneralAndAdministrativeExpense,,,"10,345,000","9,345,000","8,827,000","5,959,000","5,953,000","5,613,000","5,676,000","5,197,000","4,716,000","4,074,000","3,450,000","2,413,000","2,280,000","2,142,000","1,943,000","2,562,000","1,159,000","1,107,000","885,000"
			OtherGandA,,,"10,345,000","9,345,000","8,827,000","5,959,000","5,953,000","5,613,000","5,676,000","5,197,000","4,716,000","4,074,000","3,450,000","2,413,000","2,280,000","2,142,000","1,943,000","2,562,000","1,159,000","1,107,000","885,000"
	ResearchAndDevelopment,"79,545,000","21,736,000","19,353,000","19,902,000","18,554,000","16,225,000","14,322,000","14,050,000","12,157,000","11,188,000","11,948,000","8,168,000","7,457,000","5,413,000","7,857,000","4,962,000","3,936,000","4,503,000","3,573,000","3,149,000","2,291,000"
	OtherOperatingExpenses,"-3,170,000","-924,000","-733,000","-725,000","-788,000","-816,000","-550,000","-755,000","-686,000","-892,000","-951,000","-620,000","-621,000","-591,000","-1,577,000","77,000","-438,000","-625,000","-639,000","-636,000","-467,000"
OperatingIncome,"-115,144,000","-31,064,000","-28,965,000","-28,522,000","-26,593,000","-21,368,000","-19,725,000","-18,908,000","-17,147,000","-15,493,000","-15,713,000","-11,622,000","-10,286,000","-7,235,000","-8,560,000","-7,181,000","-5,441,000","-6,440,000","-4,093,000","-3,620,000","-2,709,000"
NetNonOperatingInterestIncomeExpense,"-2,223,000","-553,000","-555,000","-557,000","-558,000","-560,000","-807,000","-848,000","-845,000","-890,000","-834,000","-195,000",,"810,000","882,000","664,000","227,000","216,000","32,000","10,000","30,000"
