name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
				Depreciation,"15,995,000","4,050,000",,,"4,347,000","3,724,000","6,465,000","890,000","3,794,000","3,631,000","3,472,000","3,699,000","3,660,000","3,613,000","1,068,000","1,138,000","1,205,000","1,062,000","1,527,000","1,698,000","1,827,000","2,065,000","2,016,000","2,004,000","1,693,000","1,897,000","1,513,000","1,545,000","2,103,000","1,052,000","1,169,000","1,090,000","1,103,000","1,262,000","1,496,000","1,423,000","1,340,000","1,347,000",,,,,,,,,,,,,,,,,,,,"1,106,000","1,821,000","1,767,000","1,731,000","1,671,000","171,000","-1,282,000","1,623,000","1,551,000","2,139,000",,,"1,375,000",,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,996,000","2,781,000","3,123,000","2,755,000","2,070,000","1,461,000","1,139,000","1,019,000","721,000","865,000",,,"1,600,000",,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,996,000","2,781,000","3,123,000","2,755,000","2,070,000","1,461,000","1,139,000","1,019,000","721,000","865,000",,,"1,600,000",,,,,,
		DeferredTax,"-1,329,000","3,486,000","-1,709,000","-2,325,000","-781,000","4,919,000","64,000","-179,000","-59,000","281,000","-12,000","74,000","-24,000","58,000","-500,000","-2,856,000","-2,005,000","3,988,000","819,000","-2,276,000","-4,263,000","5,406,000","-1,725,000","-1,736,000","-1,505,000","4,066,000","-2,505,000","1,436,000","-4,418,000","12,879,000","-926,000","-2,292,000","-1,889,000","4,828,000","-1,977,000","-2,202,000","-2,379,000","3,471,000","-2,127,000","-1,362,000","-1,597,000","4,913,000","-1,763,000","-1,589,000","-1,462,000","4,399,000","-1,473,000","-1,005,000","-1,192,000","3,893,000","-44,000","408,000","-2,497,000","1,850,000","-3,158,000","1,716,000","-2,012,000","13,885,000","-1,563,000","-2,664,000","-1,711,000","9,263,000","-1,941,000","-2,724,000","2,347,000","3,509,000","-1,277,000","-1,028,000","-26,000","-1,904,000","-926,000","-16,992,000",,,"1,178,000","-299,000"
			DeferredIncomeTax,"-1,329,000","3,486,000","-1,709,000","-2,325,000","-781,000","4,919,000","64,000","-179,000","-59,000","281,000","-12,000","74,000","-24,000","58,000","-500,000","-2,856,000","-2,005,000","3,988,000","819,000","-2,276,000","-4,263,000","5,406,000","-1,725,000","-1,736,000","-1,505,000","4,066,000","-2,505,000","1,436,000","-4,418,000","12,879,000","-926,000","-2,292,000","-1,889,000","4,828,000","-1,977,000","-2,202,000","-2,379,000","3,471,000","-2,127,000","-1,362,000","-1,597,000","4,913,000","-1,763,000","-1,589,000","-1,462,000","4,399,000","-1,473,000","-1,005,000","-1,192,000","3,893,000","-44,000","408,000","-2,497,000","1,850,000","-3,158,000","1,716,000","-2,012,000","13,885,000","-1,563,000","-2,664,000","-1,711,000","9,263,000","-1,941,000","-2,724,000","2,347,000","3,509,000","-1,277,000","-1,028,000","-26,000","-1,904,000","-926,000","-16,992,000",,,"1,178,000","-299,000"
		AmortizationOfSecurities,,,,,,"17,000","-14,000","-26,000","-84,000","-84,000","-85,000","-107,000","-242,000","-59,000","-149,000",,,,,,,,,,,,,,,,,,,,,,,,,"595,000","545,000","496,000","489,000","497,000","415,000","343,000","293,000","244,000","232,000","190,000","178,000","157,000","188,000","266,000","519,000","624,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"42,873,000","11,757,000","9,471,000","10,213,000","11,432,000","9,348,000","7,335,000","7,441,000","7,591,000","6,970,000","6,792,000","7,253,000","7,098,000","6,668,000","6,919,000","5,962,000","6,007,000","5,738,000","5,423,000","5,629,000","5,389,000","5,328,000","4,816,000","4,841,000","4,920,000","7,072,000","5,563,000","5,196,000","5,937,000","5,990,000","6,396,000","6,340,000","6,263,000","5,932,000","5,353,000","5,434,000","5,874,000","4,878,000","4,461,000","4,060,000","4,579,000","4,462,000","5,771,000","4,319,000","4,382,000","4,203,000","3,796,000","3,819,000","3,814,000","3,671,000","3,214,000","3,206,000","3,320,000","3,270,000","11,300,000","4,802,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,"347,000","392,000","424,000","442,000","443,000","343,000","267,000","233,000","236,000","247,000","348,000","373,000","413,000","-60,000","-59,000","-59,000","-57,000","-61,000","-63,000","-57,000","42,000","279,000","204,000","-309,000","466,000","403,000","336,000","398,000","2,077,000","1,147,000","1,272,000","1,299,000","1,245,000","2,826,000","493,000","-137,000","-130,000","-138,000","-142,000","-138,000","-112,000","-105,000","-116,000","-130,000","-96,000","-78,000","-89,000","-18,876,000","18,752,000","-143,000","-109,000","-1,676,000","1,506,000","3,865,000","3,307,000","3,344,000","2,787,000","388,000","4,576,000","842,000","4,207,000","-2,044,000","2,955,000","694,000","2,934,000","1,093,000","48,780,000","-1,505,000","3,781,000","948,000","746,000"
		ChangeInWorkingCapital,"-134,662,000","-169,990,000","-2,409,000","16,925,000","20,812,000","-58,372,000","-5,148,000","-7,376,000","25,028,000","-47,047,000","20,611,000","-15,359,000","33,891,000","-65,955,000","-8,635,000","-2,079,000","3,017,000","-72,563,000","26,407,000","2,209,000","-44,282,000","-38,931,000","20,371,000","1,851,000","6,665,000","-31,650,000","-1,567,000","3,609,000","12,923,000","-41,396,000","10,615,000","-13,025,000","-20,565,000","-31,560,000","10,547,000","19,246,000","1,652,000","-51,984,000","14,565,000","-16,535,000","17,646,000","-83,435,000","9,281,000","1,075,000","15,098,000","-33,593,000","15,508,000","-1,136,000","-4,449,000","-11,892,000","1,541,000","-3,873,000","6,306,000","-14,979,000","11,597,000","-5,029,000","3,940,000","-50,574,000","20,208,000","11,001,000","15,981,000","-38,453,000","10,887,000","13,251,000","-19,542,000","-17,405,000","6,206,000","-2,881,000","-1,414,000","6,339,000","-14,548,000","5,221,000",,,"-18,711,000","2,226,000"
			ChangeInReceivables,"-76,289,000","-65,736,000","5,092,000","-6,681,000","-8,964,000","-4,292,000","-4,558,000","-16,731,000","11,715,000","-3,118,000","8,398,000","-12,364,000","6,866,000","-10,640,000","2,284,000","-5,864,000","12,418,000","-13,387,000","8,656,000","-3,995,000","-2,704,000","-14,420,000","13,827,000","-15,012,000","5,451,000","-8,940,000","11,906,000","-5,517,000","4,572,000","-15,984,000","10,964,000","-11,686,000","6,788,000","-9,119,000","10,461,000","-1,016,000","4,868,000","-20,252,000","9,973,000","-11,070,000","11,304,000","-26,764,000","7,479,000","-10,827,000","3,032,000","-9,323,000","2,157,000","-9,477,000","3,722,000","-2,965,000","-15,542,000","-14,677,000","-6,589,000","260,000","23,794,000","-5,958,000","4,476,000","-24,925,000","10,346,000","-8,159,000","-809,000","224,000","-7,102,000","-4,879,000","1,481,000","-2,067,000","-2,581,000","-3,576,000","-1,000","181,000","-215,000","33,000",,,"-102,000","-210,000"
