name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
					IncomeTaxPayable,,"91,000","0","0","55,000","5,632,000","0","510,000","3,969,000","5,195,000","12,656,000","22,627,000","31,855,000","12,179,000","8,708,000","6,850,000","11,058,000","5,509,000","7,893,000","3,766,000","30,238,000","5,071,000","9,244,000","12,370,000","12,691,000","7,332,000","8,582,000","15,896,000","17,963,000","6,396,000","12,527,000","24,261,000","35,444,000","22,081,000","19,079,000","23,701,000","19,045,000","8,891,000","7,169,000","5,467,000","22,549,000","6,506,000","1,368,000",,,,,,"8,178,000",,,,"4,391,000",,,,,,,,,,,
			CurrentAccruedExpenses,,"182,108,000",,,,"34,056,000",,,,"324,782,000",,,,"291,096,000",,,,"277,584,000",,,,"258,044,000",,,,"255,558,000",,,,"256,564,000",,,,"255,197,000",,,,"198,371,000",,,,"186,790,000",,,,"163,898,000",,,,"171,414,000",,,,"147,817,000",,,,"153,495,000",,,,"165,642,000",,"92,818,000"
				InterestPayable,,"41,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,694,000",,,,"6,147,000",,,,"5,138,000",,,,"6,411,000",,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"261,300,000","287,854,000","249,813,000","246,817,000","239,704,000","291,422,000","240,571,000","236,431,000","236,229,000","239,433,000","238,500,000","238,277,000","234,313,000","35,049,000","34,367,000","34,655,000","34,215,000","32,610,000","31,935,000","30,150,000","29,084,000","26,810,000","23,806,000","22,380,000","27,238,000","27,185,000","26,734,000","26,340,000","25,155,000","24,917,000","24,102,000","23,605,000","23,736,000","23,703,000","23,187,000","22,420,000","20,406,000","20,610,000","22,178,000","22,064,000","21,982,000","21,784,000","19,531,000","17,086,000","18,406,000","20,132,000","18,116,000","18,456,000","18,745,000","19,567,000","30,445,000","19,517,000","19,182,000","28,757,000","18,024,000","17,973,000","17,090,000","13,850,000","10,746,000","17,898,000","17,812,000","17,908,000","5,530,000","6,871,000"
			CurrentDebt,"27,200,000","24,254,000","20,288,000","20,910,000","18,468,000","18,056,000","7,965,000","7,349,000","6,595,000","6,595,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,099,000","7,099,000","7,099,000","7,099,000","5,671,000","4,244,000","2,816,000","8,397,000","8,405,000","8,412,000","8,423,000","8,423,000","8,423,000","8,389,000","8,389,000","9,124,000","9,856,000","9,014,000","8,151,000","8,824,000","9,546,000","11,878,000","12,006,000","12,099,000","12,145,000","11,467,000","9,244,000","10,836,000","12,784,000","10,836,000","11,112,000","11,475,000","12,227,000","23,306,000","12,619,000","12,540,000","28,757,000","18,024,000","17,973,000","17,090,000","13,850,000","10,746,000","17,898,000","17,812,000","17,908,000","5,530,000","6,871,000"
				OtherCurrentBorrowings,"27,200,000","24,254,000","20,288,000","20,910,000","18,468,000","18,056,000","7,965,000","7,349,000","6,595,000","6,595,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,984,000","7,099,000","7,099,000","7,099,000","7,099,000","5,671,000","4,244,000","2,816,000","8,397,000","8,405,000","8,412,000","8,423,000","8,423,000","8,423,000","8,389,000","8,389,000","9,124,000","9,856,000","9,014,000","8,151,000","8,824,000","9,546,000","11,878,000","12,006,000","12,099,000","12,145,000","11,467,000","9,244,000","10,836,000","12,784,000","10,836,000","11,112,000","11,475,000","12,227,000","23,306,000","12,619,000","12,540,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"234,100,000","263,600,000","229,525,000","225,907,000","221,236,000","273,366,000","232,606,000","229,082,000","229,634,000","232,838,000","230,516,000","230,293,000","226,329,000","27,065,000","26,383,000","26,671,000","26,231,000","25,511,000","24,836,000","23,051,000","21,985,000","21,139,000","19,562,000","19,564,000","18,841,000","18,780,000","18,322,000","17,917,000","16,732,000","16,494,000","15,713,000","15,216,000","14,612,000","13,847,000","14,173,000","14,269,000","11,582,000","11,064,000","10,300,000","10,058,000","9,883,000","9,639,000","8,064,000","7,842,000","7,570,000","7,348,000","7,280,000","7,344,000","7,270,000","7,340,000","7,139,000","6,898,000","6,642,000",,,,,,,,,,,
		CurrentDeferredLiabilities,,"54,521,000",,,,"43,448,000",,,,,,,,,,,,,,,,,,,,,,,,"75,000",,,,"71,000",,,,,"152,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,000",,,,"71,000",,,,,"152,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,"54,521,000",,,,"43,448,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
