name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
TotalRevenue,"813,797,000","222,111,000","214,730,000","192,820,000","184,136,000","169,341,000","162,554,000","157,678,000","146,339,000","145,562,000","145,159,000","144,684,000","141,869,000","133,815,000","131,703,000","123,933,000","121,798,000","120,942,000","133,478,000","123,738,000","117,026,000","111,019,000","119,591,000","119,153,000","124,396,000","123,843,000","133,650,000","120,909,000","108,464,000","110,598,000","125,842,000","116,971,000","116,709,000","97,170,000","97,465,000","96,758,000","94,167,000","84,935,000","83,128,000","87,474,000","81,796,000","74,698,000","70,433,000","70,174,000","65,587,000","56,245,000","55,929,000","54,648,000","55,460,000","48,915,000","47,440,000","44,489,000","44,929,000","51,292,000","56,759,000","58,306,000","59,100,000","57,323,000","62,420,000","53,084,000","52,595,000","50,049,000","49,478,000","44,294,000","37,510,124","29,643,993","29,489,544","26,122,723","21,660,784","19,724,150","21,623,970","17,523,132","11,328,144","8,372,427","7,962,340","7,655,451","6,968,394","7,605,737","5,533,983","5,850,739","5,647,767","3,431,887","3,846,059","4,809,838","5,359,470","6,401,276","6,746,145","6,719,622","4,677,303","1,820,689","1,254,936","900,000","600,000"
	OperatingRevenue,"813,797,000","222,111,000","214,730,000","192,820,000","181,574,000","169,341,000","152,444,000","157,678,000","146,339,000","145,562,000","145,159,000","144,684,000","141,869,000","133,815,000","131,703,000","123,933,000","121,798,000","120,942,000","130,479,000","120,467,000","114,064,000","107,886,000","116,049,000","114,142,000","119,129,000","119,223,000","129,435,000","116,871,000","104,654,000","107,131,000","121,556,000","112,167,000","112,229,000","93,492,000","93,095,000","92,188,000","90,119,000","81,411,000","67,768,000","87,474,000","81,796,000","70,781,000","70,433,000","70,174,000","65,587,000","56,245,000","55,929,000","54,648,000","55,460,000","48,915,000","47,440,000","44,489,000","44,929,000","51,292,000","56,759,000","58,306,000","59,100,000","57,323,000","62,420,000","53,084,000","52,595,000","50,049,000","49,478,000","44,294,000","37,510,124","29,643,993","29,489,544","26,122,723","21,660,784","19,724,150","21,623,970","17,523,132","11,328,144","8,372,427","7,962,340","7,655,451","6,968,394","7,605,737","5,533,983","5,850,739","5,647,767","3,431,887","3,846,059","4,809,838","5,359,470","6,401,276","6,746,145","6,719,622","4,677,303","1,820,689","1,254,936","900,000","600,000"
CostOfRevenue,"501,269,000","138,518,000","131,311,000","118,260,000","113,180,000","106,062,000","99,647,000","96,704,000","91,155,000","93,217,000","89,392,000","89,235,000","89,515,000","86,071,000","81,827,000","79,183,000","79,595,000","79,227,000","90,030,000","81,139,000","77,635,000","74,944,000","83,267,000","82,741,000","86,076,000","83,619,000","89,803,000","80,507,000","73,563,000","74,538,000","85,350,000","77,434,000","78,861,000","65,711,000","64,341,000","62,895,000","63,569,000","59,421,000","57,356,000","59,247,000","55,039,000","52,051,000","49,127,000","47,857,000","44,365,000","39,956,000","39,984,000","38,197,000","38,508,000","35,496,000","35,006,000","33,632,000","33,226,000","37,953,000","40,134,000","39,130,000","38,961,000","39,761,000","41,013,000","34,038,000","34,410,000","32,997,000","34,041,000","28,440,000","24,332,416","20,356,375","20,372,941","16,824,271","14,377,670","13,003,902","15,490,232","11,846,245","7,354,889","5,336,934","4,864,990","4,806,975","4,205,733","4,938,811","3,175,925","3,300,209","3,084,373","1,992,804","2,196,866","2,974,607","3,161,515","3,546,236","3,199,227","3,251,085","2,293,207","917,275","618,439","400,000","300,000"
GrossProfit,"312,528,000","83,593,000","83,419,000","74,560,000","70,956,000","63,279,000","62,907,000","60,974,000","55,184,000","52,345,000","55,767,000","55,449,000","52,354,000","47,744,000","49,876,000","44,750,000","42,203,000","41,715,000","43,448,000","42,599,000","39,391,000","36,075,000","36,324,000","36,412,000","38,320,000","40,224,000","43,847,000","40,402,000","34,901,000","36,060,000","40,492,000","39,537,000","37,848,000","31,459,000","33,124,000","33,863,000","30,598,000","25,514,000","25,772,000","28,227,000","26,757,000","22,647,000","21,306,000","22,317,000","21,222,000","16,289,000","15,945,000","16,451,000","16,952,000","13,419,000","12,434,000","10,857,000","11,703,000","13,339,000","16,625,000","19,176,000","20,139,000","17,562,000","21,407,000","19,046,000","18,185,000","17,052,000","15,437,000","15,854,000","13,177,708","9,287,618","9,116,603","9,298,452","7,283,114","6,720,248","6,133,738","5,676,887","3,973,255","3,035,493","3,097,350","2,848,476","2,762,661","2,666,926","2,358,058","2,550,530","2,563,394","1,439,083","1,649,193","1,835,231","2,197,955","2,855,040","3,546,918","3,468,537","2,384,096","903,414","636,497","500,000","300,000"
OperatingExpense,"189,882,000","50,103,000","49,167,000","45,240,000","45,372,000","42,491,000","41,749,000","43,191,000","39,591,000","38,431,000","39,242,000","39,626,000","38,241,000","37,676,000","37,881,000","34,326,000","33,049,000","33,657,000","34,370,000","32,131,000","30,870,000","30,568,000","29,166,000","28,953,000","30,110,000","31,271,000","31,816,000","28,220,000","29,317,000","28,925,000","29,811,000","27,216,000","27,033,000","24,331,000","23,499,000","23,419,000","21,588,000","20,331,000","18,177,000","20,681,000","19,082,000","16,991,000","16,348,000","16,599,000","15,614,000","12,732,000","12,173,000","12,905,000","13,712,000","11,471,000","10,897,000","11,151,000","11,647,000","12,097,000","15,198,000","14,774,000","13,337,000","12,515,000","13,991,000","11,477,000","11,278,000","11,482,000","10,278,000","11,014,000","9,150,888","6,230,556","5,684,192","5,743,342","4,527,286","4,188,395","3,880,517","3,764,158","2,627,816","1,852,671","2,285,838","2,155,993","2,289,277","2,542,757","2,780,121","3,008,118","2,868,733","1,926,494","2,586,540","34,041,765","7,553,412","7,671,440","8,167,409","7,924,518","6,182,951","1,482,263","2,076,510","700,000","300,000"
	SellingGeneralAndAdministration,"160,691,000","42,251,000","41,700,000","39,316,000","37,424,000","33,979,000","33,012,000","34,566,000","33,876,000","33,221,000","33,969,000","34,534,000","33,161,000","32,523,000","32,539,000","29,322,000","27,884,000","28,740,000","29,308,000","27,072,000","26,128,000","25,684,000","24,484,000","24,475,000","25,590,000","26,714,000","27,392,000","23,715,000","24,813,000","24,043,000","24,848,000","22,239,000","22,433,000","20,683,000","20,347,000","20,532,000","18,851,000","17,871,000","15,788,000","17,714,000","16,559,000","14,792,000","13,389,000","13,797,000","13,222,000","11,264,000","10,945,000","11,705,000","12,445,000","10,382,000","9,629,000","9,754,000","10,148,000","10,511,000","11,868,000","13,047,000","11,567,000","10,760,000","11,898,000","9,829,000","9,937,000","10,299,000","8,854,000","9,539,000","8,236,838","5,637,948","4,991,559","5,100,950","4,090,638","3,734,183","3,481,934","3,391,899","2,341,285","1,852,671","2,119,694","1,927,548","1,941,671","2,004,095","2,428,502","2,380,950","2,364,796","1,638,995","1,854,724","2,332,568","2,641,135","2,667,564","3,266,045","3,093,206","2,918,703","1,267,347","2,053,560","700,000","300,000"
		GeneralAndAdministrativeExpense,,,"41,700,000",,,,"33,012,000","34,566,000",,,"33,969,000","34,534,000","33,161,000","32,523,000","32,539,000","29,322,000","27,884,000","28,740,000","29,308,000","27,072,000","26,128,000","25,684,000","24,484,000","24,475,000","25,590,000","26,714,000","27,392,000","23,715,000","24,813,000","24,043,000","24,848,000","22,239,000","22,433,000","20,683,000","20,347,000","20,532,000","18,851,000","17,871,000",,"17,714,000","16,559,000",,,,,,,,"12,445,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,"3,403,000",,,,"2,984,000","2,895,000",,,"3,031,000",,,"2,743,000","2,663,000",,,,,,,,"2,248,000",,,,"2,142,000",,,"2,308,000","2,174,000","2,181,000",,,,,,,,"1,903,000","1,693,000",,,,,,,,"2,047,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,"38,297,000",,,,"30,028,000","31,671,000",,,"30,938,000","34,534,000","33,161,000","32,523,000","32,539,000","29,322,000","27,884,000","28,740,000","29,308,000","27,072,000","26,128,000","25,684,000","24,484,000","24,475,000","25,590,000","26,714,000","27,392,000","23,715,000","24,813,000","24,043,000","24,848,000","22,239,000","22,433,000","20,683,000","20,347,000","20,532,000","18,851,000","17,871,000",,"15,811,000","14,866,000",,,,,,,,"10,398,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"29,191,000","7,852,000","7,467,000","5,924,000","7,948,000","8,512,000","8,737,000","8,625,000","5,715,000","5,210,000","5,273,000","5,092,000","5,080,000","5,153,000","5,342,000","5,004,000","5,165,000","4,917,000","5,062,000","5,059,000","4,742,000","4,884,000","4,682,000","4,478,000","4,520,000","4,557,000","4,424,000","4,505,000","4,504,000","4,882,000","4,963,000","4,977,000","4,600,000","3,648,000","3,152,000","2,887,000","2,737,000","2,460,000","2,824,000","2,870,000","2,356,000","2,028,000","2,225,000","2,468,000","1,934,000","1,468,000","1,228,000","1,200,000","1,267,000","1,089,000","1,268,000","1,397,000","1,499,000","1,586,000","1,697,000","1,727,000","1,770,000","1,755,000","2,093,000","1,648,000","1,341,000","1,183,000","1,424,000","1,475,000","914,050","592,608","692,633","642,392","436,648","454,212","398,583","372,259","286,531","151,123","166,144","228,445","347,606","538,662","541,176","552,414","503,937","287,499","608,462","4,911,019","4,912,277","4,880,522","4,901,364","4,831,312","3,264,248","214,916",,,
