name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalAssets,"335,040,000","328,659,000","317,711,000","310,625,000","315,533,000","306,952,000","301,564,000","296,306,000","295,917,000","297,021,000","293,925,000","284,765,000","286,832,000","277,263,000","275,251,000","274,817,000","286,542,000","276,812,000","267,175,000","256,283,000","251,609,000","242,495,000","234,487,000","220,106,000","214,218,000","212,649,000","208,209,000","207,333,000","211,153,000","208,009,000","210,488,000","200,621,000","212,504,000","212,327,000","218,049,000","218,072,000","218,756,000","216,333,000","213,203,000","210,437,000","218,446,000","219,140,000","210,675,000","208,434,000","195,159,000","186,608,000","172,206,000","162,074,000","161,693,000","155,444,000","146,098,000","141,209,000","137,081,000","137,586,000","139,556,000","140,056,000","138,378,000","128,989,000","125,757,000","123,850,000","122,146,000","121,080,000","119,307,000","117,971,000","116,794,000","115,749,000","116,721,000","118,024,000","118,809,000","119,163,000","118,347,000","117,372,000","118,253,000","119,433,000","125,970,000","130,014,000","134,140,000","135,182,000","15,322,000"
	CurrentAssets,"197,304,000","188,980,000","180,185,000","161,248,000","178,673,000","167,559,000","177,598,000","182,476,000","181,199,000","178,552,000","174,799,000","180,486,000","183,790,000","177,288,000","149,493,000","149,938,000","164,326,000","159,076,000","155,829,000","135,208,000","132,048,000","144,712,000","140,076,000","137,118,000","115,863,000","106,027,000","98,097,000","86,055,000","107,646,000","115,640,000","129,306,000","134,676,000","145,661,000","145,610,000","139,969,000","140,988,000","147,057,000","145,652,000","152,030,000","145,833,000","147,654,000","149,096,000","148,198,000","148,654,000","135,593,000","127,582,000","113,493,000","104,064,000","113,641,000","113,034,000","103,893,000","99,359,000","95,576,000","96,025,000","96,989,000","97,250,000","96,019,000","87,266,000","80,009,000","78,120,000","76,471,000","75,722,000","73,685,000","72,258,000","71,913,000","70,461,000","71,165,000","71,936,000","72,023,000","71,948,000","70,939,000","69,296,000","70,558,000","71,301,000","73,585,000","76,718,000","79,609,000","82,197,000","11,585,000"
		CashCashEquivalentsAndShortTermInvestments,"162,375,000","154,861,000","145,233,000","127,100,000","145,981,000","130,130,000","141,731,000","156,110,000","149,293,000","144,585,000","142,304,000","151,035,000","156,809,000","145,868,000","119,556,000","125,695,000","136,863,000","138,835,000","138,356,000","120,000,000","113,675,000","126,516,000","119,881,000","122,517,000","106,219,000","97,942,000","83,113,000","69,462,000","88,934,000","101,443,000","111,659,000","123,350,000","135,676,000","134,528,000","125,577,000","126,166,000","133,753,000","134,994,000","141,649,000","136,648,000","137,653,000","139,412,000","137,232,000","137,491,000","128,061,000","115,779,000","102,022,000","93,521,000","101,674,000","100,598,000","91,779,000","87,743,000","85,079,000","84,629,000","87,857,000","86,475,000","78,298,000","80,608,000","65,957,000","64,906,000","64,428,000","64,234,000","63,768,000","63,593,000","60,114,000","61,620,000","60,412,000","59,646,000","60,338,000","59,638,000","57,765,000","56,832,000","58,615,000","59,130,000","63,515,000","65,294,000","68,519,000","73,810,000",
			CashAndCashEquivalents,"39,778,000","33,153,000","34,278,000","26,706,000","53,662,000","21,143,000","22,067,000","29,979,000","22,903,000","22,803,000","14,851,000","24,527,000","21,469,000","22,260,000","9,212,000","10,700,000","18,382,000","21,739,000","22,931,000","17,103,000","12,621,000","18,401,000","19,998,000","18,664,000","11,315,000","18,909,000","16,316,000","12,084,000","13,993,000","16,166,000","14,042,000","22,893,000","28,201,000","24,117,000","11,607,000","7,539,000","10,000,000","18,422,000","21,680,000","20,507,000","6,322,000","70,385,000","22,695,000","14,379,000","15,058,000","41,905,000","23,134,000","22,228,000","27,074,000","52,160,000","8,657,000","8,215,000","15,483,000","13,328,000","11,144,000","43,093,000","52,501,000","40,697,000","42,679,000","43,026,000","37,177,000","37,968,000","36,509,000","30,113,000","31,690,000","35,111,000","24,492,000","37,929,000","33,220,000","28,844,000","27,035,000","56,832,000","58,615,000","59,130,000","63,515,000","65,294,000","68,519,000","73,810,000",
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,385,000",,,,"41,905,000",,,,"52,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"122,597,000","121,708,000","110,955,000","100,394,000","92,319,000","108,987,000","119,664,000","126,131,000","126,390,000","121,782,000","127,453,000","126,508,000","135,340,000","123,608,000","110,344,000","114,995,000","118,481,000","117,096,000","115,425,000","102,897,000","101,054,000","108,115,000","99,883,000","103,853,000","94,904,000","79,033,000","66,797,000","57,378,000","74,941,000","85,277,000","97,617,000","100,457,000","107,475,000","110,411,000","113,970,000","118,627,000","123,753,000","116,572,000","119,969,000","116,141,000","131,331,000","69,027,000","114,537,000","123,112,000","113,003,000","73,874,000","78,888,000","71,293,000","74,600,000","48,438,000","83,122,000","79,528,000","69,596,000","71,301,000","76,713,000","43,382,000","25,797,000","39,911,000","23,278,000","21,880,000","27,251,000","26,266,000","27,259,000","33,480,000","28,424,000","26,509,000","35,920,000","21,717,000","27,118,000","30,794,000","30,730,000",,,,,,,,
		Receivables,"23,508,000","27,449,000","26,581,000","26,697,000","24,631,000","31,224,000","28,979,000","19,781,000","24,925,000","28,307,000","26,813,000","22,019,000","19,351,000","26,156,000","24,033,000","17,999,000","23,327,000","16,494,000","12,885,000","10,389,000","13,777,000","15,044,000","17,250,000","10,775,000","6,709,000","4,068,000","9,137,000","9,390,000","11,376,000","9,277,000","8,289,000","5,070,000","3,066,000","6,312,000","9,144,000","9,186,000","7,340,000","7,787,000","6,015,000","4,702,000","5,479,000","5,116,000","4,485,000","3,622,000","1,172,000","5,906,000","5,000,000","5,546,000","6,743,000","5,995,000","6,364,000","5,544,000","4,553,000","5,390,000","3,838,000","5,884,000","6,004,000","4,893,000","10,994,000","9,949,000","8,663,000","9,312,000","7,091,000","6,086,000","9,090,000","6,159,000","7,331,000","9,284,000","9,045,000","11,482,000","11,583,000","10,707,000","11,943,000","12,171,000","9,850,000","11,188,000","10,794,000","8,219,000","8,181,000"
			AccountsReceivable,"23,508,000","27,449,000","26,581,000","26,697,000","24,631,000","31,224,000","28,979,000","19,781,000","24,925,000","28,307,000","26,813,000","22,019,000","19,351,000","26,156,000","7,577,000","9,246,000","13,902,000","16,494,000","12,885,000","10,389,000","13,777,000","15,044,000","17,250,000","10,775,000","6,709,000","4,068,000","9,137,000","9,390,000","11,376,000","8,347,000","8,289,000","5,070,000","3,066,000","5,629,000","9,144,000","9,186,000","7,340,000","6,232,000","6,015,000","4,702,000","5,479,000","5,116,000","4,485,000","3,622,000","1,172,000","5,906,000","5,000,000","5,546,000","6,743,000","5,995,000","6,364,000","5,544,000","4,553,000","5,390,000","2,995,000","5,884,000","6,004,000","2,771,000","10,994,000","9,949,000","8,663,000","8,670,000","7,091,000","6,086,000","9,090,000","6,159,000","7,331,000","9,284,000","9,045,000","10,835,000","11,583,000","10,707,000","11,943,000","12,171,000","7,894,000","1,814,000","9,281,000","8,219,000","8,181,000"
				GrossAccountsReceivable,"23,796,000","27,737,000","26,933,000","27,049,000","24,931,000","31,524,000","30,754,000","21,556,000","26,124,000","28,634,000",,,,,,,,,,,,"15,069,000",,,,"4,068,000",,,,"8,372,000",,,,"5,629,000",,,,"6,241,000","6,040,000","4,727,000","5,504,000","5,141,000","4,510,000","3,647,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-288,000","-288,000","-352,000","-352,000","-300,000","-300,000","-1,775,000","-1,775,000","-1,199,000","-327,000",,,,,,,,,,,,"-25,000",,,,"0",,,,"-25,000",,,,"0",,,,"-9,000","-25,000","-25,000","-25,000","-25,000","-25,000","-25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
