name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalAssets,"2,756,682,000","2,699,939,000","2,636,387,000","2,462,708,000","2,433,413,000","1,793,903,000","1,640,712,000","1,647,567,000","1,501,627,000","1,516,600,000","1,481,038,000","1,485,016,000","1,541,317,000","1,541,524,000","1,551,458,000","1,632,757,000","1,444,515,000","1,494,180,000","1,616,048,000","1,967,104,000","1,929,383,000","2,168,912,000","2,352,530,000","2,474,028,000","2,421,628,000","2,453,677,000","2,585,657,000","2,610,724,000","2,727,963,000","2,949,500,000","2,668,218,000","2,743,696,000","2,792,315,000","2,454,483,000","2,072,333,000","1,896,848,000","1,816,347,000","1,646,684,000","1,389,002,000","1,324,491,000","1,193,430,000","1,218,472,000","1,209,717,000","1,093,768,000","995,748,510","798,776,268","651,925,730","611,205,109","490,844,218","453,198,593","415,887,348","295,565,519","297,615,744","281,329,171","299,148,805","302,597,185","193,333,890"
TotalLiabilitiesNetMinorityInterest,"1,426,306,000","1,374,878,000","1,323,564,000","1,160,294,000","1,154,590,000","828,986,000","725,833,000","788,504,000","749,403,000","585,518,000","550,408,000","554,966,000","617,861,000","669,162,000","693,423,000","794,662,000","617,281,000","674,585,000","748,391,000","956,354,000","909,757,000","1,138,640,000","1,210,242,000","1,289,652,000","1,195,654,000","1,190,564,000","1,232,563,000","1,210,099,000","1,320,189,000","1,543,869,000","1,189,743,000","1,392,375,000","1,427,018,000","1,084,515,000","703,461,000","699,580,000","765,386,000","599,805,000","485,432,000","512,420,000","380,108,000","502,807,000","481,090,000","318,119,000","284,000,413","223,856,455","82,753,625","42,243,272","6,447,213","42,941,242","5,331,277","22,863,813","25,263,038","12,780,740","4,812,966","4,027,903","17,123,641"
TotalEquityGrossMinorityInterest,"1,330,376,000","1,325,061,000","1,312,823,000","1,302,414,000","1,278,823,000","964,917,000","914,879,000","859,063,000","752,224,000","931,082,000","930,630,000","930,050,000","923,456,000","872,362,000","858,035,000","838,095,000","827,234,000","819,595,000","867,657,000","1,010,750,000","1,019,626,000","1,030,272,000","1,142,288,000","1,184,376,000","1,225,974,000","1,263,113,000","1,353,094,000","1,400,625,000","1,407,774,000","1,405,631,000","1,478,475,000","1,351,321,000","1,365,297,000","1,369,968,000","1,368,872,000","1,197,268,000","1,050,961,000","1,046,879,000","903,570,000","812,071,000","813,322,000","715,665,000","728,627,000","775,649,000","711,748,097","574,919,813","569,172,105","568,961,837","484,397,005","410,257,351","410,556,071","272,701,706","272,352,706","268,548,431","294,335,839","298,569,282","176,210,249"
	StockholdersEquity,"1,330,376,000","1,325,061,000","1,312,823,000","1,302,414,000","1,278,823,000","964,917,000","914,879,000","859,063,000","752,224,000","931,082,000","930,630,000","930,050,000","923,456,000","872,362,000","858,035,000","838,095,000","827,234,000","819,595,000","867,657,000","1,010,750,000","1,019,626,000","1,030,272,000","1,142,288,000","1,184,376,000","1,225,974,000","1,263,113,000","1,353,094,000","1,400,625,000","1,407,774,000","1,405,631,000","1,478,475,000","1,351,321,000","1,365,297,000","1,369,968,000","1,368,872,000","1,197,268,000","1,050,961,000","1,046,879,000","903,570,000","812,071,000","813,322,000","715,665,000","728,627,000","775,649,000","711,748,097","574,919,813","569,172,105","568,961,837","484,397,005","410,257,351","410,556,071","272,701,706","272,352,706","268,548,431","294,335,839","298,569,282","176,210,249"
		CapitalStock,"1,832,000","1,805,000","1,804,000","1,804,000","1,804,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,433,000","1,433,000","1,453,000","1,472,000","1,503,000","1,507,000","1,533,000","1,533,000","1,533,000","1,533,000","1,391,000","1,391,000","1,391,000","1,390,000","1,210,000","1,062,000","1,059,000","910,000","825,000","824,000","724,000","724,000","724,000","666,679","550,591","545,503","545,249","452,826","379,234","378,790","228,146","228,028","226,416","226,143","226,143","124,810"
			CommonStock,"1,832,000","1,805,000","1,804,000","1,804,000","1,804,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,409,000","1,433,000","1,433,000","1,453,000","1,472,000","1,503,000","1,507,000","1,533,000","1,533,000","1,533,000","1,533,000","1,391,000","1,391,000","1,391,000","1,390,000","1,210,000","1,062,000","1,059,000","910,000","825,000","824,000","724,000","724,000","724,000","666,679","550,591","545,503","545,249","452,826","379,234","378,790","228,146","228,028","226,416","226,143","226,143","124,810"
		AdditionalPaidInCapital,"1,825,257,000","1,805,139,000","1,804,354,000","1,730,083,000","1,730,083,000","1,487,774,000","1,487,774,000","1,487,774,000","1,487,774,000","1,487,774,000","1,487,774,000","1,492,739,000","1,492,739,000","1,492,739,000","1,492,739,000","1,579,278,000","1,579,278,000","1,579,278,000","1,579,278,000","1,579,278,000","1,579,278,000","1,591,467,000","1,591,467,000","1,603,947,000","1,613,928,000","1,628,989,000","1,631,523,000","1,649,086,000","1,649,086,000","1,649,086,000","1,649,086,000","1,511,055,000","1,510,547,000","1,510,548,000","1,509,546,000","1,329,448,000","1,174,678,000","1,171,963,000","1,019,053,000","930,188,000","929,841,000","829,620,000","829,620,000","829,752,000","765,404,953","625,519,180","619,759,984","619,472,834","518,621,766","440,463,407","439,989,597","301,901,327","301,789,575","300,823,954","300,524,155","300,606,946","169,294,832"
		RetainedEarnings,"-496,713,000","-481,883,000","-493,335,000","-429,473,000","-453,064,000","-524,266,000","-574,304,000","-630,120,000","-736,959,000","-558,101,000","-558,553,000","-564,098,000","-570,692,000","-621,786,000","-636,113,000","-19,321,000","-20,360,000","-23,642,000","-19,343,000","-13,185,000","-29,756,000","-28,526,000","-26,546,000","-26,086,000","-28,813,000","-27,128,000","-26,615,000","-16,822,000","-21,712,000","-27,919,000","-20,906,000","-18,907,000","-18,800,000","-18,263,000","-20,868,000","-14,756,000","-10,532,000","-9,365,000","-8,329,000","-6,122,000","-4,344,000","-4,414,000","-2,256,000","900,000","5,708,972","7,997,412","11,406,292","5,422,222","7,880,352","10,241,276","12,119,544","12,418,019","10,231,150","2,743,842","10,348,885","10,103,262","6,790,607"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,"12,500,000","0","0","0","0","2,538,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-108,064,000","-112,820,000","-112,999,000","-110,265,000","-99,461,000","-55,727,000","-60,032,507","-59,147,370","-62,539,674","-39,365,671","-25,445,142","-26,621,853","-41,931,860","-41,845,786","-39,896,047","-35,245,781","-16,763,344","-12,367,069",
