name,ttm,03/31/2022
MarketCap,"414,150,590","595,598,680"
EnterpriseValue,"920,526,590","553,098,680"
PeRatio,,"314.878"
ForwardPeRatio,"7.441","10.764"
PsRatio,"0.413","0.588"
PbRatio,"0.51","0.41"
EnterprisesValueRevenueRatio,"0.918","2.348"
EnterprisesValueEBITDARatio,"-227.347","2,973.649"
