name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"5,171,702,000","1,350,293,000","1,293,516,000","1,310,368,000","1,217,525,000","888,680,000","715,505,000","689,981,000","515,301,000","1,204,083,000","1,399,134,000","1,401,638,000","1,409,409,000","1,191,335,000","879,112,000","909,781,000","856,396,000","765,439,000","663,062,000","610,506,000","564,245,000","605,253,000","563,136,000","510,305,000","413,793,000","377,812,000","443,464,000","495,503,000","583,759,000","543,611,000","708,356,000","854,286,000","802,137,000","743,246,000","751,066,000","35,385,000","34,677,000","64,886,000","2,144,000","7,703,000","9,910,000","12,737,000","16,546,000","16,882,000","23,056,000","36,410,000","12,652,000","36,022,000","43,956,000","76,922,000","23,922,000","22,942,000","58,656,000","84,695,000","60,785,000","69,534,000","55,991,000","34,203,000","45,853,000","45,632,000","41,298,000","43,546,000","49,128,000","48,618,000","44,036,000","34,670,000","28,800,000","26,910,000","20,622,000","19,338,000","12,500,000","10,342,000","8,074,000","7,756,000","6,286,000","7,717,000","5,704,000","5,648,000","2,920,000","1,058,000","1,789,000","2,443,000","3,368,246","3,701,866","3,407,057","2,412,447","1,692,625","1,239,522","600,000","100,000","1,100,000","200,000","200,000","200,000","300,000","500,000","700,000","300,000","400,000","500,000","500,000","400,000","600,000","400,000","300,000","200,000","200,000","200,000","600,000","400,000","300,000","900,000","300,000","300,000","400,000","700,000","100,000","100,000","100,000"
	OperatingRevenue,"5,171,702,000","1,350,293,000","1,293,516,000","1,310,368,000","1,217,525,000","888,680,000","715,505,000","689,981,000","515,301,000","1,204,083,000","1,399,134,000","1,401,638,000","1,409,409,000","1,191,335,000","879,112,000","909,781,000","856,396,000","765,439,000","663,062,000","610,506,000","564,245,000","605,253,000","563,136,000","510,305,000","413,793,000","377,812,000","443,464,000","495,503,000","583,759,000","543,611,000","708,356,000","854,286,000","802,137,000","743,246,000","751,066,000","35,385,000","34,677,000","64,886,000","2,144,000","7,703,000","9,910,000","12,737,000","16,546,000","16,882,000","23,056,000","35,871,000","12,653,000","36,131,000","44,385,000","117,401,000","21,534,000","22,942,000","27,371,000","84,695,000","60,785,000","69,534,000","55,991,000","34,203,000","45,853,000","45,632,000","41,298,000","43,546,000","49,128,000","48,618,000","44,036,000","34,670,000","28,800,000","26,910,000","20,622,000","19,338,000","12,500,000","10,342,000","8,074,000","7,756,000","6,286,000","7,717,000","5,704,000","5,648,000","2,920,000","1,058,000","1,789,000","2,443,000","3,368,246","3,701,866","3,407,057","2,412,447","1,692,625","1,239,522","600,000","100,000","1,100,000","200,000","200,000","200,000","300,000","500,000","700,000","300,000","400,000","500,000","500,000","400,000","600,000","400,000","300,000","200,000","200,000","200,000","600,000","400,000","300,000","900,000","300,000","300,000","400,000","700,000","100,000","100,000","100,000"
CostOfRevenue,"4,895,001,000","1,374,029,000","1,178,086,000","1,122,040,000","1,220,846,000","911,743,000","734,723,000","608,110,000","463,406,000","1,231,494,000","1,246,278,000","1,287,982,000","1,273,761,000","1,081,689,000","784,146,000","835,977,000","760,699,000","674,936,000","581,650,000","520,780,000","485,637,000","512,549,000","481,770,000","468,939,000","369,762,000","347,483,000","406,744,000","409,749,000","510,036,000","480,757,000","619,312,000","834,356,000","782,591,000","716,145,000","738,323,000","31,874,000","30,152,000","54,557,000","4,000","3,296,000","2,791,000","14,132,000","424,447,000","4,509,000","8,700,000","9,482,000","2,801,000","44,721,000","13,851,000","21,039,000","59,469,000","110,151,000","11,534,000","426,589,000","30,089,000","18,395,000","17,088,000","28,758,000","21,524,000","85,347,000","19,956,000","19,496,000","18,940,000","15,055,000","14,792,000","10,006,000","10,263,000","8,217,000","6,726,000","7,002,000","7,650,000","2,506,000","2,656,000","2,456,000","2,964,000","2,556,000","2,607,000","2,233,000","1,723,000","896,000","1,130,000","918,000","959,282","1,637,525","1,328,314","955,879","584,286","967,154","500,000","200,000","300,000","100,000","100,000","200,000","700,000","300,000","400,000","100,000","500,000","600,000","200,000","500,000","500,000","200,000","100,000","100,000","200,000","400,000","200,000","100,000","100,000","400,000","100,000","100,000","100,000",,,,
GrossProfit,"276,701,000","-23,736,000","115,430,000","188,328,000","-3,321,000","-23,063,000","-19,218,000","81,871,000","51,895,000","-27,411,000","152,856,000","113,656,000","135,648,000","109,646,000","94,966,000","73,804,000","95,697,000","90,503,000","81,412,000","89,726,000","78,608,000","92,704,000","81,366,000","41,366,000","44,031,000","30,329,000","36,720,000","85,754,000","73,723,000","62,854,000","89,044,000","19,930,000","19,546,000","27,101,000","12,743,000","3,511,000","4,525,000","10,329,000","2,140,000","4,407,000","7,119,000","-1,395,000","-407,901,000","12,373,000","14,356,000","26,928,000","9,851,000","-8,699,000","30,105,000","55,883,000","-35,547,000","-87,209,000","47,122,000","-341,894,000","30,696,000","51,139,000","38,903,000","5,445,000","24,329,000","-39,715,000","21,342,000","24,050,000","30,188,000","33,563,000","29,244,000","24,664,000","18,537,000","18,693,000","13,896,000","12,336,000","4,850,000","7,836,000","5,418,000","5,300,000","3,322,000","5,161,000","3,097,000","3,415,000","1,197,000","162,000","659,000","1,525,000","2,408,964","2,064,341","2,078,743","1,456,568","1,108,339","272,368","100,000","-100,000","800,000","100,000","100,000","0","-400,000","200,000","300,000","200,000","-100,000","-100,000","300,000","-100,000","100,000","200,000","200,000","100,000","0","-200,000","400,000","300,000","200,000","500,000","200,000","200,000","300,000","500,000","100,000","100,000",
OperatingExpense,"358,989,000","97,297,000","90,138,000","90,532,000","81,022,000","86,073,000","77,016,000","79,276,000","77,248,000","85,175,000","92,946,000","94,628,000","86,209,000","85,339,000","67,754,000","66,776,000","65,965,000","62,215,000","59,668,000","63,010,000","62,157,000","63,262,000","51,310,000","61,103,000","46,499,000","49,377,000","46,602,000","49,561,000","45,793,000","43,936,000","48,235,000","52,048,000","41,507,000","39,052,000","30,785,000","11,378,000","5,417,000","8,138,000","6,605,000","11,774,000","13,013,000","5,876,000","20,396,000","20,795,000","21,065,000","50,305,000","23,643,000","41,159,000","48,542,000","63,075,000","49,668,000","59,226,000","56,150,000","83,952,000","46,266,000","-9,818,000","41,344,000","39,215,000","33,982,000","-113,777,000","34,408,000","157,602,000","35,851,000","32,372,000","28,311,000","2,354,000","16,757,000","11,859,000","7,785,000","8,353,000","4,229,000","7,023,000","4,210,000","3,447,000","4,652,000","2,704,000","2,247,000","2,781,000","2,361,000","1,484,000","2,001,000","1,420,000","1,919,123","1,259,185","1,143,100","987,550","1,663,411","795,557","600,000","400,000","2,400,000","700,000","300,000","500,000","200,000","700,000","500,000","500,000","700,000","600,000","400,000","700,000","1,200,000","700,000","800,000","700,000","800,000","400,000","600,000","2,000,000","200,000","1,200,000","100,000","100,000","100,000","5,000,000","100,000",,
	SellingGeneralAndAdministration,"52,104,000","15,893,000","11,537,000","12,473,000","12,201,000","11,885,000","9,465,000","9,818,000","10,221,000","11,784,000","11,788,000","11,391,000","11,379,000","11,665,000","11,445,000","11,871,000","12,905,000","11,205,000","11,390,000","11,292,000","10,482,000","12,914,000","10,432,000","9,873,000","10,631,000","11,314,000","13,062,000","11,514,000","13,322,000","11,656,000","17,232,000","9,319,000","7,433,000","5,958,000","3,524,000","11,363,000","5,397,000","8,134,000","4,520,000","3,725,000","4,020,000","8,959,000","6,065,000","6,471,000","6,629,000","49,332,000","7,198,000","11,640,000","11,387,000","25,162,000","9,951,000","15,047,000","12,630,000","11,469,000","14,890,000","13,827,000","13,421,000","12,332,000","12,816,000","12,928,000","11,545,000","8,847,000","9,792,000","8,785,000","8,411,000","7,372,000","5,366,000","4,613,000","4,014,000","3,372,000","333,000","3,938,000","1,836,000","1,443,000","1,604,000","1,276,000","1,055,000","1,096,000","1,263,000","897,000","1,132,000","627,000","941,645","659,512","652,440","522,361","704,012","607,652","400,000","400,000","2,300,000","600,000","300,000","400,000","100,000","700,000","400,000","400,000","600,000","500,000","300,000","600,000","500,000","600,000","700,000","600,000","600,000","300,000","500,000","1,900,000","200,000","600,000","100,000","100,000","100,000","4,800,000","100,000",,
		GeneralAndAdministrativeExpense,"52,104,000","15,893,000","11,537,000","12,473,000","12,201,000","11,885,000","9,465,000","9,818,000","10,221,000","11,784,000","11,788,000","11,391,000","11,379,000","11,665,000","11,445,000","11,871,000","12,905,000","11,205,000","11,390,000","11,292,000","10,482,000","12,914,000","10,432,000","9,873,000","10,631,000","11,314,000","13,062,000","11,514,000","13,322,000","11,656,000","17,232,000","9,319,000","7,433,000","5,958,000","3,524,000","11,363,000","5,397,000","8,134,000","4,520,000","3,725,000","4,020,000",,"6,065,000","6,471,000","6,629,000","49,332,000","7,198,000","11,640,000","11,387,000","25,162,000","9,951,000","15,047,000","12,630,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,"13,000","10,000","10,000","114,000","669,000","1,575,000","1,508,000","1,531,000","1,710,000","1,204,000","1,700,000","1,024,000","1,452,000","1,000,000","1,941,000","1,234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"52,104,000","15,893,000","11,537,000","12,473,000","12,201,000","11,885,000","9,465,000","9,818,000","10,221,000","11,784,000","11,788,000","11,391,000","11,379,000","11,665,000","11,445,000","11,871,000","12,905,000","11,205,000","11,390,000","11,292,000","10,482,000","12,914,000","10,419,000","9,863,000","10,621,000","11,200,000","12,393,000","9,939,000","11,814,000","10,125,000","15,522,000","8,115,000","5,733,000","4,934,000","2,072,000","10,363,000","3,456,000","6,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,"20,957,000","13,638,000",,,"13,037,000","12,141,000","11,304,000","11,284,000","11,260,000","11,778,000","9,643,000","5,100,000","5,095,000","7,066,000","4,596,000","5,005,000","3,251,000","4,628,000",,"3,290,000","3,100,000","3,000,000","1,218,000","1,037,000","767,000","401,000","4,899,000","5,327,000","5,908,000","10,701,000","10,528,000","13,461,000","17,090,000","11,522,000","21,146,000","28,758,000","31,441,000","31,260,000","36,107,000","32,614,000","38,067,000","28,180,000","24,016,000","24,911,000","15,690,000","25,350,000","22,969,000","22,520,000","23,746,000","23,611,000","18,649,000","15,653,000","10,410,000","9,155,000","5,393,000","3,678,000","4,981,000","3,037,000","3,085,000","2,306,000","1,692,000","1,485,000","1,428,000","1,192,000","1,685,000","1,098,000","587,000","869,000","793,000","977,478","599,673","490,660","465,189","959,399","187,905","200,000",,"100,000","100,000",,"100,000","100,000",,"100,000","100,000","100,000","100,000","100,000","100,000","700,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000",,"600,000",,,,,,,
