name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,04/30/2014
		AdditionalPaidInCapital,"892,067,000","972,020,000","1,089,180,000","1,194,180,000","1,462,038,000","1,474,843,000","1,406,756,000","1,373,580,000","1,347,445,000","1,302,072,000","1,269,904,000","1,230,441,000","1,202,315,000","1,166,443,000","1,141,100,000","1,110,296,000","1,083,538,000","1,054,932,000","1,033,917,000","1,006,516,000","985,313,000","960,144,000","937,317,000","911,018,000","893,623,000","871,491,000","855,094,000","828,749,000","808,891,000","798,743,000","603,774,000","37,243,000"
		RetainedEarnings,"-1,367,278,000","-1,362,579,000","-1,358,254,000","-1,344,393,000","-1,335,693,000","-1,321,679,000","-1,316,736,000","-1,311,452,000","-1,303,796,000","-1,278,246,000","-1,247,856,000","-1,206,960,000","-1,170,726,000","-1,133,898,000","-1,114,204,000","-1,074,008,000","-1,035,923,000","-1,039,088,000","-1,006,423,000","-963,499,000","-924,214,000","-884,128,000","-847,251,000","-809,018,000","-770,916,000","-732,341,000","-681,968,000","-626,851,000","-576,676,000","-529,393,000","-482,660,000","-399,677,000"
		TreasuryStock,,,"1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000","1,177,000"
		GainsLossesNotAffectingRetainedEarnings,"-8,769,000","-4,543,000","-2,914,000","-1,612,000","-371,000","-938,000","-1,297,000","-1,375,000","-1,639,000","-307,000","-111,000","-53,000","111,000","23,000","-87,000","2,000","164,000","288,000","-30,000","58,000","-91,000","-120,000","-28,000","-16,000","32,000","-84,000","-74,000","-91,000","-61,000","-56,000","-6,000","17,000"
TotalCapitalization,"372,320,000","460,256,000","587,009,000","213,543,000","490,874,000","448,679,000","137,562,000","129,592,000","110,848,000","62,357,000","60,775,000","62,266,000","70,538,000","71,405,000","65,646,000","75,127,000","86,615,000","54,968,000","66,300,000","81,911,000","99,844,000","114,732,000","128,874,000","140,819,000","161,575,000","177,901,000","211,887,000","240,642,000","270,989,000","308,129,000","159,941,000","-329,593,000"
PreferredStockEquity,"488,351,000","487,880,000","493,166,000","488,894,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"-483,965,000","-395,087,000","-273,150,000","-152,987,000","124,813,000","151,065,000","87,562,000","59,592,000","40,848,000","22,357,000","20,775,000","22,266,000","30,538,000","31,405,000","25,646,000","35,127,000","46,615,000","14,968,000","26,300,000","41,911,000","59,844,000","74,732,000","88,874,000","100,819,000","121,575,000","137,901,000","171,887,000","200,642,000","230,989,000","268,129,000","119,941,000","-363,593,000"
CapitalLeaseObligations,"253,570,000","274,871,000","283,725,000","304,173,000","323,216,000","350,541,000","373,540,000","384,272,000","400,376,000","384,541,000","385,647,000","358,543,000","354,982,000","72,914,000","58,250,000","53,118,000","50,362,000","45,824,000","44,738,000","43,303,000","40,307,000","35,445,000","25,476,000","18,824,000","16,014,000","12,014,000","7,590,000","5,188,000","3,311,000","1,863,000",,
NetTangibleAssets,"-84,885,000","-18,791,000","124,606,000","-246,030,000","5,138,000","107,505,000","42,845,000","13,640,000","-4,516,000","-21,498,000","-11,169,000","3,526,000","11,798,000","12,665,000","6,906,000","16,387,000","30,312,000","-1,349,000","9,944,000","25,517,000","43,411,000","57,896,000","71,606,000","84,998,000","104,838,000","119,705,000","152,221,000","179,505,000","213,786,000","250,544,000","102,445,000","-377,545,000"
WorkingCapital,"102,709,000","197,589,000","339,831,000","450,930,000","236,892,000","266,447,000","-47,222,000","-61,054,000","-83,973,000","-119,708,000","-112,415,000","-93,782,000","-77,157,000","-34,646,000","-38,361,000","-17,518,000","56,000","5,222,000","-947,000","5,998,000","18,516,000","24,160,000","37,006,000","55,158,000","66,631,000","69,528,000","98,724,000","153,882,000","204,930,000","240,176,000","85,367,000","3,485,000"
InvestedCapital,"-116,031,000","-27,624,000","93,843,000","213,543,000","490,874,000","448,679,000","137,562,000","129,592,000","110,848,000","62,357,000","60,775,000","62,266,000","70,538,000","71,405,000","65,646,000","75,127,000","86,615,000","54,968,000","66,300,000","81,911,000","99,844,000","114,732,000","128,874,000","140,819,000","161,575,000","177,901,000","211,887,000","240,642,000","270,989,000","308,129,000","159,941,000","-329,593,000"
TangibleBookValue,"-573,236,000","-506,671,000","-368,560,000","-246,030,000","5,138,000","107,505,000","42,845,000","13,640,000","-4,516,000","-21,498,000","-11,169,000","3,526,000","11,798,000","12,665,000","6,906,000","16,387,000","30,312,000","-1,349,000","9,944,000","25,517,000","43,411,000","57,896,000","71,606,000","84,998,000","104,838,000","119,705,000","152,221,000","179,505,000","213,786,000","250,544,000","102,445,000","-377,545,000"
TotalDebt,"621,504,000","642,334,000","650,718,000","670,703,000","689,277,000","648,155,000","423,540,000","454,272,000","470,376,000","424,541,000","425,647,000","398,543,000","394,982,000","112,914,000","98,250,000","93,118,000","90,362,000","85,824,000","84,738,000","83,303,000","80,307,000","75,445,000","65,476,000","58,824,000","56,014,000","52,014,000","47,590,000","45,188,000","43,311,000","41,863,000","40,000,000","34,000,000"
ShareIssued,"145,598,000","145,081,000","149,010,000","152,660,000","162,762,000","159,851,000","158,643,000","156,399,000","153,446,000","150,611,000","149,478,000","147,722,000","146,497,000","144,310,746","143,387,495","144,658,554","139,975,000","137,317,000","136,090,000","133,683,000","132,773,000","130,611,000","129,564,000","130,716,953","129,721,953","127,173,953","123,398,000","121,345,000","119,655,000","122,707,953","119,473,689","119,473,689"
OrdinarySharesNumber,"145,598,000","145,081,000","149,010,000","152,660,000","162,762,000","159,851,000","158,643,000","156,399,000","153,446,000","150,611,000","149,478,000","147,722,000","146,497,000","144,310,746","143,387,495","141,605,601","139,975,000","137,317,000","136,090,000","133,683,000","132,773,000","130,611,000","129,564,000","127,664,000","126,669,000","124,121,000","123,398,000","121,345,000","119,655,000","119,655,000","119,473,689","119,473,689"
TreasurySharesNumber,,,,,,,,,,,,,,,,"3,052,953",,,,,,,,"3,052,953","3,052,953","3,052,953",,,,"3,052,953",,
