name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,09/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990,02/28/1990,11/30/1989,08/31/1989,05/31/1989,02/28/1989,11/30/1988,08/31/1988,05/31/1988,02/29/1988,11/30/1987,08/31/1987
TotalRevenue,"514,491,000","128,244,000","130,517,000","128,305,000","127,425,000","116,709,000","115,000,000","109,325,000","109,074,000","99,869,000","107,803,000","101,424,000","109,762,000","97,700,000","107,098,000","99,626,000","109,287,000","95,892,000","101,817,000","95,256,000","98,847,000","88,385,000","90,717,000","83,645,000","90,079,000","76,725,000","79,610,000","74,860,000","78,611,000","68,409,000","68,455,000","67,599,000","67,262,000","61,996,000","59,599,000","58,548,000","56,006,000","51,055,000","50,737,000","49,729,000","48,545,000","44,912,000","44,891,000","45,697,000","43,595,000","42,235,000","43,931,000","42,923,000","39,078,000","33,833,000","35,251,000","32,347,000","30,890,000","27,840,000","31,187,000","28,805,000","27,119,000","25,180,000","27,210,000","22,909,000","22,675,000","21,054,000","22,189,000","20,220,000","19,816,000","17,583,000","18,256,000","16,778,000","16,008,000","14,403,000","17,133,000","15,212,000","15,302,000","14,717,000","13,246,000","12,233,000","12,216,000","11,102,000","12,273,000","10,897,000","11,012,000","9,655,000","10,699,000","9,732,000","9,161,000","8,601,000","9,009,000","8,124,000","6,470,000","6,276,000","5,400,000","5,300,000","5,300,000","5,300,000","5,900,000","5,700,000","5,700,000","4,900,000","4,500,000","4,600,000","4,400,000","3,900,000","3,600,000","3,800,000","4,000,000","3,000,000","3,300,000","3,200,000","2,900,000","3,100,000","3,000,000","2,900,000","2,600,000","2,700,000","2,700,000","3,000,000","2,200,000","2,200,000","2,100,000","1,900,000","1,500,000","1,800,000","1,800,000","1,700,000","1,300,000","1,900,000","1,500,000","1,500,000","1,100,000","1,600,000","1,400,000","1,600,000","1,200,000","1,600,000","1,500,000","1,600,000","1,500,000","1,200,000","1,200,000","1,200,000","1,200,000"
	OperatingRevenue,"514,491,000","128,244,000","130,517,000","128,305,000","127,425,000","116,709,000","115,000,000","109,325,000","109,074,000","99,869,000","107,803,000","101,424,000","109,762,000","97,700,000","107,098,000","99,626,000","109,287,000","95,892,000","101,817,000","95,256,000","98,847,000","88,385,000","90,717,000","83,645,000","90,079,000","76,725,000","79,610,000","74,860,000","78,611,000","68,409,000","68,455,000","67,599,000","67,262,000","61,996,000","59,599,000","58,548,000","56,006,000","51,055,000","50,737,000","49,729,000","48,545,000","44,912,000","44,891,000","45,697,000","43,595,000","42,235,000","43,931,000","42,923,000","39,078,000","33,833,000","35,251,000","32,347,000","30,890,000","27,840,000","31,187,000","28,805,000","27,119,000","25,180,000","27,210,000","22,909,000","22,675,000","21,054,000","22,189,000","20,220,000","19,816,000","17,583,000","18,256,000","16,778,000","16,008,000","14,403,000","17,133,000","15,212,000","15,302,000","14,717,000","13,246,000","12,233,000","12,216,000","11,102,000","12,273,000","10,897,000","11,012,000","9,655,000","10,699,000","9,732,000","9,161,000","8,601,000","9,009,000","8,124,000","6,470,000","6,276,000","5,400,000","5,300,000","5,300,000","5,300,000","5,900,000","5,700,000","5,700,000","4,900,000","4,500,000","4,600,000","4,400,000","3,900,000","3,600,000","3,800,000","4,000,000","3,000,000","3,300,000","3,200,000","2,900,000","3,100,000","3,000,000","2,900,000","2,600,000","2,700,000","2,700,000","3,000,000","2,200,000","2,200,000","2,100,000","1,900,000","1,500,000","1,800,000","1,800,000","1,700,000","1,300,000","1,900,000","1,500,000","1,500,000","1,100,000","1,600,000","1,400,000","1,600,000","1,200,000","1,600,000","1,500,000","1,600,000","1,500,000","1,200,000","1,200,000","1,200,000","1,200,000"
CostOfRevenue,"278,786,000","70,832,000","69,923,000","68,297,000","69,734,000","62,860,000","61,786,000","59,023,000","57,345,000","54,539,000","56,777,000","53,230,000","59,232,000","53,072,000","57,065,000","52,897,000","59,698,000","50,371,000","52,546,000","49,385,000","51,829,000","47,505,000","47,126,000","43,166,000","48,226,000","41,529,000","41,386,000","37,068,000","40,913,000","34,706,000","34,247,000","33,523,000","35,224,000","31,291,000","30,108,000","28,184,000","27,625,000","23,742,000","23,431,000","23,235,000","24,646,000","22,020,000","22,234,000","22,720,000","21,646,000","21,647,000","21,443,000","20,156,000","19,356,000","16,372,000","16,729,000","15,077,000","15,413,000","14,813,000","15,062,000","14,001,000","13,017,000","12,517,000","13,039,000","10,612,000","11,091,000","10,104,000","10,481,000","9,900,000","9,663,000","9,062,000","8,766,000","7,937,000","7,962,000","7,445,000","9,039,000","7,707,000","7,982,000","7,791,000","6,243,000","5,973,000","5,757,000","5,361,000","5,565,000","5,080,000","5,293,000","5,038,000","5,026,000","4,840,000","4,315,000","4,249,000","4,465,000","4,128,000","3,146,000","2,453,000","2,300,000","2,100,000","2,200,000","2,000,000","2,400,000",,"2,000,000","1,900,000","1,800,000","1,700,000","1,700,000","1,500,000","1,400,000","1,300,000","1,400,000","1,200,000","1,500,000","1,200,000","1,100,000",,,,,,,"1,100,000","900,000",,,,"700,000",,,,,,,,,,,,,,,,,,,,
GrossProfit,"235,705,000","57,412,000","60,594,000","60,008,000","57,691,000","53,849,000","53,214,000","50,302,000","51,729,000","45,330,000","51,026,000","48,194,000","50,530,000","44,628,000","50,033,000","46,729,000","49,589,000","45,521,000","49,271,000","45,871,000","47,018,000","40,880,000","43,591,000","40,479,000","41,853,000","35,196,000","38,224,000","37,792,000","37,698,000","33,703,000","34,208,000","34,076,000","32,038,000","30,705,000","29,491,000","30,364,000","28,381,000","27,313,000","27,306,000","26,494,000","23,899,000","22,892,000","22,657,000","22,977,000","21,949,000","20,588,000","22,488,000","22,767,000","19,722,000","17,461,000","18,522,000","17,270,000","15,477,000","13,027,000","16,125,000","14,804,000","14,102,000","12,663,000","14,171,000","12,297,000","11,584,000","10,950,000","11,708,000","10,320,000","10,153,000","8,521,000","9,490,000","8,841,000","8,046,000","6,958,000","8,094,000","7,505,000","7,320,000","6,926,000","7,003,000","6,260,000","6,459,000","5,741,000","6,708,000","5,817,000","5,719,000","4,617,000","5,673,000","4,892,000","4,846,000","4,352,000","4,544,000","3,996,000","3,324,000","3,823,000","3,100,000","3,200,000","3,100,000","3,300,000","3,500,000",,"3,700,000","3,000,000","2,700,000","2,900,000","2,700,000","2,400,000","2,200,000","2,500,000","2,600,000","1,800,000","1,800,000","2,000,000","1,800,000",,,,,,,"1,900,000","1,300,000",,,,"800,000",,,,,,,,,,,,,,,,,,,,
OperatingExpense,"174,859,000","51,035,000","48,125,000","38,263,000","37,436,000","38,075,000","33,969,000","31,407,000","31,785,000","32,287,000","32,754,000","31,930,000","31,800,000","29,989,000","31,787,000","30,250,000","29,730,000","29,608,000","31,273,000","29,447,000","28,018,000","26,529,000","26,739,000","25,737,000","26,228,000","23,942,000","23,612,000","22,897,000","23,076,000","21,543,000","21,311,000","20,637,000","21,047,000","20,412,000","19,802,000","17,946,000","18,145,000","17,647,000","16,829,000","16,166,000","15,202,000","15,343,000","14,514,000","13,627,000","13,404,000","12,523,000","12,859,000","13,171,000","12,764,000","11,712,000","11,294,000","10,326,000","10,074,000","9,456,000","10,264,000","9,151,000","9,409,000","8,682,000","9,373,000","7,750,000","8,376,000","7,928,000","8,012,000","6,742,000","7,018,000","6,064,000","6,143,000","5,736,000","5,865,000","5,181,000","5,713,000","5,075,000","5,697,000","5,161,000","4,723,000","4,386,000","4,664,000","4,326,000","4,672,000","4,278,000","4,255,000","3,509,000","3,979,000","3,657,000","3,480,000","3,415,000","3,384,000","3,194,000","2,621,000","3,099,000","2,900,000","2,600,000","2,700,000","2,600,000","2,700,000",,"3,000,000","2,700,000","2,300,000","2,500,000","2,300,000","2,100,000","1,900,000","2,100,000","2,100,000","1,800,000","1,700,000","1,900,000","1,800,000",,,,,,,"1,500,000","1,200,000",,,,"1,100,000",,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"157,564,000","46,474,000","43,793,000","33,938,000","33,359,000","33,839,000","29,913,000","27,529,000","28,327,000","28,464,000","28,973,000","28,242,000","28,230,000","26,740,000","28,620,000","27,431,000","27,776,000","26,772,000","28,306,000","26,349,000","25,720,000","23,888,000","23,971,000","23,059,000","23,980,000","21,491,000","20,994,000","20,324,000","20,744,000","19,177,000","18,837,000","18,233,000","19,217,000","18,306,000","17,499,000","15,860,000","16,265,000","15,665,000","14,836,000","14,240,000","13,542,000","13,589,000","12,804,000","12,115,000","11,819,000","10,721,000","11,218,000","11,374,000","11,193,000","10,186,000","9,596,000","8,862,000","8,955,000","8,191,000","9,045,000","8,199,000","8,587,000","7,664,000","8,318,000","7,008,000","7,731,000","6,991,000","6,998,000","6,044,000","6,369,000","5,298,000","5,341,000","4,965,000","5,269,000","4,477,000","5,002,000","4,357,000","4,924,000","4,369,000","4,071,000","3,710,000","3,868,000","3,705,000","3,830,000","3,623,000","3,494,000","3,071,000","3,438,000","3,145,000","3,018,000","2,914,000","2,928,000","2,775,000","1,928,000","2,404,000","2,300,000","2,100,000","2,100,000","1,900,000","2,100,000",,"2,400,000","2,100,000","1,800,000","2,000,000","1,800,000","1,600,000","1,500,000","1,600,000","1,700,000","1,400,000","1,300,000","1,400,000","1,400,000",,,,,,,"1,400,000","1,100,000",,,,"1,000,000",,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"73,839,000","24,997,000","22,605,000","13,383,000","12,854,000","15,146,000","12,184,000","11,013,000","11,858,000","10,789,000","10,985,000","10,699,000","10,454,000","10,018,000","10,121,000","10,198,000","9,198,000","9,280,000","10,491,000","9,325,000","9,120,000","8,548,000","8,284,000","8,262,000","8,108,000","7,538,000","6,791,000","6,753,000","6,604,000","6,522,000","6,094,000","6,013,000","6,314,000","6,320,000","6,280,000","5,536,000","5,706,000","5,132,000","4,895,000","4,482,000","4,178,000","4,660,000","4,173,000","4,012,000","3,859,000","3,677,000","3,714,000","3,862,000","4,015,000","3,391,000","3,191,000","2,890,000","3,102,000","2,769,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"73,839,000","24,997,000","22,605,000","13,383,000","12,854,000","15,146,000","12,184,000","11,013,000","11,858,000","10,789,000","10,985,000","10,699,000","10,454,000","10,018,000","10,121,000","10,198,000","9,198,000","9,280,000","10,491,000","9,325,000","9,120,000","8,548,000","8,284,000","8,262,000","8,108,000","7,538,000","6,791,000","6,753,000","6,604,000","6,522,000","6,094,000","6,013,000","6,314,000","6,320,000","6,280,000","5,536,000","5,706,000","5,132,000","4,895,000","4,482,000","4,178,000","4,660,000","4,173,000","4,012,000","3,859,000","3,677,000","3,714,000","3,862,000","4,015,000","3,391,000","3,191,000","2,890,000","3,102,000","2,769,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"83,725,000","21,477,000","21,188,000","20,555,000","20,505,000","18,693,000","17,729,000","16,516,000","16,469,000","17,675,000","17,988,000","17,543,000","17,776,000","16,722,000","18,499,000","17,233,000","18,578,000","17,492,000","17,815,000","17,024,000","16,600,000","15,340,000","15,687,000","14,797,000","15,872,000","13,953,000","14,203,000","13,571,000","14,140,000","12,655,000","12,743,000","12,220,000","12,903,000","11,986,000","11,219,000","10,324,000","10,559,000","10,533,000","9,941,000","9,758,000","9,364,000","8,929,000","8,631,000","8,103,000","7,960,000","7,044,000","7,504,000","7,512,000","7,178,000","6,795,000","6,405,000","5,972,000","5,853,000","5,422,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"17,295,000","4,561,000","4,332,000","4,325,000","4,077,000","4,236,000","4,056,000","3,878,000","3,458,000","3,823,000","3,781,000","3,688,000","3,570,000","3,249,000","3,167,000","2,819,000","1,954,000","2,836,000","2,967,000","3,098,000","2,298,000","2,641,000","2,768,000","2,678,000","2,248,000","2,451,000","2,618,000","2,573,000","2,332,000","2,366,000","2,474,000","2,404,000","1,830,000","2,106,000","2,303,000","2,086,000","1,880,000","1,982,000","1,993,000","1,926,000","1,660,000","1,754,000","1,710,000","1,512,000","1,585,000","1,802,000","1,641,000","1,797,000","1,571,000","1,526,000","1,698,000","1,464,000","1,119,000","1,265,000","1,219,000","952,000","824,000","1,018,000","1,055,000","742,000","645,000","937,000","1,014,000","698,000","649,000","766,000","802,000","771,000","596,000","704,000","711,000","718,000","773,000","792,000","652,000","676,000","796,000","621,000","842,000","655,000","761,000","438,000","541,000","512,000","462,000","501,000","456,000","419,000","415,000","427,000","400,000","300,000","400,000","400,000","400,000",,"400,000","400,000","300,000","400,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
