name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-886,188","-195,717","-73,870","-514,370","-102,231","-1,046,726"
	CashFlowFromContinuingOperatingActivities,"-886,188","-195,717","-73,870","-514,370","-102,231","-1,046,726"
		NetIncomeFromContinuingOperations,"9,013,140","2,109,747","3,293,767","670,361","2,939,265","1,069,908"
		OperatingGainsLosses,"-10,462,632","-2,372,214","-3,881,532","-975,693","-3,233,193","-1,360,204"
			GainLossOnInvestmentSecurities,"-10,462,632","-2,372,214","-3,881,532","-975,693","-3,233,193","-1,360,204"
		OtherNonCashItems,,,,"0","0","575,330"
		ChangeInWorkingCapital,"563,304","66,750","513,895","-209,038","191,697","-756,430"
			ChangeInPrepaidAssets,"607,609","113,709","160,674","167,115","166,111","-1,190,326"
			ChangeInPayablesAndAccruedExpense,"-44,305","-46,959","353,221","-376,153","25,586","433,896"
				ChangeInPayable,"-114,660","51,606","120,984","-320,000","32,750","367,250"
					ChangeInAccountPayable,"-114,660","51,606","120,984","-320,000","32,750","367,250"
				ChangeInAccruedExpense,"70,355","-98,565","232,237","-56,153","-7,164","66,646"
InvestingCashFlow,"0","0","0","0","0","-325,000,000"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-325,000,000"
		NetOtherInvestingChanges,,,"0","0","0","-325,000,000"
FinancingCashFlow,"577,028","250,000","26,611","250,000","50,417","326,431,386"
	CashFlowFromContinuingFinancingActivities,"577,028","250,000","26,611","250,000","50,417","326,431,386"
		NetIssuancePaymentsOfDebt,"561,115","250,000","61,115","250,000","0","-47,938"
			NetLongTermDebtIssuance,"561,115","250,000","61,115","250,000","0","-47,938"
				LongTermDebtIssuance,"561,115","250,000","61,115","250,000","0","81,243"
				LongTermDebtPayments,"0","0","0","0","0","-129,181"
		NetCommonStockIssuance,"0","0","0","0","0","333,500,000"
			CommonStockIssuance,"0","0","0","0","0","333,500,000"
		NetOtherFinancingCharges,,,"-34,504","0","50,417","-7,020,676"
EndCashPosition,"75,500","75,500","21,217","68,476","332,846","384,660"
	ChangesInCash,"-309,160","54,283","-47,259","-264,370","-51,814","384,660"
	BeginningCashPosition,"384,660","21,217","68,476","332,846","384,660","0"
IssuanceOfCapitalStock,"0","0","0","0","0","333,500,000"
IssuanceOfDebt,"561,115","250,000","61,115","250,000","0","81,243"
RepaymentOfDebt,"0","0","0","0","0","-129,181"
FreeCashFlow,"-886,188","-195,717","-73,870","-514,370","-102,231","-1,046,726"
