name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991
OperatingCashFlow,"198,284,000","75,528,000","33,425,000","39,042,000","50,289,000","67,464,000","53,813,000","24,185,000","-2,959,000","-10,403,000","79,286,000","152,096,000","-49,028,000","34,168,000","38,043,000","36,150,000","33,761,000","33,883,000","42,482,000","39,217,000","11,776,000","37,434,000","53,562,000","25,726,000","12,505,000","1,543,000","27,468,000","24,203,000","30,447,000","7,425,000","25,471,000","28,700,000","15,855,000","14,713,000","26,306,000","43,791,000","45,179,000","26,059,000","12,175,000","-608,000","20,953,000","9,164,000","19,840,000","-3,372,000","-589,000","39,652,000","7,584,000","23,163,000","-9,042,000","24,948,000","-16,271,000","28,889,000","26,614,000","-1,717,000","-9,332,000","14,222,000","3,276,000","13,932,000","3,666,000","16,593,000","7,724,000","9,648,000","6,230,000","8,581,000","8,510,000","10,028,000","11,161,000","18,690,000","1,435,000","14,493,000","2,816,000","7,976,000","1,656,000","6,875,000","8,689,000","17,221,000","10,515,000","6,260,000","-14,877,000","17,280,000","8,241,000","12,883,000","2,981,000","15,799,000","2,804,000","7,086,000","9,976,000","7,534,000","7,978,000","-7,926,000","14,246,000","6,900,000","3,000,000","9,000,000","-27,500,000","7,300,000","3,700,000","9,700,000","-1,200,000","10,100,000","1,500,000","8,200,000","1,200,000","5,200,000","1,000,000","7,700,000","700,000","6,100,000","5,000,000","5,800,000","4,200,000","4,500,000","3,200,000","6,400,000","1,100,000","4,600,000","4,500,000","5,300,000","3,900,000","3,700,000","4,400,000","3,300,000","-15,800,000"
	CashFlowFromContinuingOperatingActivities,"198,284,000","75,528,000","33,425,000","39,042,000","50,289,000","67,464,000","53,813,000","24,185,000","-2,959,000","-10,403,000","79,286,000","152,096,000","-49,028,000","34,168,000","38,043,000","36,150,000","33,761,000","33,883,000","42,482,000","39,217,000","11,776,000","37,434,000","53,562,000","25,726,000","12,505,000","1,543,000","27,468,000","24,203,000","30,447,000","7,425,000","25,471,000","28,700,000","15,855,000","14,713,000","26,306,000","43,791,000","45,179,000","26,059,000","12,175,000","-608,000","20,953,000","9,164,000","19,840,000","-3,372,000","-589,000","39,652,000","7,584,000","23,163,000","-9,042,000","24,948,000","-16,271,000","28,889,000","26,614,000","-1,717,000","-9,332,000","14,222,000","3,276,000","13,932,000","3,666,000","16,593,000","7,724,000","9,648,000","6,230,000","8,581,000","8,510,000","10,028,000","11,161,000","18,690,000","1,435,000","14,493,000","2,816,000","7,976,000","1,656,000","6,875,000","8,689,000","17,221,000","10,515,000","6,260,000","-14,877,000","17,280,000","8,241,000","12,883,000","2,981,000","15,799,000","2,804,000","7,086,000","9,976,000","7,534,000","7,978,000","-7,926,000","14,246,000","6,900,000","3,000,000","9,000,000","-27,500,000","7,300,000","3,700,000","9,700,000","-1,200,000","10,100,000","1,500,000","8,200,000","1,200,000","5,200,000","1,000,000","7,700,000","700,000","6,100,000","5,000,000","5,800,000","4,200,000","4,500,000","3,200,000","6,400,000","1,100,000","4,600,000","4,500,000","5,300,000","3,900,000","3,700,000","4,400,000","3,300,000","-15,800,000"
		NetIncomeFromContinuingOperations,"132,378,000","53,097,000","1,702,000","40,007,000","37,572,000","41,711,000","34,641,000","34,873,000","24,902,000","26,751,000","47,477,000","51,845,000","30,628,000","35,225,000","29,934,000","33,015,000","31,118,000","27,555,000","22,064,000","23,852,000","20,563,000","20,725,000","17,179,000","20,484,000","20,374,000","18,611,000","19,455,000","18,595,000","17,450,000","9,460,000","15,978,000","15,738,000","14,746,000","13,383,000","10,589,000","14,655,000","12,758,000","12,252,000","9,969,000","11,601,000","8,874,000","12,183,000","11,169,000","11,959,000","11,120,000","11,188,000","11,838,000","11,145,000","8,030,000","9,227,000","9,101,000","6,841,000","659,000","6,388,000","3,021,000","8,815,000","5,820,000","6,308,000","7,730,000","8,312,000","5,713,000","6,626,000","8,102,000","8,555,000","8,290,000","7,904,000","8,563,000","8,687,000","8,041,000","7,914,000","9,184,000","8,262,000","6,621,000","6,700,000","7,311,000","7,518,000","9,172,000","2,430,000","7,023,000","7,859,000","3,783,000","6,401,000","6,289,000","5,467,000","4,919,000","5,377,000","4,833,000","3,886,000","2,240,000","4,231,000","4,631,000","4,400,000","4,200,000","3,800,000","4,400,000","4,000,000","4,000,000","3,700,000","3,900,000","3,700,000","3,600,000","3,000,000","3,200,000","3,100,000","2,700,000","2,600,000","2,700,000","2,700,000","2,600,000","2,400,000","2,300,000","2,200,000","1,900,000","1,700,000","1,600,000","1,300,000","1,000,000","700,000","500,000","400,000","100,000","-800,000","-9,400,000"
		OperatingGainsLosses,"352,000","888,000","103,000","-3,000","-636,000","-457,000","-771,000","227,000","-1,582,000","2,076,000","-803,000","-214,000","888,000","-1,027,000","-48,000","-136,000","-182,000","-265,000","-264,000","-270,000","-356,000","-255,000","-156,000","-261,000","-248,000","208,000","-161,000","-155,000","168,000","-260,000","-348,000","-210,000","920,000","4,000","40,000","-1,022,000","-255,000","-230,000","-3,952,000","3,126,000","-71,000","-194,000","46,000","394,000","32,000","-314,000","34,000","-99,000","-788,000","8,000","-320,000","257,000","-232,000","-1,593,000","-2,820,000","360,000","1,501,000","358,000","-435,000","-72,000","-6,000","-218,000","779,000","-150,000","-736,000","1,860,000","171,000","-432,000","-1,046,000","-330,000","-1,642,000","-755,000","94,000","-1,307,000","-501,000","-2,913,000","-1,390,000","-813,000","4,541,000",,,"-316,000","-181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,300,000","-100,000",,,"-8,200,000"
			GainLossOnSaleOfPPE,"-37,000","261,000","-38,000","-172,000","-88,000","-141,000","-136,000","-149,000","-196,000","275,000","-799,000","-3,000","-130,000","-120,000","-1,279,000","-132,000","-180,000","-265,000","-274,000","-259,000","-355,000","-254,000","-155,000","-261,000","-246,000","-258,000","-251,000","-155,000","-147,000","-260,000","-295,000","-143,000","-222,000","95,000","274,000","-259,000","-259,000","-230,000","-1,035,000","-13,000","-7,000","-9,000","51,000","297,000","5,000","0","0","0","1,000","279,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"389,000","627,000","141,000","169,000","-548,000","-316,000","-635,000","-308,000","-1,386,000","1,801,000","-4,000","-211,000","1,018,000","-907,000","1,231,000","-4,000","-2,000","0","10,000","-11,000","-1,000","-1,000","-1,000","0","-2,000","29,000","90,000","0","315,000","0","-53,000","-67,000","20,000","-91,000","-234,000","0",,,"-5,000","0",,,"0","0",,,"0","23,000","-481,000","0","1,000","-1,000","25,000","-1,379,000",,"720,000",,,,,,,"1,392,000","0","0","1,769,000","0","0","-273,000","-343,000","0","-461,000","0","-997,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,
		DepreciationAmortizationDepletion,"34,715,000","10,119,000","8,238,000","8,232,000","8,126,000","8,228,000","6,191,000","6,959,000","7,120,000","6,992,000","5,520,000","8,897,000","1,374,000","3,648,000","3,906,000","4,067,000","3,840,000","4,181,000","4,184,000","4,043,000","3,897,000","3,557,000","3,625,000","3,487,000","4,337,000","2,905,000","2,958,000","2,939,000","3,243,000","3,145,000","2,560,000","2,707,000","3,073,000","2,671,000","2,222,000","2,127,000","2,077,000","2,064,000","2,312,000","2,554,000","2,757,000","2,589,000","2,456,000","2,282,000","2,518,000","2,378,000","5,123,000","1,841,000","1,796,000","1,120,000","-1,555,000","3,862,000","1,809,000","1,628,000","-38,002,000","41,498,000","1,707,000","1,546,000","1,327,000","1,111,000","1,570,000","1,651,000","2,133,000","1,329,000","1,446,000","1,463,000","1,461,000","1,397,000","1,649,000","1,471,000","1,608,000","1,413,000","1,429,000","1,422,000","1,222,000","1,555,000","1,310,000","1,471,000","566,000","-229,000","1,974,000","2,000,000","1,753,000","2,125,000","1,957,000","1,751,000","1,432,000","2,087,000","1,003,000","1,078,000","844,000","1,100,000","1,300,000","1,300,000","1,100,000","1,100,000","1,000,000","1,000,000","300,000","1,000,000","1,000,000","900,000","700,000","700,000","900,000","800,000","1,200,000","700,000","700,000","600,000","1,500,000","2,100,000","1,100,000","700,000","1,800,000","200,000","700,000","600,000","700,000","600,000","600,000","600,000","800,000"
			DepreciationAndAmortization,"34,715,000","10,119,000","8,238,000","8,232,000","8,126,000","8,228,000","6,191,000","6,959,000","7,120,000","6,992,000","5,520,000","8,897,000","1,374,000","3,648,000","3,906,000","4,067,000","3,840,000","4,181,000","4,184,000","4,043,000","3,897,000","3,557,000","3,625,000","3,487,000","4,337,000","2,905,000","2,958,000","2,939,000","3,243,000","3,145,000","2,560,000","2,707,000","3,073,000","2,671,000","2,222,000","2,127,000","2,077,000","2,064,000","2,312,000","2,554,000","2,757,000","2,589,000","2,456,000","2,282,000","2,518,000","2,378,000","5,123,000","1,841,000","1,796,000","1,120,000","-1,555,000","3,862,000","1,809,000","1,628,000","-38,002,000","41,498,000","1,707,000","1,546,000","1,327,000","1,111,000","1,570,000","1,651,000","2,133,000","1,329,000","1,446,000","1,463,000","1,461,000","1,397,000","1,649,000","1,471,000","1,608,000","1,413,000","1,429,000","1,422,000","1,222,000","1,555,000","1,310,000","1,471,000","566,000","-229,000","1,974,000","2,000,000","1,753,000","2,125,000","1,957,000","1,751,000","1,432,000","2,087,000","1,003,000","1,078,000","844,000","1,100,000","1,300,000","1,300,000","1,100,000","1,100,000","1,000,000","1,000,000","300,000","1,000,000","1,000,000","900,000","700,000","700,000","900,000","800,000","1,200,000","700,000","700,000","600,000","1,500,000","2,100,000","1,100,000","700,000","1,800,000","200,000","700,000","600,000","700,000","600,000","600,000","600,000","800,000"
		DeferredTax,"3,166,000","643,000","2,819,000","-198,000","-98,000","567,000","-20,308,000","-243,000","-63,000","3,108,000","10,423,000","-228,000","-140,000","539,000","-4,673,000","-107,000","-76,000","359,000","9,234,000","-199,000","-67,000","709,000","-319,000","-101,000","-47,000","462,000","4,848,000","0","4,733,000","639,000","2,381,000","-104,000","92,000","471,000","2,552,000","0","3,000","2,000","-1,891,000","-9,000","-10,000","-9,000","123,000","-11,000","-10,000","-11,000","-2,489,000","-8,000","10,000","-7,000","2,570,000","-9,922,000","1,554,000","3,517,000","1,050,000","-2,243,000","-7,198,000","-911,000","-1,923,000","607,000","-516,000","10,000","1,129,000","1,288,000","-379,000","-1,036,000","2,788,000","-3,396,000","2,058,000","-3,741,000","-493,000","4,334,000","-6,370,000","2,069,000","6,289,000","-10,435,000","3,112,000","1,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"3,166,000","643,000","2,819,000","-198,000","-98,000","567,000","-20,308,000","-243,000","-63,000","3,108,000","10,423,000","-228,000","-140,000","539,000","-4,673,000","-107,000","-76,000","359,000","9,234,000","-199,000","-67,000","709,000","-319,000","-101,000","-47,000","462,000","4,848,000","0","4,733,000","639,000","2,381,000","-104,000","92,000","471,000","2,552,000","0","3,000","2,000","-1,891,000","-9,000","-10,000","-9,000","123,000","-11,000","-10,000","-11,000","-2,489,000","-8,000","10,000","-7,000","2,570,000","-9,922,000","1,554,000","3,517,000","1,050,000","-2,243,000","-7,198,000","-911,000","-1,923,000","607,000","-516,000","10,000","1,129,000","1,288,000","-379,000","-1,036,000","2,788,000","-3,396,000","2,058,000","-3,741,000","-493,000","4,334,000","-6,370,000","2,069,000","6,289,000","-10,435,000","3,112,000","1,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
