name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"464,005,000","433,443,000","391,092,000","359,695,000","337,252,000","427,074,000","320,073,000","168,819,000","163,094,000","106,703,000"
	CurrentAssets,"280,257,000","284,439,000","240,691,000","204,714,000","177,744,000","262,891,000","250,242,000","98,287,000","90,502,000","31,497,000"
		CashCashEquivalentsAndShortTermInvestments,"224,499,000","234,309,000","189,704,000","159,686,000","141,169,000","228,631,000","221,740,000","76,280,000","71,517,000","24,457,000"
			CashAndCashEquivalents,"224,499,000","234,309,000","189,704,000","159,686,000","141,169,000","228,631,000","221,740,000","76,280,000","71,517,000","24,457,000"
		Receivables,"38,133,000","34,843,000","33,206,000","31,196,000","23,615,000","22,176,000","16,326,000","15,239,000","11,308,000","4,255,000"
			AccountsReceivable,"38,133,000","34,843,000","33,206,000","31,196,000","23,615,000","22,176,000","16,326,000","15,239,000","11,308,000","4,255,000"
		Inventory,"4,597,000","4,432,000","4,805,000","4,951,000","4,405,000","3,823,000","2,311,000","2,083,000","1,871,000","1,088,000"
			RawMaterials,"810,000","986,000","1,023,000","712,000","773,000","396,000","185,000","414,000","1,001,000","384,000"
			WorkInProcess,"2,362,000","1,787,000","2,424,000","2,361,000","1,585,000","2,660,000","1,105,000","1,084,000","655,000","417,000"
			FinishedGoods,"1,874,000","2,108,000","1,798,000","2,013,000","2,356,000","941,000","1,076,000","585,000","215,000","287,000"
			InventoriesAdjustmentsAllowances,"-449,000","-449,000","-440,000","-135,000","-309,000","-174,000","-55,000",,,
		PrepaidAssets,"9,618,000","7,637,000","9,793,000","7,322,000","7,089,000","6,959,000","4,240,000","4,669,000","5,638,000","1,436,000"
		OtherCurrentAssets,"3,410,000","3,218,000","3,183,000","1,559,000","1,466,000","1,302,000","5,625,000","16,000","168,000","261,000"
	TotalNonCurrentAssets,"183,748,000","149,004,000","150,401,000","154,981,000","159,508,000","164,183,000","69,831,000","70,532,000","72,592,000","75,206,000"
		NetPPE,"748,000","820,000","937,000","944,000","842,000","938,000","1,038,000","1,138,000","1,233,000","1,330,000"
		GoodwillAndOtherIntangibleAssets,"178,837,000","143,919,000","148,562,000","153,135,000","157,764,000","162,343,000","66,625,000","68,492,000","70,400,000","72,185,000"
			OtherIntangibleAssets,"178,837,000","143,919,000","148,562,000","153,135,000","157,764,000","162,343,000","66,625,000","68,492,000","70,400,000","72,185,000"
		OtherNonCurrentAssets,"4,163,000","4,265,000","902,000","902,000","902,000","902,000","2,168,000","902,000","959,000","1,691,000"
TotalLiabilitiesNetMinorityInterest,"249,502,000","246,936,000","239,074,000","233,144,000","229,373,000","329,894,000","225,524,000","218,170,000","212,781,000","118,288,000"
	CurrentLiabilities,"56,528,000","53,775,000","47,623,000","36,595,000","33,437,000","134,539,000","31,790,000","21,061,000","16,454,000","19,892,000"
		PayablesAndAccruedExpenses,"46,284,000","41,250,000","38,402,000","28,659,000","28,652,000","125,283,000","26,547,000","17,040,000","13,401,000","11,860,000"
			Payables,"6,904,000","1,001,000","4,179,000","2,006,000","4,391,000","2,556,000","9,347,000","2,073,000","4,851,000","6,360,000"
				AccountsPayable,"6,904,000","1,001,000","4,179,000","2,006,000","4,391,000","2,556,000","9,347,000","2,073,000","4,851,000","6,360,000"
			CurrentAccruedExpenses,"39,380,000","40,249,000","34,223,000","26,653,000","24,261,000","122,727,000","17,200,000","14,967,000","8,550,000","5,500,000"
				InterestPayable,"2,120,000","2,125,000","2,125,000",,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"4,976,000","9,165,000","6,785,000","6,043,000","4,523,000","8,942,000","5,243,000","4,021,000","3,053,000","7,917,000"
		CurrentDebtAndCapitalLeaseObligation,"2,000,000","2,000,000","2,000,000",,,,,,,
			CurrentDebt,"2,000,000","2,000,000","2,000,000",,,,,,,
				OtherCurrentBorrowings,"2,000,000","2,000,000","2,000,000",,,,,,,
		OtherCurrentLiabilities,"3,268,000","1,360,000","436,000","1,893,000","262,000","314,000",,,,"115,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"192,974,000","193,161,000","191,451,000","196,549,000","195,936,000","195,355,000","193,734,000","197,109,000","196,327,000","98,396,000"
		LongTermDebtAndCapitalLeaseObligation,"189,896,000","189,984,000","190,069,000","195,610,000","194,913,000","194,250,000","192,858,000","192,518,000","192,177,000","97,946,000"
			LongTermDebt,"189,896,000","189,984,000","190,069,000","195,610,000","194,913,000","194,250,000","192,858,000","192,518,000","192,177,000","97,946,000"
		NonCurrentDeferredLiabilities,,,,,"192,000","212,000","305,000","322,000","338,000","287,000"
		DerivativeProductLiabilities,,,,,,,,"3,943,000","3,505,000",
		PreferredSecuritiesOutsideStockEquity,,,,,,,"0","0","422,643,000","411,277,000"
		OtherNonCurrentLiabilities,"3,078,000","3,177,000","1,382,000","939,000","831,000","893,000","571,000","326,000","307,000","163,000"
TotalEquityGrossMinorityInterest,"214,503,000","186,507,000","152,018,000","126,551,000","107,879,000","97,180,000","94,549,000","-49,351,000","-49,687,000","-11,585,000"
	StockholdersEquity,"214,503,000","186,507,000","152,018,000","126,551,000","107,879,000","97,180,000","94,549,000","-49,351,000","-49,687,000","-11,585,000"
		CapitalStock,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","422,644,000","411,277,000"
			PreferredStock,,"0",,"0","0","0","0","0","422,643,000","411,277,000"
			CommonStock,"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","0"
		AdditionalPaidInCapital,"646,615,000","640,104,000","628,329,000","593,242,000","588,687,000","585,374,000","582,535,000","434,011,000",,
		RetainedEarnings,"-432,113,000","-453,598,000","-476,312,000","-466,692,000","-480,809,000","-488,195,000","-487,987,000","-483,363,000","-472,331,000","-422,862,000"
TotalCapitalization,"404,399,000","376,491,000","342,087,000","322,161,000","302,792,000","291,430,000","287,407,000","143,167,000","142,490,000","86,361,000"
PreferredStockEquity,,,,,,,,,"422,643,000","411,277,000"
CommonStockEquity,"214,503,000","186,507,000","152,018,000","126,551,000","107,879,000","97,180,000","94,549,000","-49,351,000","-472,330,000","-422,862,000"
NetTangibleAssets,"35,666,000","42,588,000","3,456,000","-26,584,000","-49,885,000","-65,163,000","27,924,000","-117,843,000","-120,087,000","-83,770,000"
WorkingCapital,"223,729,000","230,664,000","193,068,000","168,119,000","144,307,000","128,352,000","218,452,000","77,226,000","74,048,000","11,605,000"
InvestedCapital,"406,399,000","378,491,000","344,087,000","322,161,000","302,792,000","291,430,000","287,407,000","143,167,000","-280,153,000","-324,916,000"
TangibleBookValue,"35,666,000","42,588,000","3,456,000","-26,584,000","-49,885,000","-65,163,000","27,924,000","-117,843,000","-542,730,000","-495,047,000"
TotalDebt,"191,896,000","191,984,000","192,069,000","195,610,000","194,913,000","194,250,000","192,858,000","192,518,000","192,177,000","97,946,000"
NetDebt,,,"2,365,000","35,924,000","53,744,000",,,"116,238,000","120,660,000","73,489,000"
ShareIssued,"59,030,148","58,825,769","58,414,546","57,000,139","56,892,406","56,890,569","56,888,625","56,888,625","56,888,625","62,980,540"
OrdinarySharesNumber,"59,030,148","58,825,769","58,414,546","57,000,139","56,892,406","56,890,569","56,888,625","56,888,625","56,888,625","62,980,540"
