name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"317,827,000","78,715,000","82,154,000","79,545,000","77,413,000","66,402,000","70,571,000","67,437,000","62,353,000","60,525,000","55,293,000","48,768,000","44,130,000","34,046,000","32,644,000","20,596,000","21,309,000","16,696,000","14,729,000","10,874,000","7,158,000","4,169,000","2,831,000","2,127,000","0","0","0","0","0","0","0","293,000","475,000","456,000","324,000","39,000","0","0","0","0","10,637,000","7,774,000","5,630,000","5,798,000","4,040,000","5,966,000","922,000","0","0","0","49,476,000","4,913,000","5,361,000","4,606,000","4,345,000","3,653,000","3,807,000","3,160,000",,,,,,,,,,,,
	OperatingRevenue,"317,827,000","78,715,000","82,154,000","79,545,000","77,413,000","66,402,000","70,571,000","67,437,000","62,353,000","60,525,000","55,293,000","48,768,000","44,130,000","34,046,000","32,644,000","20,596,000","21,309,000","16,696,000","14,729,000","10,874,000","7,158,000","4,169,000","2,831,000","2,127,000","0","0","0","0","0","0","0","293,000","475,000","456,000","324,000","39,000","0","0","0","0","10,637,000","7,774,000","5,630,000","5,798,000","4,040,000","5,966,000","922,000","0","0","0","49,476,000","4,913,000","5,361,000","4,606,000","4,345,000","3,653,000","3,807,000","3,160,000",,,,,,,,,,,,
CostOfRevenue,"35,509,000","7,582,000","7,851,000","11,696,000","8,380,000","6,539,000","9,417,000","8,399,000","6,676,000","6,552,000","6,945,000","5,596,000","5,367,000","4,055,000","4,344,000","4,310,000","3,135,000","2,615,000","2,610,000","1,790,000","1,061,000","775,000","489,000","344,000",,,,,,,,,,,"0",,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,
GrossProfit,"282,318,000","71,133,000","74,303,000","67,849,000","69,033,000","59,863,000","61,154,000","59,038,000","55,677,000","53,973,000","48,348,000","43,172,000","38,763,000","29,991,000","28,300,000","16,286,000","18,174,000","14,081,000","12,119,000","9,084,000","6,097,000","3,394,000","2,342,000","1,783,000",,,,,,,,,,,"324,000",,,,,"0","10,637,000","7,774,000","5,630,000","5,798,000","4,040,000","5,966,000","922,000","0","0","0","49,476,000","4,913,000","5,361,000","4,606,000",,"3,653,000",,,,,,,,,,,,,,
OperatingExpense,"499,565,000","141,044,000","144,715,000","106,960,000","106,846,000","112,447,000","125,525,000","110,765,000","106,307,000","131,099,000","136,726,000","99,688,000","114,713,000","109,887,000","97,183,000","171,167,000","64,805,000","69,163,000","75,496,000","63,139,000","52,108,000","50,831,000","50,217,000","50,822,000","38,348,000","39,799,000","40,394,000","36,738,000","25,865,000","23,048,000","21,487,000","17,694,000","15,127,000","15,580,000","14,126,000","15,174,000","16,005,000","17,251,000","15,923,000","16,916,000","19,984,000","18,519,000","18,660,000","18,932,000","18,764,000","15,965,000","17,458,000","13,265,000","12,686,000","13,350,000","15,012,000","18,387,000","19,212,000","17,575,000","19,222,000","12,953,000","14,298,000","12,448,000","15,267,000","11,806,000","10,284,000","10,232,000",,,,,,,,
	SellingGeneralAndAdministration,"204,100,000","58,116,000","57,601,000","46,107,000","42,276,000","46,726,000","43,685,000","37,850,000","34,657,000","40,215,000","43,300,000","39,680,000","42,578,000","44,303,000","38,765,000","31,867,000","29,172,000","27,396,000","28,581,000","21,647,000","19,311,000","19,132,000","18,681,000","17,469,000","19,300,000","15,701,000","17,192,000","15,372,000","8,278,000","6,427,000","5,518,000","5,270,000","4,753,000","5,176,000","4,605,000","4,635,000","4,830,000","4,823,000","4,455,000","4,995,000","5,819,000","4,095,000","3,917,000","4,841,000","6,720,000","4,402,000","3,823,000","3,892,000","4,020,000","3,925,000","4,338,000","5,217,000","5,223,000","5,195,000","4,990,000","4,371,000","5,118,000","5,186,000","5,284,000","3,954,000","3,189,000","2,850,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,"19,300,000","15,701,000","17,192,000","15,372,000","8,278,000","6,427,000","5,518,000","5,270,000","4,753,000","5,176,000","4,605,000","4,635,000","4,830,000","4,823,000","4,455,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,"19,300,000","15,701,000","17,192,000","15,372,000","8,278,000","6,427,000","5,518,000","5,270,000","4,753,000","5,176,000","4,605,000","4,635,000","4,830,000","4,823,000","4,455,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"289,449,000","81,517,000","85,596,000","59,333,000","63,003,000","64,117,000","79,293,000","70,419,000","69,611,000","89,120,000","91,912,000","58,892,000","70,981,000","64,593,000","57,217,000","138,227,000","34,660,000","40,798,000","45,808,000","40,641,000","31,985,000","30,876,000","30,630,000","32,457,000","18,281,000","23,425,000","22,625,000","20,971,000","17,234,000","16,113,000","15,605,000","12,049,000","9,978,000","9,992,000","9,120,000","10,110,000","10,725,000","11,989,000","11,047,000","11,499,000","13,723,000","14,004,000","14,401,000","13,711,000","11,618,000","11,125,000","13,154,000","8,862,000","8,137,000","8,889,000","10,127,000","12,609,000","13,470,000","11,875,000","13,775,000","8,200,000","8,848,000","6,941,000","9,670,000","7,537,000","6,783,000","7,085,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"6,016,000","1,411,000","1,518,000","1,520,000","1,567,000","1,604,000","2,547,000","2,496,000","2,039,000","1,764,000","1,514,000","1,116,000","1,154,000","991,000","1,201,000","1,073,000","973,000","969,000","1,107,000","851,000","812,000","823,000","906,000","896,000","767,000","673,000","577,000","395,000","353,000","508,000","364,000","375,000","396,000","412,000","401,000","429,000","450,000","439,000","421,000","422,000","442,000","420,000","342,000","380,000","426,000","438,000","481,000","511,000","529,000","536,000","547,000","561,000","519,000","505,000","457,000","382,000","332,000","321,000","313,000","315,000","312,000","297,000",,,,,,,,
