name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006
TotalRevenue,"322,131,000","42,261,000","107,070,000","98,682,000","74,118,000","41,516,000","49,863,000","54,138,000","47,422,000","53,082,000","20,177,000","65,684,000","70,864,000","48,501,000","65,513,000","81,422,000","88,336,000","55,747,000","75,261,000","77,606,000","68,048,000","54,111,000","69,373,000","69,306,000","67,879,000","46,635,000","33,872,000","107,054,000","104,598,000","54,087,000","88,467,000","103,135,000","68,039,000","82,197,000","125,572,000","121,119,000","106,063,000","92,165,000","74,589,000","88,276,000","103,237,000","85,727,000","89,609,000","90,307,000","74,728,000","55,241,000","53,613,000","66,093,000","51,714,000","47,763,000","62,880,000","52,263,000","41,831,000","39,737,000","44,629,000","60,585,000","49,896,000","43,220,000","44,103,000","46,558,000","41,620,000","37,506,000","23,043,000","0","0"
	OperatingRevenue,"322,131,000","42,261,000","107,070,000","98,682,000","74,118,000","41,516,000","49,863,000","54,138,000","47,422,000","53,082,000","20,177,000","65,684,000","70,864,000","48,501,000","65,513,000","81,422,000","88,336,000","55,747,000","75,261,000","77,606,000","68,048,000","54,111,000","69,373,000","69,306,000","67,879,000","46,635,000","33,872,000","107,054,000","104,598,000","54,087,000","88,467,000","103,135,000","68,039,000","82,197,000","125,572,000","121,119,000","106,063,000","92,165,000","74,589,000","88,276,000","103,237,000","85,727,000","89,609,000","90,307,000","74,728,000","55,241,000","53,613,000","66,093,000","51,714,000","47,763,000","62,880,000","52,263,000","41,831,000","39,737,000","44,629,000","60,585,000","49,896,000","43,220,000","44,103,000","46,558,000","41,620,000","37,506,000","23,043,000","0","0"
CostOfRevenue,"295,013,000","49,416,000","80,946,000","90,490,000","74,161,000","52,252,000","42,312,000","47,692,000","46,511,000","36,683,000","-41,968,000","60,222,000","67,594,000","45,239,000","50,546,000","68,769,000","80,065,000","18,240,000","68,454,000","72,080,000","66,250,000","47,981,000","51,859,000","58,987,000","59,907,000","35,582,000","4,359,000","98,379,000","99,054,000","40,773,000","59,546,000","82,263,000","61,461,000","72,595,000","100,432,000","95,101,000","78,437,000","70,784,000","66,500,000","66,313,000","88,837,000","72,926,000","70,277,000","68,312,000","59,299,000","50,242,000","38,448,000","54,217,000","45,412,000","39,822,000","54,321,000","38,613,000","35,958,000","33,382,000","30,124,000","49,705,000","45,445,000","32,638,000","36,889,000","39,673,000","36,038,000","39,954,000","20,099,000","0","0"
GrossProfit,"27,118,000","-7,155,000","26,124,000","8,192,000","-43,000","-10,736,000","7,551,000","6,446,000","911,000","16,399,000","62,145,000","5,462,000","3,270,000","3,262,000","14,967,000","12,653,000","8,271,000","37,507,000","6,807,000","5,526,000","1,798,000","6,130,000","17,514,000","10,319,000","7,972,000","11,053,000","29,513,000","8,675,000","5,544,000","13,314,000","28,921,000","20,872,000","6,578,000","9,602,000","25,140,000","26,018,000","27,626,000","21,381,000","8,089,000","21,963,000","14,400,000","12,801,000","19,332,000","21,995,000","15,429,000","4,999,000","15,165,000","11,876,000","6,302,000","7,941,000","8,559,000","13,650,000","5,873,000","6,355,000","14,505,000","10,880,000","4,451,000","10,582,000","7,214,000","6,885,000","5,582,000","-2,448,000","2,944,000","0","0"
OperatingExpense,"10,769,000","2,452,000","4,307,000","2,050,000","1,960,000","2,322,000","1,856,000","2,642,000","2,050,000","2,420,000","2,507,000","2,187,000","2,085,000","2,051,000","2,164,000","2,424,000","2,431,000","2,940,000","2,969,000","2,326,000","2,424,000","2,655,000","2,737,000","2,478,000","2,596,000","2,524,000","2,429,000","2,742,000","2,367,000","2,537,000","2,590,000","2,697,000","2,407,000","2,151,000","2,326,000","2,503,000","2,651,000","2,431,000","3,333,000","2,782,000","2,828,000","2,218,000","2,951,000","2,637,000","2,773,000","1,779,000","2,566,000","2,340,000","2,061,000","2,162,000","3,033,000","2,265,000","2,237,000","2,063,000","2,134,000","2,154,000","2,213,000","1,735,000","2,039,000","2,247,000","1,500,000","1,792,000","1,823,000","56,000","0"
	SellingGeneralAndAdministration,"7,380,000","1,773,000","3,209,000","1,236,000","1,162,000","1,548,000","1,262,000","1,851,000","1,282,000","1,585,000","1,643,000","1,354,000","1,297,000","1,345,000","1,483,000","1,547,000","1,647,000","1,758,000","1,845,000","1,391,000","1,579,000","1,900,000","2,135,000","1,790,000","1,858,000","1,837,000","1,811,000","2,004,000","1,697,000","1,822,000","1,721,000","1,969,000","1,538,000","1,449,000","1,455,000","1,637,000","1,860,000","1,515,000","2,515,000","1,828,000","1,999,000","1,375,000","2,049,000","1,641,000","1,912,000","1,026,000","1,658,000","1,540,000","1,175,000","731,000","3,412,000","729,000","798,000","494,000","927,000","652,000","1,205,000","438,000","-304,000","1,301,000","822,000","317,000","396,000","56,000","0"
		GeneralAndAdministrativeExpense,"7,380,000","1,773,000","3,209,000","1,236,000","1,162,000","1,548,000","1,262,000","1,851,000","1,282,000","1,585,000","1,643,000","1,354,000","1,297,000","1,345,000","1,483,000","1,547,000","1,647,000","1,758,000","1,845,000","1,391,000","1,579,000","1,900,000","2,135,000","1,790,000","1,858,000","1,837,000","1,811,000","2,004,000","1,697,000","1,822,000","1,721,000","1,969,000","1,538,000","1,449,000","1,455,000","1,637,000","1,860,000","1,515,000","2,515,000","1,828,000","1,999,000","1,375,000","2,049,000","1,641,000","1,912,000","1,026,000","1,658,000","1,540,000","1,175,000","731,000","3,412,000","729,000","798,000","494,000",,,,"438,000",,,,"317,000",,,
			SalariesAndWages,"2,714,000","656,000","964,000","571,000","523,000","528,000","412,000","769,000","724,000","855,000","1,032,000","661,000","620,000","715,000","755,000","933,000","846,000","1,275,000","983,000","876,000","1,030,000","1,264,000","1,250,000","1,228,000","1,277,000","1,166,000","1,397,000","1,346,000","1,059,000","1,153,000","1,234,000","1,425,000","855,000","754,000","842,000","864,000","1,015,000","926,000","1,487,000","841,000","1,065,000","749,000","1,095,000","826,000","1,320,000","809,000","1,230,000","808,000","731,000","731,000","1,584,000","729,000","798,000","494,000",,,,"438,000",,,,"317,000",,,
			OtherGandA,"4,666,000","1,117,000","2,245,000","665,000","639,000","1,020,000","850,000","1,082,000","558,000","730,000","611,000","693,000","677,000","630,000","728,000","614,000","801,000","483,000","862,000","515,000","549,000","636,000","885,000","562,000","581,000","671,000","414,000","658,000","638,000","669,000","487,000","544,000","683,000","695,000","613,000","773,000","845,000","589,000","1,028,000","987,000","934,000","626,000","954,000","815,000","592,000","217,000","428,000","732,000","444,000",,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,"1,275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
