name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalAssets,"11,853,000,000","11,664,000,000","11,835,000,000","12,029,000,000","12,001,000,000","11,191,000,000","11,231,000,000","11,583,000,000","11,362,000,000","11,505,000,000","11,361,000,000","11,298,000,000","11,367,000,000","10,957,000,000","11,483,000,000","11,589,000,000","11,842,000,000","11,802,000,000","12,193,000,000","12,254,000,000","12,486,000,000","2,995,000,000","2,947,000,000","2,401,000,000","2,346,000,000","1,952,000,000","30,680,000,000","31,111,000,000","31,430,000,000","31,207,000,000","33,845,000,000","34,075,000,000","33,693,000,000","34,542,000,000","33,943,000,000","33,884,000,000","32,396,000,000","8,325,000,000"
	CurrentAssets,"2,622,000,000","2,369,000,000","2,466,000,000","2,527,000,000","2,468,000,000","2,264,000,000","2,322,000,000","2,577,000,000","1,383,000,000","748,000,000","653,000,000","574,000,000","566,000,000","310,000,000","408,000,000","467,000,000","563,000,000","479,000,000","575,000,000","598,000,000","781,000,000","175,000,000","228,000,000","561,000,000","528,000,000","97,000,000","2,110,000,000","2,478,000,000","2,737,000,000","2,344,000,000","2,171,000,000","2,274,000,000","1,801,000,000","2,494,000,000","2,481,000,000","2,365,000,000","3,458,000,000","2,211,000,000"
		CashCashEquivalentsAndShortTermInvestments,"2,265,000,000","2,074,000,000","2,195,000,000","2,225,000,000","1,783,000,000","1,684,000,000","1,586,000,000","1,767,000,000","1,094,000,000","587,000,000","419,000,000","334,000,000","372,000,000","160,000,000","151,000,000","198,000,000","270,000,000","282,000,000","420,000,000","443,000,000","626,000,000","168,000,000","220,000,000","554,000,000","517,000,000","76,000,000","607,000,000","841,000,000","1,245,000,000","880,000,000","673,000,000","806,000,000","377,000,000","1,088,000,000","1,171,000,000","937,000,000","1,900,000,000","1,420,000,000"
			CashAndCashEquivalents,"2,265,000,000","2,074,000,000","2,195,000,000","2,225,000,000","1,783,000,000","1,684,000,000","1,586,000,000","1,767,000,000","1,094,000,000","587,000,000","419,000,000","334,000,000","372,000,000","160,000,000","151,000,000","198,000,000","270,000,000","282,000,000","420,000,000","443,000,000","626,000,000","168,000,000","220,000,000","554,000,000","456,000,000","76,000,000","588,000,000","790,000,000","1,172,000,000","681,000,000","377,000,000","566,000,000","377,000,000","1,088,000,000","1,171,000,000","937,000,000","1,900,000,000","1,353,000,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900,000,000","1,353,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,"61,000,000",,"19,000,000","51,000,000","73,000,000","199,000,000","296,000,000","240,000,000",,,,,,"67,000,000"
		Receivables,"148,000,000","66,000,000","110,000,000","113,000,000","141,000,000","121,000,000","148,000,000","147,000,000","66,000,000","69,000,000","97,000,000","138,000,000","110,000,000","110,000,000","153,000,000","114,000,000","69,000,000","84,000,000","77,000,000","70,000,000","37,000,000","2,000,000","2,000,000","3,000,000","4,000,000","3,000,000","278,000,000","332,000,000","228,000,000","235,000,000","243,000,000","240,000,000","204,000,000","206,000,000","225,000,000","259,000,000","237,000,000","286,000,000"
			AccountsReceivable,"148,000,000","66,000,000","110,000,000","113,000,000","141,000,000","121,000,000","148,000,000","147,000,000","66,000,000","69,000,000","97,000,000","138,000,000","110,000,000","110,000,000","153,000,000","114,000,000","69,000,000","84,000,000","77,000,000","70,000,000","37,000,000","2,000,000","2,000,000","3,000,000","4,000,000","3,000,000","278,000,000","332,000,000","228,000,000","235,000,000","243,000,000","240,000,000","204,000,000","206,000,000","225,000,000","259,000,000","237,000,000","286,000,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243,000,000",,,,"210,000,000",,,,"322,000,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,000,000",,,,"-4,000,000",,,,"-36,000,000"
