name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
MarketCap,"4,176,729,954","4,166,105,400","4,760,473,180","4,393,800,760","4,395,006,000","4,295,131,200","4,128,815,200","4,097,946,480","3,984,845,920","3,768,650,760","4,495,139,220","4,400,828,000","4,046,986,708","4,148,594,692","3,562,934,760","3,664,301,925","3,640,772,060","3,468,997,470","4,011,469,273","4,038,701,084","3,980,011,750","3,786,640,000","3,513,437,241","3,946,804,680","3,732,103,380","3,220,251,610","2,874,961,440","2,496,853,450","2,335,722,680","2,780,416,860","2,699,980,960","2,323,457,920","2,470,112,240","2,319,317,700","2,044,140,440","2,215,625,030","2,305,259,797","2,531,759,587","2,101,219,207","1,797,978,877","1,858,611,767","1,714,794,950","1,447,015,632","1,311,588,801","1,577,531,745","1,595,021,447","1,398,732,046","1,500,448,805","1,390,503,709","1,429,972,043","1,300,796,419","1,254,360,178","998,942,680","888,838,435","1,381,074,745","1,479,609,721","1,206,529,093","1,326,722,655","1,288,053,260","1,351,218,164","1,331,089,784","1,783,854,148","1,890,227,413","1,836,615,594","1,522,824,780","1,787,027,080","1,589,246,283","1,916,965,980","1,843,956,766","1,739,990,468","1,941,435,095","1,861,514,142","1,614,083,133","1,838,102,288","1,530,954,997","1,369,068,341","1,225,507,684","1,026,214,578","1,223,339,247","1,305,215,716","1,342,117,056","1,272,233,492","1,161,045,732","1,039,518,592","1,067,661,939","977,432,568","856,680,978","848,188,417","687,364,637","672,060,250","625,078,125","747,037,500","836,430,000","756,390,000","887,881,312","532,159,500","564,838,000","583,984,000","558,098,268","548,227,764","536,705,250","526,366,500","368,323,500","311,873,625","313,381,250","288,421,875","298,471,000","269,148,250","262,581,750","256,019,250","129,906,000","267,220,875","273,514,500","184,820,000","139,185,000","144,597,750","119,080,500"
EnterpriseValue,"6,217,841,954","6,072,944,400","6,552,279,180","6,100,298,760","6,102,813,000","5,993,707,200","5,671,381,200","5,719,056,480","5,634,975,920","5,291,673,760","6,032,910,220","5,941,241,000","5,484,121,708","5,486,197,692","4,897,666,760","4,992,619,925","4,943,927,060","4,746,662,470","4,980,548,273","5,239,814,084","5,257,195,750","5,013,053,000","4,739,850,241","5,352,517,680","5,148,276,380","4,647,643,610","4,247,749,440","3,877,219,450","3,769,860,680","4,180,589,860","4,101,675,960","3,702,961,920","3,848,184,240","3,659,105,700","3,305,174,440","3,515,860,030","3,626,207,797","3,818,027,587","3,387,487,207","3,190,475,877","3,270,572,767","3,103,593,950","2,792,843,632","2,657,416,801","2,811,384,745","2,885,100,447","2,693,266,046","2,627,471,805","2,393,773,709","2,453,986,043","2,341,367,419","2,246,309,178","1,957,169,680","1,827,269,435","2,317,122,745","2,132,748,721","1,997,299,093","2,108,015,655","2,064,823,260","2,134,660,164","2,071,216,784","2,631,886,148","2,707,332,413","2,667,238,594","2,353,447,780","2,549,492,080","2,325,424,283","2,653,143,980","2,573,602,766","2,445,121,468","2,658,016,095","2,578,353,142","2,375,155,133","2,495,849,288","2,117,395,997","1,941,297,341","1,779,763,684","1,564,864,578","1,768,000,247","1,837,321,716","1,847,312,056","1,774,555,492","1,663,367,732","1,574,016,592","1,616,326,939","1,512,455,568","1,388,382,978","1,403,431,417","1,242,607,637","1,237,191,250","1,184,578,125","1,329,037,500","1,398,030,000","1,320,790,000","1,433,381,312","686,359,500","653,638,000","660,984,000","654,098,268","651,527,764","628,405,250","570,566,500","535,523,500","439,673,625","411,981,250","372,321,875","374,871,000","334,948,250","328,381,750","311,219,250","155,506,000","292,820,875","233,814,500","118,820,000","160,085,000","152,097,750","121,280,500"
PeRatio,"49.196","61.067","175.778","114.538","45.758","58.308","34.419","37.185","104.607","96.31","158.905","134","60.231","58.382","284.4","585.2",,"153.944","33.113","30.509","35.206","65","60.64","59.754","55.54","52.356","57.796","60.61","72.688","79.371","71.895","67.657",,,,,"255","283.9","240.1","288.125","340.571",,,,,,"352.833","129.944","73.233","62.946","44.708","40.635","38.25","39.447","67.086","72.875","56.595","65.375","72.543","39.206","37.541","49.733","47.639","47.42","39.321","50.514","36.967","44.6","39.398","34.056","36.667","26.74","23.722","26.196","21.536","21.904","19.696","15.654","18.871","16.995","17.978","16.773","15.47","14.326","14.451","13.242","10.678","10.616","8.606","8.46","7.852","9.282","12.426","11.31","13.689","17.23","15.395","16.329","17.225","17.663","17.984","18.129","17.785","16.071","16.725","15.514","16.084","14.821","14.464","14.107","16.935","16.835","17.52","31.746","35.714",,
ForwardPeRatio,"15.385","15.337",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41.152","40.486","35.088","37.594","35.714","31.949","36.101","38.76","25.641","33.67","21.882","75.758","163.934","136.986","102.041","95.238","96.154","102.041",,"97.087",,,,,"26.042","24.57","30.488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.289","10.119","8.77","9.415","8.944","7.999","9.027","9.688","6.403","8.407","5.465","19.011","44.736","37.328","30.798","28.682","19.237","20.327",,"21.603",,,,,"6.134","5.779","7.175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"7.311","7.333","8.444","7.985","8.097","8.132","7.972","8.108","7.911","7.607","9.091","9.164","8.583","8.794","7.886","8.159","8.083","7.704","8.826","8.909","9.242","8.479","7.91","8.716","8.982","7.942","7.306","6.421","6.029","7.248","7.062","6.242","6.765","6.518","7.219","7.727","8.491","9.389","7.941","7.479","7.785","7.225","6.029","5.465","6.686","7.325","6.811","7.066","6.406","6.589","5.919","5.853","4.733","4.339",,"8.624","6.9","7.699","7.559","6.048","6.231","8.384","8.732","8.502","7.05","8.511","7.418","8.949","8.811","8.343","9.551","9.526","9.607","11.139","9.49","8.475","7.616","6.258","7.433","7.768","8.191","7.793","7.187","6.729","6.946","6.404","5.496","5.201","4.217","4.261","4.052","5.454","6.157","5.634","6.84","8.092","8.838","9.663","10.375","10.744","11.165","11.113","11.222","10.271","10.801","10.032","10.395","9.595","9.364","9.437","11.031","10.966","12.537","18.403","20.704",,
PbRatio,"1.887","1.907","2.25","2.096","2.2","2.204","2.173","2.124","2.143","1.983","2.49","2.487","2.242","2.417","2.047","2.073","2.064","1.938","2.156","2.453","2.407","2.317","2.159","2.923","2.886","2.591","2.34","2.033","1.9","2.277","2.214","1.905","2.024","1.865","1.627","1.883","2.078","2.26","1.875","2.081","1.887","1.707","1.415","1.283","1.551","1.767","1.667","1.831","1.693","1.813","1.653","1.615","1.265","1.119","1.738","1.851","1.959","2.138","2.038","2.292","2.2","2.16","2.216","2.098","1.74","1.997","1.706","2.058","1.934","1.79","1.98","1.807","1.825","2.054","1.697","1.503","1.369","1.137","1.347","1.414","1.334","1.257","1.147","1.039","1.063","0.97","0.848","0.837","0.679","0.662","0.614","0.738","0.824","0.744","0.872","1.315","1.379","1.427","1.482","1.453","1.42","1.39","1.497","1.35","1.344","1.23","1.278","1.145","1.117","1.083","0.548","1.127","1.146","1.708","1.286","1.318","1.104"
EnterprisesValueRevenueRatio,"11.359","42.5","48.029","44.648","46.436","45.986","45.054","45.66","45.557","42.399","49.644","49.593","47.148","48.698","43.277","44.003","44.287","42.334","46.231","48.992","49.952","47.94","44.871","51.636","50.158","46.467","43.088","40.085","38.982","43.342","44.41","39.182","41.407","39.817","37.232","41.48","43.141","46.232","53.21","52.848","54.14","51.712","49.398","45.538","50.086","57.056","56.418","53.202","46.76","50.363","48.456","41.02","35.381","32.76","50.062","48.431","45.539","48.217","48.833","52.207","51.793","66.601","52.145","49.363","43.203","50.084","44.791","48.542","51.453","49.158","51.07","51.428","54.601","58.463","54.422","49.139","44.732","39.926","45.295","44.24","43.192","43.941","41.114","40.284","41.397","38.719","37.802","36.304","32.229","32.788","28.272","36.115","37.581","35.034","44.793","41.851","40.852","42.644","43.899","46.873","50.678","54.34","62.27","57.852","54.208","50.314","49.983","47.176","47.592","45.104","21.902","46.48","40.313","30.467","42.128","60.839","303.201"
EnterprisesValueEBITDARatio,"17.95","55.106","74.666","97.931","70.634","68.704","121.049","82.291","40.909","79.707","69.617","95.768","87.03","89.556","69.17","80.227","54.281","77.306","407.307","98.203","69.872","61.644","48.192","92.712","88.278","85.165","69.03","63.585","58.875","79.182","76.594","66.83","69.409","69.113","61.422","74.22","208.475","81.655",,,,,,,,,,,,,,,,,,,,,,,,,,"70.355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
