name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalAssets,"250,588,219","250,284,105","250,606,437","250,717,542","251,220,190","251,559,470","6,000"
	CurrentAssets,"557,575","275,748","586,161","703,568","1,212,449","1,557,894",
		CashCashEquivalentsAndShortTermInvestments,"339,814","36,042","262,765","310,552","737,340","1,054,211",
			CashAndCashEquivalents,"339,814","36,042","262,765","310,552","737,340","1,054,211",
				CashFinancial,"339,814","36,042","262,765","310,552","737,340","1,054,211",
		PrepaidAssets,"217,761","239,706","323,396","393,016","475,109","503,683",
	TotalNonCurrentAssets,"250,030,644","250,008,357","250,020,276","250,013,974","250,007,741","250,001,576","6,000"
		NonCurrentDeferredAssets,,,,,,,"6,000"
		OtherNonCurrentAssets,"250,030,644","250,008,357","250,020,276","250,013,974","250,007,741","250,001,576",
TotalLiabilitiesNetMinorityInterest,"22,534,437","34,872,941","30,858,579","39,670,974","32,631,100","10,701,669","7,425"
	CurrentLiabilities,"3,527,637","2,752,673","2,210,979","1,632,840","1,263,632","61,669","7,425"
		PayablesAndAccruedExpenses,"2,377,637","2,452,673","1,910,979","1,632,840","1,263,632","61,669","7,000"
			CurrentAccruedExpenses,"2,377,637","2,452,673","1,910,979",,,,"7,000"
		CurrentDebtAndCapitalLeaseObligation,"1,150,000","300,000","300,000",,,,"425"
			CurrentDebt,"1,150,000","300,000","300,000",,,,"425"
				CurrentNotesPayable,"1,150,000","300,000","300,000",,,,"425"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"19,006,800","32,120,268","28,647,600","38,038,134","31,367,468","10,640,000","0"
		TradeandOtherPayablesNonCurrent,"10,640,000","10,640,000","10,640,000","10,640,000","10,640,000","10,640,000",
		DerivativeProductLiabilities,"8,366,800","21,480,268","18,007,600","27,398,134","20,727,468",,
TotalEquityGrossMinorityInterest,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
	StockholdersEquity,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
		CapitalStock,"250,000,919","250,000,919","250,000,919","206,047,919","213,590,363","235,858,860","857"
			PreferredStock,"0","0","0","0","0","0","0"
			CommonStock,"250,000,919","250,000,919","250,000,919","206,047,919","213,590,363","235,858,860","857"
		AdditionalPaidInCapital,,"0",,"19,311,040","11,768,596","5,104,550","24,143"
		RetainedEarnings,"-21,947,137","-34,589,755","-30,253,061","-14,312,391","-6,769,869","-105,609","-1,425"
		OtherEquityInterest,,,,,,,"-25,000"
TotalCapitalization,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
CommonStockEquity,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
NetTangibleAssets,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
WorkingCapital,"-2,970,062","-2,476,925","-1,624,818","-929,272","-51,183","1,496,225",
InvestedCapital,"229,203,782","215,711,164","220,047,858","211,046,568","218,589,090","240,857,801","-1,000"
TangibleBookValue,"228,053,782","215,411,164","219,747,858","211,046,568","218,589,090","240,857,801","-1,425"
TotalDebt,"1,150,000","300,000","300,000",,,,"425"
NetDebt,"810,186","263,958","37,235",,,,"425"
ShareIssued,"34,186,667","34,186,667","34,186,667","34,186,667","34,186,667","34,186,667","34,186,667"
OrdinarySharesNumber,"34,186,667","34,186,667","34,186,667","34,186,667","34,186,667","34,186,667","34,186,667"
