name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
OperatingCashFlow,"-224,494,000","-51,352,000","-67,176,000","-53,999,000","-51,967,000","-67,682,000","-49,128,000","-49,341,000","-60,844,000","-80,370,000","-55,833,000","-23,191,000","-37,266,000","-33,006,000","-26,868,000","-24,932,000","-18,289,000","-16,694,000","-12,753,000","-8,866,000","-7,666,000","-7,417,000","-6,917,000","-6,422,000"
	CashFlowFromContinuingOperatingActivities,"-224,494,000","-51,352,000","-67,176,000","-53,999,000","-51,967,000","-67,682,000","-49,128,000","-49,341,000","-60,844,000","-80,370,000","-55,833,000","-23,191,000","-37,266,000","-33,006,000","-26,868,000","-24,932,000","-18,289,000","-16,694,000","-12,753,000","-8,866,000","-7,666,000","-7,417,000","-6,917,000","-6,422,000"
		NetIncomeFromContinuingOperations,"-285,558,000","-46,892,000","-88,395,000","-79,838,000","-70,433,000","-61,298,000","-62,740,000","-63,701,000","-67,241,000","-72,807,000","-67,216,000","-56,196,000","-21,460,000","-47,384,000","-32,299,000","-24,435,000","-21,690,000","-21,430,000","-19,912,000","-12,038,000","-10,625,000","-7,709,000","-8,557,000","-6,099,000"
		OperatingGainsLosses,,,,,,,"0",,,,,,,,,,,,"0","4,000","2,000","4,000","0",
			GainLossOnSaleOfPPE,,,"0",,,,"0",,,,,,,,"0","0","0","0","0","4,000","2,000","4,000","0","6,000"
		DepreciationAmortizationDepletion,"3,065,000","783,000","780,000","759,000","743,000","732,000","695,000","666,000","484,000","460,000","445,000","169,000","112,000","104,000","99,000","88,000","74,000","56,000","49,000","39,000","31,000","31,000","30,000","22,000"
			DepreciationAndAmortization,"3,065,000","783,000","780,000","759,000","743,000","732,000","695,000","666,000","484,000","460,000","445,000","169,000","112,000","104,000","99,000","88,000","74,000","56,000","49,000","39,000","31,000","31,000","30,000","22,000"
				Depreciation,"3,065,000","783,000","780,000","759,000","743,000","732,000","695,000","666,000","484,000","460,000",,,,,,,,,,,,,,
		AmortizationOfSecurities,"1,672,000","255,000","390,000","545,000","482,000","365,000","239,000","160,000","-478,000","-1,532,000","-1,729,000","-973,000","-811,000","-486,000",,,,,,,,,,
		StockBasedCompensation,"49,227,000","14,268,000","10,794,000","11,794,000","12,371,000","11,119,000","9,706,000","9,828,000","10,609,000","6,994,000","5,345,000","4,729,000","4,107,000","6,229,000","2,805,000","2,614,000","2,232,000","2,037,000","2,844,000","1,012,000","594,000","416,000","537,000","462,000"
