name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
MarketCap,"808,606,600","1,047,744,780","1,189,295,690","858,792,960","674,223,480","656,597,620","795,960,000","685,272,460","645,127,920","384,357,400","548,975,670","422,814,500","425,464,701","402,557,179","272,980,260","290,231,568","383,070,718","376,561,379","501,577,037","500,840,679","529,064,900","726,644,880","709,986,005","572,027,940","438,040,890","417,910,920","337,243,240","313,870,000","505,968,000","563,566,080","462,383,760","390,443,430","653,278,920","553,076,630","779,795,940","640,275,570","544,029,843","471,580,227","402,734,280","389,849,597","282,724,570","239,951,857","197,039,913","115,300,800","166,927,680","186,878,300","133,046,460","101,659,500","130,281,600","118,029,560","102,606,350","92,572,250","67,304,700","41,225,436","39,719,433","143,766,318","163,630,950","152,863,930","251,676,330","277,016,991","333,090,377","316,615,563","403,848,600","300,217,711","325,886,600","504,271,808","420,582,500","434,803,800","340,246,300","361,732,000","413,140,950","308,282,953","215,975,290","294,963,900","378,936,800","261,478,248","271,732,500","146,862,800","159,687,990","121,908,050","167,391,690","394,778,760","482,580,000","236,029,614"
EnterpriseValue,"680,330,600","914,534,780","1,055,306,690","727,200,960","549,830,480","519,743,620","636,118,000","590,744,460","554,006,920","296,296,400","458,268,670","345,979,500","345,427,701","306,468,179","176,192,260","189,315,568","284,548,718","275,294,379","400,827,037","391,833,679","414,138,900","609,857,880","591,452,005","449,805,940","308,642,890","291,752,920","210,984,240","182,171,000","374,088,000","448,102,080","346,262,760","283,534,430","552,284,920","463,705,630","694,562,940","563,508,570","480,846,843","409,943,227","341,097,280","338,889,597","237,193,570","193,910,857","152,880,913","71,141,800","125,274,680","147,568,300","95,000,460","67,232,500","98,337,600","83,320,560","67,939,350","63,167,250","33,190,700","2,888,436","-135,567","102,505,318","121,764,950","111,411,930","207,740,330","224,485,991","284,050,377","265,262,563","333,930,600","231,113,711","256,782,600","439,213,808","361,241,500","375,462,800","288,384,300","313,344,000","367,480,950","265,343,953","173,503,290","252,515,900","339,826,800","214,911,248","204,682,500","75,023,800","88,229,990","48,693,050","97,557,690","323,998,760","411,800,000","230,774,614"
PeRatio,,,,,,,,,,,,,,,,,,,"120.769","91.118","71.522","80.786","80.536","67.296","51.815","34.308","22.583","20.408","28.571","30.897","23.968","17.761","29.472","27.119","20.496","16.717","14.398","27.621","23.759","35.947","44.864","120.429","697","408",,,"482",,,,,,,,,,,,,,,,"180.625","91.333","103.417","94.6","70.652","72.174","77.059","140",,,,,,,,,"346.5","18.407",,,,
ForwardPeRatio,"70.423","96.154","102.041","76.923",,,,,,,,,"52.356","51.546","33.67","18.051","29.24","21.186","23.81","20.661","25.707","30.121","28.169","18.939","17.921","13.947","10.32","8.333","13.228","14.815","12.92","8.137","17.271","14.793","24.039","18.484","15.798","13.717","14.881","18.182","14.771","8.432","9.96","5.828","5.96","7.825","8.032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,"4.288","2.81","1.505","2.435","1.767","1.982","1.721","1.285","1.508","1.409",,"0.897","0.697","0.516","0.417","0.661","0.741","0.646","0.407","0.864","0.74","1.201","0.924","0.79","0.686","0.745","0.91","0.739","0.422","0.498","0.291","0.298","0.391","0.402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"6.78","9.32","11.356","8.674","7.09","6.958","8.171","7.008","7.367","4.438","6.612","5.216","5.185","4.631","2.912","2.919","3.756","3.667","5.052","4.934","5.072","6.827","6.998","5.818","4.655","4.392","3.487","3.264","5.129","5.714","4.696","3.854","6.437","5.622","8.091","6.831","5.995","5.354","4.605","5.116","3.921","3.593","3","1.756","2.634","2.998","2.148","1.666","2.18","2.167","2.097","1.948","1.303","0.665","0.535","1.7","1.845","1.667","2.677","3.242","4.107","3.984","5.12","3.964","4.488","6.936","5.974","6.103","4.796","5.328","6.545","5.435","4.217","6.393","8.156","6.515","6.831","3.527","3.677","2.723","3.414","7.011","8.54","7.366"
PbRatio,"3.786","4.771","5.322","3.849","2.993","2.8","3.006","3.466","3.251","1.959","2.815","2.169","2.147","1.999","1.359","1.454","1.902","1.879","2.542","2.444","2.603","3.655","3.803","3.131","2.425","2.398","1.924","1.796","2.954","3.483","2.996","2.606","4.637","4.106","6.192","5.498","5.018","5.825","4.964","5.965","4.492","4.233","3.631","2.122","3.168","3.581","2.613","2.028","2.702","2.515","2.236","2.009","1.418","0.782","0.665","1.017","1.055","0.975","1.608","1.792","2.24","2.136","3.033","2.303","2.5","3.941","3.553","3.673","2.971","3.234","3.797","2.94","2.06","2.766","3.556","2.471","3.453","1.877","2.028","1.556","2.24","5.417","6.621",
EnterprisesValueRevenueRatio,"5.653","27.301","35.311","24.605","20.053","21.477","28.439","25.56","25.877","14.004","20.312","15.788","16.794","14.92","8.932","9.366","13.474","11.129","14.969","14.777","17.05","25.108","20.802","16.501","11.565","11.632","8.765","7.629","16.118","16.71","13.287","12.654","22.441","17.12","25.65","22.108","19.408","17.003","14.323","15.028","10.527","9.394","8.688","4.2","7.3","9.827","5.858","4.534","6.406","5.463","4.595","4.552","3.463","0.283","-0.01","5.463","5.767","5.476","8.46","9.327","11.986","11.98","17.619","11.935","14.258","22.119","18.991","20.343","15.711","17.319","20.358","16.13","11.438","19.921","28.157","19.019","20.286","8.274","9.81","4.412","7.973","28.28","39.726","25.014"
EnterprisesValueEBITDARatio,"-245.076","-891.359","-5,073.59","5,386.674","-327.866","-115.115","-154.811","-443.835","-471.094","-147.926","1,790.112","586.406","-11,142.829","-267.191","-109.777","-132.389","-202.814","264.706","172.399","203.128","567.314","705.854","150.42","104.899","63.848","67.834","48.704","51.316","86.977","44.481","41.663","81.828","66.968","46.773","65.823","69.057","61.933","62.558","52.227","61.426","40.748","47.307","62.273","37.922","119.196","565.396","55.265","39.34","118.336","126.243","83.876","-694.146","-8.125","-0.491","0.016","-86.139","-274.864","-49.08","-237.146","130.819","171.632","-61.262","-164.417","154.076","1,358.638","158.275","102.976","118.443","94.49","90.275","122.29","114.719","102.665","-858.898","-727.681","1,214.188","-354.736","-48.844","-89.574","17.895","125.395","148.691","-10.744","18.697"
