name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
OperatingCashFlow,"-82,180,000","-22,557,000","-18,348,000","-22,961,000","-18,314,000","-16,128,000","-12,992,000","-17,179,000","-15,090,000","-11,262,000","-15,735,000","-19,973,000","-13,582,000","-6,033,000","-6,103,000","-6,383,000","-6,859,000","-4,233,000","-2,695,000","-3,593,000","-5,493,000"
	CashFlowFromContinuingOperatingActivities,"-82,180,000","-22,557,000","-18,348,000","-22,961,000","-18,314,000","-16,128,000","-12,992,000","-17,179,000","-15,090,000","-11,262,000","-15,735,000","-19,973,000","-13,582,000","-6,033,000","-6,103,000","-6,383,000","-6,859,000","-4,233,000","-2,695,000","-3,593,000","-5,493,000"
		NetIncomeFromContinuingOperations,"-118,036,000","-31,696,000","-29,674,000","-29,355,000","-27,311,000","-21,499,000","-21,783,000","-20,095,000","-17,493,000","-15,789,000","-16,189,000","-11,139,000","-9,508,000","-6,656,000","-7,673,000","-6,461,000","-10,044,000","-6,848,000","-4,642,000","-4,660,000","-3,552,000"
		OperatingGainsLosses,,,,,,"0",,,,,,,,"0","0","2,000","5,450,000","7,000","387,000",,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"0","0","2,000","5,450,000","7,000","387,000",,
		DepreciationAmortizationDepletion,"2,147,000","549,000","548,000","532,000","518,000","494,000","401,000","425,000","391,000","342,000","107,000","42,000","42,000","42,000","37,000","36,000","33,000","28,000","31,000","27,000","23,000"
			DepreciationAndAmortization,"2,147,000","549,000","548,000","532,000","518,000","494,000","401,000","425,000","391,000","342,000","107,000","42,000","42,000","42,000","37,000","36,000","33,000","28,000","31,000","27,000","23,000"
		AmortizationOfSecurities,"2,220,000","428,000","508,000","626,000","658,000","535,000","432,000","318,000","91,000","-46,000","-169,000","-294,000","-436,000","-544,000","-627,000","-423,000","-121,000","-123,000","0","0","0"
		StockBasedCompensation,"24,254,000","5,773,000","5,918,000","6,313,000","6,250,000","3,472,000","3,049,000","2,801,000","2,468,000","1,806,000","2,344,000","1,781,000","1,810,000","907,000","880,000","718,000","225,000","354,000","257,000","156,000","45,000"
		OtherNonCashItems,,,,,,"0","55,000","63,000","63,000","62,000","80,000",,,"53,000",,,,,,,
